Feature (description),Attribute,F,T
C_D_C0024031 (Low Back Pain),M,0.9902,0.9637
C_D_C0024031 (Low Back Pain),N,0.0006,0.0006
C_D_C0024031 (Low Back Pain),P,0.0092,0.0356
C_D_C0026858 (Musculoskeletal Pain),M,0.9977,0.9909
C_D_C0026858 (Musculoskeletal Pain),N,0.0017,0.0002
C_D_C0026858 (Musculoskeletal Pain),P,0.0006,0.0089
C_D_C0027424 (Nasal congestion (finding)),M,0.7189,0.9385
C_D_C0027424 (Nasal congestion (finding)),N,0.038,0.0341
C_D_C0027424 (Nasal congestion (finding)),P,0.2431,0.0273
C_D_C0027497 (Nausea),M,0.7379,0.6418
C_D_C0027497 (Nausea),N,0.0933,0.1425
C_D_C0027497 (Nausea),P,0.1688,0.2157
C_D_C0028643 (Numbness),M,0.932,0.8234
C_D_C0028643 (Numbness),N,0.0357,0.0913
C_D_C0028643 (Numbness),P,0.0323,0.0852
C_D_C0029053 (Decreased translucency),M,0.9222,0.9911
C_D_C0029053 (Decreased translucency),N,0.0029,0.0003
C_D_C0029053 (Decreased translucency),P,0.0749,0.0086
C_D_C0030193 (Pain),M,0.735,0.4613
C_D_C0030193 (Pain),N,0.0536,0.1011
C_D_C0030193 (Pain),P,0.2114,0.4376
C_D_C0030232 (Pallor),M,0.8906,0.9427
C_D_C0030232 (Pallor),N,0.0922,0.0419
C_D_C0030232 (Pallor),P,0.0173,0.0153
C_D_C0030252 (Palpitations),M,0.9476,0.8797
C_D_C0030252 (Palpitations),N,0.0236,0.0527
C_D_C0030252 (Palpitations),P,0.0288,0.0677
C_D_C0034642 (Rales),M,0.8289,0.8812
C_D_C0034642 (Rales),N,0.0328,0.0181
C_D_C0034642 (Rales),P,0.1382,0.1007
C_D_C0036572 (Seizures),M,0.8998,0.9282
C_D_C0036572 (Seizures),N,0.0294,0.0109
C_D_C0036572 (Seizures),P,0.0709,0.0609
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.606,0.8581
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0029,0.002
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.3911,0.1399
C_D_C0039231 (Tachycardia),M,0.8324,0.9382
C_D_C0039231 (Tachycardia),N,0.0138,0.0161
C_D_C0039231 (Tachycardia),P,0.1538,0.0457
C_D_C0040460 (Toothache),M,0.9965,0.9796
C_D_C0040460 (Toothache),N,0.0006,0.0013
C_D_C0040460 (Toothache),P,0.0029,0.0191
C_D_C0041657 (Unconscious State),M,0.9844,0.9442
C_D_C0041657 (Unconscious State),N,0.0063,0.0289
C_D_C0041657 (Unconscious State),P,0.0092,0.0269
C_D_C0042571 (Vertigo),M,0.9389,0.8898
C_D_C0042571 (Vertigo),N,0.0046,0.0156
C_D_C0042571 (Vertigo),P,0.0565,0.0947
C_D_C0042963 (Vomiting),M,0.5098,0.678
C_D_C0042963 (Vomiting),N,0.2304,0.1725
C_D_C0042963 (Vomiting),P,0.2598,0.1496
C_D_C0043144 (Wheezing),M,0.6855,0.8594
C_D_C0043144 (Wheezing),N,0.1112,0.0916
C_D_C0043144 (Wheezing),P,0.2033,0.049
C_D_C0085393 (Immunocompromised Host),M,0.9775,0.9945
C_D_C0085393 (Immunocompromised Host),N,0.0063,0.0011
C_D_C0085393 (Immunocompromised Host),P,0.0161,0.0044
C_D_C0085593 (Chills),M,0.769,0.6356
C_D_C0085593 (Chills),N,0.0444,0.1104
C_D_C0085593 (Chills),P,0.1866,0.254
C_D_C0085639 (Falls),M,0.9528,0.9048
C_D_C0085639 (Falls),N,0.0017,0.0071
C_D_C0085639 (Falls),P,0.0455,0.0882
C_D_C0150312 (Present),M,0.6884,0.7883
C_D_C0150312 (Present),N,0.0029,0.0045
C_D_C0150312 (Present),P,0.3088,0.2073
C_D_C0151315 (Neck stiffness),M,0.9672,0.9865
C_D_C0151315 (Neck stiffness),N,0.0196,0.0055
C_D_C0151315 (Neck stiffness),P,0.0132,0.008
C_D_C0152029 (Congestion of nasal sinus),M,0.9798,0.9955
C_D_C0152029 (Congestion of nasal sinus),N,0.0012,0.0003
C_D_C0152029 (Congestion of nasal sinus),P,0.019,0.0042
C_D_C0205161 (Abnormal),M,0.8669,0.9558
C_D_C0205161 (Abnormal),N,0.0081,0.0062
C_D_C0205161 (Abnormal),P,0.125,0.0379
C_D_C0221198 (Lesion),M,0.8825,0.9017
C_D_C0221198 (Lesion),N,0.0426,0.0248
C_D_C0221198 (Lesion),P,0.0749,0.0735
C_D_C0221423 (Illness (finding)),M,0.6365,0.8841
C_D_C0221423 (Illness (finding)),N,0.0536,0.0199
C_D_C0221423 (Illness (finding)),P,0.3099,0.096
C_D_C0231218 (Malaise),M,0.8151,0.937
C_D_C0231218 (Malaise),N,0.0104,0.0145
C_D_C0231218 (Malaise),P,0.1745,0.0485
C_D_C0231221 (Asymptomatic),M,0.9937,0.9732
C_D_C0231221 (Asymptomatic),N,0.0006,0.0005
C_D_C0231221 (Asymptomatic),P,0.0058,0.0262
C_D_C0231528 (Myalgia),M,0.8249,0.9241
C_D_C0231528 (Myalgia),N,0.023,0.0414
C_D_C0231528 (Myalgia),P,0.1521,0.0345
C_D_C0231683 (Gait normal),M,0.9579,0.9122
C_D_C0231683 (Gait normal),N,0.0006,0
C_D_C0231683 (Gait normal),P,0.0415,0.0878
C_D_C0231749 (Knee pain),M,0.9954,0.9747
C_D_C0231749 (Knee pain),N,0.0006,0.0014
C_D_C0231749 (Knee pain),P,0.004,0.024
C_D_C0231835 (Tachypnea),M,0.8404,0.973
C_D_C0231835 (Tachypnea),N,0.0167,0.0094
C_D_C0231835 (Tachypnea),P,0.1429,0.0176
C_D_C0231875 (Expiratory wheezing),M,0.9245,0.9863
C_D_C0231875 (Expiratory wheezing),N,0.0017,0.0001
C_D_C0231875 (Expiratory wheezing),P,0.0737,0.0136
C_D_C0231898 (Diaphragmatic breathing),M,0.9931,0.9996
C_D_C0231898 (Diaphragmatic breathing),N,0.0006,0.0001
C_D_C0231898 (Diaphragmatic breathing),P,0.0063,0.0003
C_D_C0232462 (Decrease in appetite),M,0.9741,0.995
C_D_C0232462 (Decrease in appetite),N,0.0006,0.0001
C_D_C0232462 (Decrease in appetite),P,0.0253,0.0048
C_D_C0232466 (Feeding difficulties),M,0.9856,0.999
C_D_C0232466 (Feeding difficulties),N,0.0012,0.0001
C_D_C0232466 (Feeding difficulties),P,0.0132,0.0009
C_D_C0233657 (Flight of ideas),M,0.9988,0.9883
C_D_C0233657 (Flight of ideas),N,0.0006,0.0092
C_D_C0233657 (Flight of ideas),P,0.0006,0.0025
C_D_C0233763 ('Hallucinations  Visual'),M,0.9988,0.9865
C_D_C0233763 ('Hallucinations  Visual'),N,0.0006,0.0091
C_D_C0233763 ('Hallucinations  Visual'),P,0.0006,0.0044
C_D_C0234215 (Sensory Discomfort),M,0.9614,0.9127
C_D_C0234215 (Sensory Discomfort),N,0.004,0.0047
C_D_C0234215 (Sensory Discomfort),P,0.0346,0.0826
C_D_C0234233 (Sore to touch),M,0.4902,0.3723
C_D_C0234233 (Sore to touch),N,0.3024,0.2868
C_D_C0234233 (Sore to touch),P,0.2074,0.3409
C_D_C0234238 (Ache),M,0.9165,0.9871
C_D_C0234238 (Ache),N,0.0012,0.0004
C_D_C0234238 (Ache),P,0.0824,0.0126
C_D_C0234254 (Radiating pain),M,0.9977,0.9842
C_D_C0234254 (Radiating pain),N,0.0012,0.0013
C_D_C0234254 (Radiating pain),P,0.0012,0.0145
C_D_C0234425 (Level of consciousness),M,0.9937,0.9583
C_D_C0234425 (Level of consciousness),N,0.0012,0.0218
C_D_C0234425 (Level of consciousness),P,0.0052,0.0199
C_D_C0235031 (Neurologic Symptoms),M,0.7033,0.8736
C_D_C0235031 (Neurologic Symptoms),N,0.0017,0.0039
C_D_C0235031 (Neurologic Symptoms),P,0.2949,0.1225
C_D_C0238656 (Ankle pain),M,0.9988,0.9833
C_D_C0238656 (Ankle pain),N,0.0006,0.0003
C_D_C0238656 (Ankle pain),P,0.0006,0.0164
C_D_C0239008 (Chest wall tenderness),M,0.9407,0.9048
C_D_C0239008 (Chest wall tenderness),N,0.057,0.085
C_D_C0239008 (Chest wall tenderness),P,0.0023,0.0102
C_D_C0239110 (Consciousness clear),M,0.322,0.1565
C_D_C0239110 (Consciousness clear),N,0.0029,0.0039
C_D_C0239110 (Consciousness clear),P,0.6751,0.8396
C_D_C0239134 (Productive Cough),M,0.9153,0.9848
C_D_C0239134 (Productive Cough),N,0.0035,0.0014
C_D_C0239134 (Productive Cough),P,0.0812,0.0138
C_D_C0240859 (Basilar Rales),M,0.8306,0.8824
C_D_C0240859 (Basilar Rales),N,0.0328,0.0179
C_D_C0240859 (Basilar Rales),P,0.1365,0.0997
C_D_C0241889 (Family history),M,0.3502,0.5882
C_D_C0241889 (Family history),N,0.1475,0.0579
C_D_C0241889 (Family history),P,0.5023,0.3539
C_D_C0242429 (Sore Throat),M,0.7431,0.8724
C_D_C0242429 (Sore Throat),N,0.0778,0.0642
C_D_C0242429 (Sore Throat),P,0.1791,0.0634
C_D_C0260522 (Encounter due to family history of asthma),M,0.9902,0.9982
C_D_C0260522 (Encounter due to family history of asthma),N,0.0029,0.0006
C_D_C0260522 (Encounter due to family history of asthma),P,0.0069,0.0013
C_D_C0277873 (Nasal Flaring),M,0.966,0.9967
C_D_C0277873 (Nasal Flaring),N,0.0127,0.0016
C_D_C0277873 (Nasal Flaring),P,0.0213,0.0017
C_D_C0278005 (Normal bowel sounds),M,0.6071,0.7525
C_D_C0278005 (Normal bowel sounds),N,0.0006,0.0002
C_D_C0278005 (Normal bowel sounds),P,0.3923,0.2473
C_D_C0278134 (Absence of sensation),M,0.9908,0.9707
C_D_C0278134 (Absence of sensation),N,0.0006,0.0009
C_D_C0278134 (Absence of sensation),P,0.0086,0.0284
C_D_C0302844 (MCV - low),M,0.9781,0.9952
C_D_C0302844 (MCV - low),N,0.0006,0
C_D_C0302844 (MCV - low),P,0.0213,0.0048
C_D_C0332148 (Probable diagnosis),M,0.6809,0.7473
C_D_C0332148 (Probable diagnosis),N,0.0086,0.0061
C_D_C0332148 (Probable diagnosis),P,0.3105,0.2467
C_D_C0332167 (High risk of),M,0.9821,0.9966
C_D_C0332167 (High risk of),N,0.0046,0.0002
C_D_C0332167 (High risk of),P,0.0132,0.0032
C_D_C0332516 (Symmetrical),M,0.6152,0.6865
C_D_C0332516 (Symmetrical),N,0.0006,0.0002
C_D_C0332516 (Symmetrical),P,0.3842,0.3133
C_D_C0332523 (Retraction (finding)),M,0.7955,0.8748
C_D_C0332523 (Retraction (finding)),N,0.0835,0.1132
C_D_C0332523 (Retraction (finding)),P,0.121,0.0119
C_D_C0342593 (Reduced anion gap),M,0.9868,0.9979
C_D_C0342593 (Reduced anion gap),N,0.0006,0
C_D_C0342593 (Reduced anion gap),P,0.0127,0.0021
C_D_C0344232 (Blurred vision),M,0.9747,0.936
C_D_C0344232 (Blurred vision),N,0.0161,0.0386
C_D_C0344232 (Blurred vision),P,0.0092,0.0254
C_D_C0344307 (Absence of pain sensation),M,0.9965,0.9767
C_D_C0344307 (Absence of pain sensation),N,0.0006,0.0008
C_D_C0344307 (Absence of pain sensation),P,0.0029,0.0226
C_D_C0349790 (Exacerbation of asthma),M,0.9603,0.9862
C_D_C0349790 (Exacerbation of asthma),N,0.0012,0.0003
C_D_C0349790 (Exacerbation of asthma),P,0.0386,0.0136
C_D_C0392171 (Influenza-like symptoms),M,0.9263,0.999
C_D_C0392171 (Influenza-like symptoms),N,0.0006,0
C_D_C0392171 (Influenza-like symptoms),P,0.0732,0.001
C_D_C0421203 (Home oxygen supply),M,0.9798,0.9954
C_D_C0421203 (Home oxygen supply),N,0.0006,0.0004
C_D_C0421203 (Home oxygen supply),P,0.0196,0.0041
C_D_C0424000 (Feeling suicidal (finding)),M,0.9977,0.9685
C_D_C0424000 (Feeling suicidal (finding)),N,0.0012,0.0104
C_D_C0424000 (Feeling suicidal (finding)),P,0.0012,0.0211
C_D_C0424480 (Facial symmetry),M,0.8865,0.866
C_D_C0424480 (Facial symmetry),N,0.0006,0.0001
C_D_C0424480 (Facial symmetry),P,0.1129,0.1339
C_D_C0424755 (Fever symptoms (finding)),M,0.2535,0.6008
C_D_C0424755 (Fever symptoms (finding)),N,0.1457,0.2667
C_D_C0424755 (Fever symptoms (finding)),P,0.6008,0.1325
C_D_C0425293 (Never smoked tobacco),M,0.9418,0.8935
C_D_C0425293 (Never smoked tobacco),N,0.0023,0.0099
C_D_C0425293 (Never smoked tobacco),P,0.0559,0.0966
C_D_C0425452 (No obstruction of airway),M,0.8145,0.7014
C_D_C0425452 (No obstruction of airway),N,0.0006,0.0001
C_D_C0425452 (No obstruction of airway),P,0.1849,0.2985
C_D_C0425470 (Intercostal Retractions),M,0.7817,0.8748
C_D_C0425470 (Intercostal Retractions),N,0.0829,0.1134
C_D_C0425470 (Intercostal Retractions),P,0.1354,0.0118
C_D_C0425574 (Bounding pulse),M,0.9925,0.9997
C_D_C0425574 (Bounding pulse),N,0.0006,0
C_D_C0425574 (Bounding pulse),P,0.0069,0.0002
C_D_C0425710 (Peripheral perfusion),M,0.5305,0.7172
C_D_C0425710 (Peripheral perfusion),N,0.0006,0.0001
C_D_C0425710 (Peripheral perfusion),P,0.4689,0.2827
C_D_C0426317 (Genitourinary symptoms),M,0.7506,0.9033
C_D_C0426317 (Genitourinary symptoms),N,0.0006,0.0002
C_D_C0426317 (Genitourinary symptoms),P,0.2488,0.0965
C_D_C0426576 (Gastrointestinal symptom),M,0.6388,0.8573
C_D_C0426576 (Gastrointestinal symptom),N,0.0006,0.0002
C_D_C0426576 (Gastrointestinal symptom),P,0.3606,0.1425
C_D_C0428167 (Inspired fraction of oxygen),M,0.7379,0.5546
C_D_C0428167 (Inspired fraction of oxygen),N,0.0006,0.0007
C_D_C0428167 (Inspired fraction of oxygen),P,0.2615,0.4448
C_D_C0438141 (Urine screening normal),M,0.9816,0.9961
C_D_C0438141 (Urine screening normal),N,0.0006,0
C_D_C0438141 (Urine screening normal),P,0.0179,0.0038
C_D_C0442797 (Decreasing),M,0.9735,0.9921
C_D_C0442797 (Decreasing),N,0.0012,0.0007
C_D_C0442797 (Decreasing),P,0.0253,0.0072
C_D_C0455204 (Homicidal thoughts),M,0.9983,0.9704
C_D_C0455204 (Homicidal thoughts),N,0.0012,0.0105
C_D_C0455204 (Homicidal thoughts),P,0.0006,0.0191
C_D_C0455458 (PMH - past medical history),M,0.6809,0.4814
C_D_C0455458 (PMH - past medical history),N,0.023,0.0366
C_D_C0455458 (PMH - past medical history),P,0.2961,0.482
C_D_C0455544 (H/O: asthma),M,0.9309,0.9747
C_D_C0455544 (H/O: asthma),N,0.0046,0.0014
C_D_C0455544 (H/O: asthma),P,0.0645,0.0239
C_D_C0455899 (Red throat),M,0.6665,0.7983
C_D_C0455899 (Red throat),N,0.0714,0.112
C_D_C0455899 (Red throat),P,0.2621,0.0898
C_D_C0456984 (Test Result),M,0.9286,0.9619
C_D_C0456984 (Test Result),N,0.0081,0.0028
C_D_C0456984 (Test Result),P,0.0634,0.0352
C_D_C0457096 (Yellow sputum),M,0.9821,0.9977
C_D_C0457096 (Yellow sputum),N,0.0006,0.0001
C_D_C0457096 (Yellow sputum),P,0.0173,0.0022
C_D_C0476270 (Cardiovascular symptoms),M,0.735,0.8943
C_D_C0476270 (Cardiovascular symptoms),N,0.0006,0.0002
C_D_C0476270 (Cardiovascular symptoms),P,0.2644,0.1055
C_D_C0476273 (Respiratory distress),M,0.8053,0.9262
C_D_C0476273 (Respiratory distress),N,0.0421,0.0261
C_D_C0476273 (Respiratory distress),P,0.1526,0.0478
C_D_C0489543 (History source),M,0.4793,0.7671
C_D_C0489543 (History source),N,0.0006,0
C_D_C0489543 (History source),P,0.5202,0.2328
C_D_C0489547 (Hospital course),M,0.8733,0.7822
C_D_C0489547 (Hospital course),N,0.0012,0.0004
C_D_C0489547 (Hospital course),P,0.1256,0.2174
C_D_C0489749 (Rectal temperature),M,0.9856,0.9984
C_D_C0489749 (Rectal temperature),N,0.0012,0
C_D_C0489749 (Rectal temperature),P,0.0132,0.0015
C_D_C0518610 (Social warmth),M,0.9937,0.9542
C_D_C0518610 (Social warmth),N,0.0012,0.0091
C_D_C0518610 (Social warmth),P,0.0052,0.0367
C_D_C0521654 (Neurologic Deficits),M,0.7615,0.8388
C_D_C0521654 (Neurologic Deficits),N,0.0006,0.0098
C_D_C0521654 (Neurologic Deficits),P,0.2379,0.1514
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.7177,0.7917
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0.0006,0.0001
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.2817,0.2082
C_D_C0542538 (Observation of Sensation),M,0.9176,0.7985
C_D_C0542538 (Observation of Sensation),N,0.0006,0.0021
C_D_C0542538 (Observation of Sensation),P,0.0818,0.1994
C_D_C0557130 (Lives with family),M,0.9879,0.9983
C_D_C0557130 (Lives with family),N,0.0006,0.0001
C_D_C0557130 (Lives with family),P,0.0115,0.0016
C_D_C0557134 (Lives with mother),M,0.9781,0.9952
C_D_C0557134 (Lives with mother),N,0.0006,0.0001
C_D_C0557134 (Lives with mother),P,0.0213,0.0047
C_D_C0558145 (Skin appearance normal (finding)),M,0.0956,0.1577
C_D_C0558145 (Skin appearance normal (finding)),N,0.0138,0.0114
C_D_C0558145 (Skin appearance normal (finding)),P,0.8906,0.831
C_D_C0562483 (Persistent cough),M,0.9862,0.998
C_D_C0562483 (Persistent cough),N,0.0006,0.0001
C_D_C0562483 (Persistent cough),P,0.0132,0.0019
C_D_C0566275 (Able to drink),M,0.9804,0.995
C_D_C0566275 (Able to drink),N,0.0012,0.0001
C_D_C0566275 (Able to drink),P,0.0184,0.005
C_D_C0576456 (Feeding poor),M,0.9908,0.9994
C_D_C0576456 (Feeding poor),N,0.0006,0.0001
C_D_C0576456 (Feeding poor),P,0.0086,0.0005
C_D_C0577559 (Mass of body structure),M,0.9228,0.858
C_D_C0577559 (Mass of body structure),N,0.0069,0.0065
C_D_C0577559 (Mass of body structure),P,0.0703,0.1355
C_D_C0577573 (Mass of body region),M,0.9251,0.8635
C_D_C0577573 (Mass of body region),N,0.0069,0.0064
C_D_C0577573 (Mass of body region),P,0.068,0.1302
C_D_C0578671 (Does move),M,0.6215,0.8331
C_D_C0578671 (Does move),N,0.0006,0.0001
C_D_C0578671 (Does move),P,0.3779,0.1667
C_D_C0579136 (Normal coordination),M,0.9355,0.9662
C_D_C0579136 (Normal coordination),N,0.0006,0.0001
C_D_C0579136 (Normal coordination),P,0.0639,0.0337
C_D_C0582051 (Feels warm),M,0.1457,0.2173
C_D_C0582051 (Feels warm),N,0.0012,0.0081
C_D_C0582051 (Feels warm),P,0.8531,0.7746
C_D_C0586406 (Eye symptom),M,0.7177,0.9042
C_D_C0586406 (Eye symptom),N,0.0006,0.0003
C_D_C0586406 (Eye symptom),P,0.2817,0.0955
C_D_C0586407 (Skin symptom),M,0.6486,0.864
C_D_C0586407 (Skin symptom),N,0.0017,0.0005
C_D_C0586407 (Skin symptom),P,0.3497,0.1356
C_D_C0586514 (Discharge status),M,0.9274,0.7905
C_D_C0586514 (Discharge status),N,0.0006,0
C_D_C0586514 (Discharge status),P,0.072,0.2094
C_D_C0587081 (Laboratory test finding),M,0.6452,0.6544
C_D_C0587081 (Laboratory test finding),N,0.0012,0.0027
C_D_C0587081 (Laboratory test finding),P,0.3537,0.3429
C_D_C0589120 (Follow-up status),M,0.9199,0.9468
C_D_C0589120 (Follow-up status),N,0.0052,0.0021
C_D_C0589120 (Follow-up status),P,0.0749,0.0511
C_D_C0595998 (Household composition),M,0.8571,0.8746
C_D_C0595998 (Household composition),N,0.0006,0.0007
C_D_C0595998 (Household composition),P,0.1423,0.1247
C_D_C0700292 (Hypoxemia),M,0.9816,0.9969
C_D_C0700292 (Hypoxemia),N,0.0017,0.0004
C_D_C0700292 (Hypoxemia),P,0.0167,0.0027
C_D_C0728731 (Prematurity of fetus),M,0.9891,0.9981
C_D_C0728731 (Prematurity of fetus),N,0.0006,0.0001
C_D_C0728731 (Prematurity of fetus),P,0.0104,0.0018
C_D_C0728899 (Intoxication),M,0.9983,0.9862
C_D_C0728899 (Intoxication),N,0.0006,0.0005
C_D_C0728899 (Intoxication),P,0.0012,0.0133
C_D_C0741302 (atypia morphology),M,0.9338,0.9838
C_D_C0741302 (atypia morphology),N,0.0017,0.0006
C_D_C0741302 (atypia morphology),P,0.0645,0.0156
C_D_C0743973 (FEVER HIGH (finding)),M,0.9752,0.9984
C_D_C0743973 (FEVER HIGH (finding)),N,0.0017,0
C_D_C0743973 (FEVER HIGH (finding)),P,0.023,0.0016
C_D_C0744961 (surgical history),M,0.648,0.7558
C_D_C0744961 (surgical history),N,0.0006,0.0005
C_D_C0744961 (surgical history),P,0.3514,0.2437
C_D_C0746674 (Generalized muscle weakness),M,0.9608,0.9852
C_D_C0746674 (Generalized muscle weakness),N,0.0006,0.0004
C_D_C0746674 (Generalized muscle weakness),P,0.0386,0.0144
C_D_C0746961 (Oxygen saturation below reference range),M,0.9804,0.9975
C_D_C0746961 (Oxygen saturation below reference range),N,0.0012,0.0002
C_D_C0746961 (Oxygen saturation below reference range),P,0.0184,0.0023
C_D_C0750394 (White blood cell count decreased),M,0.9827,0.9964
C_D_C0750394 (White blood cell count decreased),N,0.0006,0.0001
C_D_C0750394 (White blood cell count decreased),P,0.0167,0.0036
C_D_C0805732 (Completion Status),M,0.9574,0.99
C_D_C0805732 (Completion Status),N,0.0012,0
C_D_C0805732 (Completion Status),P,0.0415,0.01
C_D_C0808334 (Tube number),M,0.981,0.9987
C_D_C0808334 (Tube number),N,0.0006,0
C_D_C0808334 (Tube number),P,0.0184,0.0013
C_D_C0849970 (Feeling tired),M,0.9706,0.9907
C_D_C0849970 (Feeling tired),N,0.0006,0
C_D_C0849970 (Feeling tired),P,0.0288,0.0093
C_D_C0850149 (Dry cough),M,0.924,0.9861
C_D_C0850149 (Dry cough),N,0.0006,0.0001
C_D_C0850149 (Dry cough),P,0.0755,0.0138
C_D_C0851511 (family issues),M,0.6964,0.8686
C_D_C0851511 (family issues),N,0.303,0.1306
C_D_C0851511 (family issues),P,0.0006,0.0008
C_D_C0853697 (Neutrophil count decreased),M,0.9827,0.9972
C_D_C0853697 (Neutrophil count decreased),N,0.0035,0.0005
C_D_C0853697 (Neutrophil count decreased),P,0.0138,0.0023
C_D_C0859927 (Increased work of breathing),M,0.9459,0.9956
C_D_C0859927 (Increased work of breathing),N,0.0058,0.0008
C_D_C0859927 (Increased work of breathing),P,0.0484,0.0036
