Feature (description),Attribute,M,T
C_D_C0425452 (No obstruction of airway),N,0.0001,0.0095
C_D_C0425452 (No obstruction of airway),P,0.255,0.0762
C_D_C0425470 (Intercostal Retractions),M,0.874,0.6952
C_D_C0425470 (Intercostal Retractions),N,0.1113,0.019
C_D_C0425470 (Intercostal Retractions),P,0.0147,0.2857
C_D_C0425710 (Peripheral perfusion),M,0.7428,0.4762
C_D_C0425710 (Peripheral perfusion),N,0,0.0095
C_D_C0425710 (Peripheral perfusion),P,0.2572,0.5143
C_D_C0426317 (Genitourinary symptoms),M,0.9017,0.6095
C_D_C0426317 (Genitourinary symptoms),N,0.0004,0.0095
C_D_C0426317 (Genitourinary symptoms),P,0.0979,0.381
C_D_C0426576 (Gastrointestinal symptom),M,0.8531,0.4762
C_D_C0426576 (Gastrointestinal symptom),N,0.0002,0.0095
C_D_C0426576 (Gastrointestinal symptom),P,0.1467,0.5143
C_D_C0428167 (Inspired fraction of oxygen),M,0.7495,0.8667
C_D_C0428167 (Inspired fraction of oxygen),N,0.0001,0.0095
C_D_C0428167 (Inspired fraction of oxygen),P,0.2504,0.1238
C_D_C0442757 (3/4),M,0.9966,0.9143
C_D_C0442757 (3/4),N,0,0.0095
C_D_C0442757 (3/4),P,0.0034,0.0762
C_D_C0455204 (Homicidal thoughts),M,0.9756,0.981
C_D_C0455204 (Homicidal thoughts),N,0.0073,0.0095
C_D_C0455204 (Homicidal thoughts),P,0.0171,0.0095
C_D_C0455458 (PMH - past medical history),M,0.4161,0.8095
C_D_C0455458 (PMH - past medical history),N,0.04,0.019
C_D_C0455458 (PMH - past medical history),P,0.5439,0.1714
C_D_C0455544 (H/O: asthma),M,0.9742,0.9143
C_D_C0455544 (H/O: asthma),N,0.0033,0.019
C_D_C0455544 (H/O: asthma),P,0.0225,0.0667
C_D_C0455899 (Red throat),M,0.807,0.7048
C_D_C0455899 (Red throat),N,0.1133,0.0476
C_D_C0455899 (Red throat),P,0.0797,0.2476
C_D_C0456984 (Test Result),M,0.968,0.9333
C_D_C0456984 (Test Result),N,0.0026,0.0095
C_D_C0456984 (Test Result),P,0.0293,0.0571
C_D_C0457096 (Yellow sputum),M,0.9965,0.9714
C_D_C0457096 (Yellow sputum),N,0,0.0095
C_D_C0457096 (Yellow sputum),P,0.0035,0.019
C_D_C0476270 (Cardiovascular symptoms),M,0.89,0.5905
C_D_C0476270 (Cardiovascular symptoms),N,0.0001,0.0095
C_D_C0476270 (Cardiovascular symptoms),P,0.1099,0.4
C_D_C0476273 (Respiratory distress),M,0.9224,0.5619
C_D_C0476273 (Respiratory distress),N,0.0256,0.0476
C_D_C0476273 (Respiratory distress),P,0.052,0.3905
C_D_C0489543 (History source),M,0.7651,0.2857
C_D_C0489543 (History source),N,0,0.0095
C_D_C0489543 (History source),P,0.2349,0.7048
C_D_C0489547 (Hospital course),M,0.7609,0.9143
C_D_C0489547 (Hospital course),N,0.0009,0.0095
C_D_C0489547 (Hospital course),P,0.2382,0.0762
C_D_C0518610 (Social warmth),M,0.9576,0.981
C_D_C0518610 (Social warmth),N,0.0079,0.0095
C_D_C0518610 (Social warmth),P,0.0345,0.0095
C_D_C0521654 (Neurologic Deficits),M,0.8599,0.7333
C_D_C0521654 (Neurologic Deficits),N,0.0063,0.0095
C_D_C0521654 (Neurologic Deficits),P,0.1338,0.2571
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.8617,0.6952
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0,0.0095
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.1382,0.2952
C_D_C0542538 (Observation of Sensation),M,0.7789,0.9619
C_D_C0542538 (Observation of Sensation),N,0.0023,0.0095
C_D_C0542538 (Observation of Sensation),P,0.2188,0.0286
C_D_C0549184 (None),M,0.233,0.0381
C_D_C0549184 (None),N,0.0008,0.0095
C_D_C0549184 (None),P,0.7663,0.9524
C_D_C0557134 (Lives with mother),M,0.9918,0.9048
C_D_C0557134 (Lives with mother),N,0.0001,0.0095
C_D_C0557134 (Lives with mother),P,0.0081,0.0857
C_D_C0558145 (Skin appearance normal (finding)),M,0.2034,0.0571
C_D_C0558145 (Skin appearance normal (finding)),N,0.0115,0.0476
C_D_C0558145 (Skin appearance normal (finding)),P,0.7851,0.8952
C_D_C0562483 (Persistent cough),M,0.9981,0.9714
C_D_C0562483 (Persistent cough),N,0,0.0095
C_D_C0562483 (Persistent cough),P,0.0018,0.019
C_D_C0577559 (Mass of body structure),M,0.8555,0.9619
C_D_C0577559 (Mass of body structure),N,0.0109,0.0095
C_D_C0577559 (Mass of body structure),P,0.1335,0.0286
C_D_C0577573 (Mass of body region),M,0.8617,0.9619
C_D_C0577573 (Mass of body region),N,0.0109,0.0095
C_D_C0577573 (Mass of body region),P,0.1274,0.0286
C_D_C0578671 (Does move),M,0.8453,0.5429
C_D_C0578671 (Does move),N,0.0001,0.0095
C_D_C0578671 (Does move),P,0.1545,0.4476
C_D_C0582051 (Feels warm),M,0.2987,0.1238
C_D_C0582051 (Feels warm),N,0.0077,0.0095
C_D_C0582051 (Feels warm),P,0.6936,0.8667
C_D_C0586406 (Eye symptom),M,0.8863,0.5429
C_D_C0586406 (Eye symptom),N,0.0002,0.0095
C_D_C0586406 (Eye symptom),P,0.1135,0.4476
C_D_C0586407 (Skin symptom),M,0.8575,0.4476
C_D_C0586407 (Skin symptom),N,0.0003,0.0095
C_D_C0586407 (Skin symptom),P,0.1422,0.5429
C_D_C0586514 (Discharge status),M,0.9181,0.981
C_D_C0586514 (Discharge status),N,0,0.0095
C_D_C0586514 (Discharge status),P,0.0819,0.0095
C_D_C0587081 (Laboratory test finding),M,0.75,0.6286
C_D_C0587081 (Laboratory test finding),N,0.0056,0.019
C_D_C0587081 (Laboratory test finding),P,0.2444,0.3524
C_D_C0595998 (Household composition),M,0.8824,0.7714
C_D_C0595998 (Household composition),N,0.002,0.0095
C_D_C0595998 (Household composition),P,0.1156,0.219
C_D_C0700292 (Hypoxemia),M,0.998,0.9333
C_D_C0700292 (Hypoxemia),N,0.0003,0.0095
C_D_C0700292 (Hypoxemia),P,0.0017,0.0571
C_D_C0728731 (Prematurity of fetus),M,0.9986,0.9048
C_D_C0728731 (Prematurity of fetus),N,0,0.0095
C_D_C0728731 (Prematurity of fetus),P,0.0013,0.0857
C_D_C0741302 (atypia morphology),M,0.9858,0.8667
C_D_C0741302 (atypia morphology),N,0.0006,0.0095
C_D_C0741302 (atypia morphology),P,0.0136,0.1238
C_D_C0743973 (FEVER HIGH (finding)),M,0.9979,0.9429
C_D_C0743973 (FEVER HIGH (finding)),N,0,0.0095
C_D_C0743973 (FEVER HIGH (finding)),P,0.002,0.0476
C_D_C0744961 (surgical history),M,0.8126,0.5524
C_D_C0744961 (surgical history),N,0.0004,0.0095
C_D_C0744961 (surgical history),P,0.187,0.4381
C_D_C0746961 (Oxygen saturation below reference range),M,0.9981,0.8667
C_D_C0746961 (Oxygen saturation below reference range),N,0.0002,0.0095
C_D_C0746961 (Oxygen saturation below reference range),P,0.0017,0.1238
C_D_C0750394 (White blood cell count decreased),M,0.9978,0.9714
C_D_C0750394 (White blood cell count decreased),N,0,0.0095
C_D_C0750394 (White blood cell count decreased),P,0.0021,0.019
C_D_C0750484 (Confirmation),M,0.8029,0.9714
C_D_C0750484 (Confirmation),N,0.0001,0.0095
C_D_C0750484 (Confirmation),P,0.1969,0.019
C_D_C0805732 (Completion Status),M,0.9865,0.819
C_D_C0805732 (Completion Status),N,0.0002,0.0095
C_D_C0805732 (Completion Status),P,0.0133,0.1714
C_D_C0808334 (Tube number),M,0.9989,0.981
C_D_C0808334 (Tube number),N,0,0.0095
C_D_C0808334 (Tube number),P,0.0011,0.0095
C_D_C0850149 (Dry cough),M,0.9858,0.9143
C_D_C0850149 (Dry cough),N,0.0001,0.0095
C_D_C0850149 (Dry cough),P,0.0141,0.0762
C_D_C0851511 (family issues),M,0.9996,0.8571
C_D_C0851511 (family issues),N,0,0.1333
C_D_C0851511 (family issues),P,0.0004,0.0095
C_D_C0853697 (Neutrophil count decreased),M,0.9976,0.9524
C_D_C0853697 (Neutrophil count decreased),N,0.0006,0.0095
C_D_C0853697 (Neutrophil count decreased),P,0.0018,0.0381
C_D_C0859927 (Increased work of breathing),M,0.9977,0.8762
C_D_C0859927 (Increased work of breathing),N,0.0007,0.0095
C_D_C0859927 (Increased work of breathing),P,0.0017,0.1143
C_D_C0863146 (Yellow color on exam),M,0.9872,0.8667
C_D_C0863146 (Yellow color on exam),N,0.0001,0.019
C_D_C0863146 (Yellow color on exam),P,0.0127,0.1143
C_D_C0948106 (Rupture of Membranes),M,0.854,0.6286
C_D_C0948106 (Rupture of Membranes),N,0.0016,0.019
C_D_C0948106 (Rupture of Membranes),P,0.1444,0.3524
C_D_C1260880 (Rhinorrhea),M,0.9449,0.8286
C_D_C1260880 (Rhinorrhea),N,0.0111,0.019
C_D_C1260880 (Rhinorrhea),P,0.044,0.1524
C_D_C1261031 (Platelet morphology - result),M,0.9979,0.9714
C_D_C1261031 (Platelet morphology - result),N,0,0.0095
C_D_C1261031 (Platelet morphology - result),P,0.0021,0.019
C_D_C1261327 (Family history of asthma),M,0.9934,0.8857
C_D_C1261327 (Family history of asthma),N,0.0004,0.0381
C_D_C1261327 (Family history of asthma),P,0.0063,0.0762
C_D_C1271104 (Blood pressure finding),M,0.8082,0.9714
C_D_C1271104 (Blood pressure finding),N,0.0015,0.0095
C_D_C1271104 (Blood pressure finding),P,0.1903,0.019
C_D_C1272641 (Systemic arterial pressure),M,0.8071,0.9714
C_D_C1272641 (Systemic arterial pressure),N,0.0015,0.0095
C_D_C1272641 (Systemic arterial pressure),P,0.1914,0.019
C_D_C1273937 (Not significant),M,0.8558,0.7048
C_D_C1273937 (Not significant),N,0.0001,0.0095
C_D_C1273937 (Not significant),P,0.1441,0.2857
C_D_C1277295 (Cough with fever),M,0.9981,0.9333
C_D_C1277295 (Cough with fever),N,0.0007,0.0095
C_D_C1277295 (Cough with fever),P,0.0012,0.0571
C_D_C1299487 (Patient name),M,0.7533,0.9714
C_D_C1299487 (Patient name),N,0,0.0095
C_D_C1299487 (Patient name),P,0.2467,0.019
C_D_C1314687 (Sexual intercourse - finding),M,0.2952,0.019
C_D_C1314687 (Sexual intercourse - finding),N,0.0052,0.0095
C_D_C1314687 (Sexual intercourse - finding),P,0.6996,0.9714
C_D_C1321013 (Hydration status),M,0.972,0.9048
C_D_C1321013 (Hydration status),N,0.0003,0.019
C_D_C1321013 (Hydration status),P,0.0276,0.0762
C_D_C1330956 (Base excess result),M,0.9964,0.8857
C_D_C1330956 (Base excess result),N,0,0.0095
C_D_C1330956 (Base excess result),P,0.0036,0.1048
C_D_C1363945 (Therapy Object (animal model)),M,0.886,0.581
C_D_C1363945 (Therapy Object (animal model)),N,0.001,0.0095
C_D_C1363945 (Therapy Object (animal model)),P,0.113,0.4095
C_D_C1444775 (Sharp sensation quality),M,0.9506,0.9714
C_D_C1444775 (Sharp sensation quality),N,0.0007,0.0095
C_D_C1444775 (Sharp sensation quality),P,0.0487,0.019
C_D_C1446409 (Positive),M,0.8216,0.8381
C_D_C1446409 (Positive),N,0.0477,0.0286
C_D_C1446409 (Positive),P,0.1307,0.1333
C_D_C1457887 (Symptoms),M,0.4653,0.1905
C_D_C1457887 (Symptoms),N,0.0652,0.0381
C_D_C1457887 (Symptoms),P,0.4695,0.7714
C_D_C1509143 (Physical assessment findings),M,0.8432,0.3905
C_D_C1509143 (Physical assessment findings),N,0.0054,0.0095
C_D_C1509143 (Physical assessment findings),P,0.1514,0.6
C_D_C1513302 (Mild Adverse Event),M,0.6972,0.619
C_D_C1513302 (Mild Adverse Event),N,0.0018,0.0095
C_D_C1513302 (Mild Adverse Event),P,0.301,0.3714
C_D_C1514241 (Positive Finding),M,0.8565,0.8762
C_D_C1514241 (Positive Finding),N,0.0481,0.0286
C_D_C1514241 (Positive Finding),P,0.0954,0.0952
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.943,0.4286
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0,0.0095
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.0569,0.5619
C_D_C1548428 (Referral type - Psychiatric),M,0.5744,0.6667
C_D_C1548428 (Referral type - Psychiatric),N,0.0051,0.0095
C_D_C1548428 (Referral type - Psychiatric),P,0.4205,0.3238
C_D_C1550457 (Normal Observation Interpretation),M,0.2051,0.0571
C_D_C1550457 (Normal Observation Interpretation),N,0.0115,0.0476
C_D_C1550457 (Normal Observation Interpretation),P,0.7834,0.8952
C_D_C1551394 (normal Device Alert Level),M,0.2051,0.0571
C_D_C1551394 (normal Device Alert Level),N,0.0115,0.0476
C_D_C1551394 (normal Device Alert Level),P,0.7834,0.8952
C_D_C1551396 (DeviceAlertLevel - Critical),M,0.9903,0.7619
C_D_C1551396 (DeviceAlertLevel - Critical),N,0.0003,0.0095
C_D_C1551396 (DeviceAlertLevel - Critical),P,0.0095,0.2286
C_D_C1555319 (discharge diagnosis),M,0.9428,0.981
C_D_C1555319 (discharge diagnosis),N,0.0003,0.0095
C_D_C1555319 (discharge diagnosis),P,0.0569,0.0095
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),M,0.8309,0.4
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),N,0.0041,0.019
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),P,0.165,0.581
