Feature (description),Attribute,M,T
C_D_C0030232 (Pallor),N,0.0455,0.0667
C_D_C0030232 (Pallor),P,0.0134,0.0933
C_D_C0030252 (Palpitations),M,0.8994,0.92
C_D_C0030252 (Palpitations),N,0.0434,0.0267
C_D_C0030252 (Palpitations),P,0.0572,0.0533
C_D_C0034642 (Rales),M,0.8853,0.76
C_D_C0034642 (Rales),N,0.0176,0.0133
C_D_C0034642 (Rales),P,0.0971,0.2267
C_D_C0036572 (Seizures),M,0.933,0.7733
C_D_C0036572 (Seizures),N,0.0112,0.0533
C_D_C0036572 (Seizures),P,0.0558,0.1733
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.8516,0.52
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0022,0.0267
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.1462,0.4533
C_D_C0039231 (Tachycardia),M,0.9463,0.7333
C_D_C0039231 (Tachycardia),N,0.0103,0.0133
C_D_C0039231 (Tachycardia),P,0.0435,0.2533
C_D_C0040460 (Toothache),M,0.9781,0.9733
C_D_C0040460 (Toothache),N,0.0011,0.0133
C_D_C0040460 (Toothache),P,0.0208,0.0133
C_D_C0041657 (Unconscious State),M,0.9414,0.9733
C_D_C0041657 (Unconscious State),N,0.0306,0.0133
C_D_C0041657 (Unconscious State),P,0.0279,0.0133
C_D_C0042571 (Vertigo),M,0.908,0.9467
C_D_C0042571 (Vertigo),N,0.0127,0.0133
C_D_C0042571 (Vertigo),P,0.0793,0.04
C_D_C0042963 (Vomiting),M,0.7054,0.6
C_D_C0042963 (Vomiting),N,0.1442,0.1867
C_D_C0042963 (Vomiting),P,0.1504,0.2133
C_D_C0043144 (Wheezing),M,0.8566,0.6533
C_D_C0043144 (Wheezing),N,0.097,0.1333
C_D_C0043144 (Wheezing),P,0.0465,0.2133
C_D_C0085393 (Immunocompromised Host),M,0.995,0.9333
C_D_C0085393 (Immunocompromised Host),N,0.0009,0.0133
C_D_C0085393 (Immunocompromised Host),P,0.0041,0.0533
C_D_C0085593 (Chills),M,0.6637,0.84
C_D_C0085593 (Chills),N,0.0829,0.0533
C_D_C0085593 (Chills),P,0.2534,0.1067
C_D_C0085639 (Falls),M,0.9147,0.9733
C_D_C0085639 (Falls),N,0.0063,0.0133
C_D_C0085639 (Falls),P,0.079,0.0133
C_D_C0150312 (Present),M,0.7733,0.6667
C_D_C0150312 (Present),N,0.0047,0.0133
C_D_C0150312 (Present),P,0.2219,0.32
C_D_C0151315 (Neck stiffness),M,0.9822,0.9733
C_D_C0151315 (Neck stiffness),N,0.0066,0.0133
C_D_C0151315 (Neck stiffness),P,0.0113,0.0133
C_D_C0152029 (Congestion of nasal sinus),M,0.9955,0.96
C_D_C0152029 (Congestion of nasal sinus),N,0.0003,0.0133
C_D_C0152029 (Congestion of nasal sinus),P,0.0043,0.0267
C_D_C0205161 (Abnormal),M,0.9599,0.8133
C_D_C0205161 (Abnormal),N,0.0062,0.0133
C_D_C0205161 (Abnormal),P,0.0339,0.1733
C_D_C0221198 (Lesion),M,0.9113,0.92
C_D_C0221198 (Lesion),N,0.0249,0.0533
C_D_C0221198 (Lesion),P,0.0638,0.0267
C_D_C0221423 (Illness (finding)),M,0.8976,0.6933
C_D_C0221423 (Illness (finding)),N,0.0186,0.0533
C_D_C0221423 (Illness (finding)),P,0.0838,0.2533
C_D_C0231218 (Malaise),M,0.9539,0.88
C_D_C0231218 (Malaise),N,0.0115,0.0133
C_D_C0231218 (Malaise),P,0.0346,0.1067
C_D_C0231221 (Asymptomatic),M,0.9726,0.9733
C_D_C0231221 (Asymptomatic),N,0.0004,0.0133
C_D_C0231221 (Asymptomatic),P,0.0271,0.0133
C_D_C0231528 (Myalgia),M,0.9522,0.9067
C_D_C0231528 (Myalgia),N,0.0188,0.0667
C_D_C0231528 (Myalgia),P,0.029,0.0267
C_D_C0231683 (Gait normal),M,0.9262,0.9733
C_D_C0231683 (Gait normal),N,0,0.0133
C_D_C0231683 (Gait normal),P,0.0738,0.0133
C_D_C0231749 (Knee pain),M,0.9739,0.9733
C_D_C0231749 (Knee pain),N,0.0017,0.0133
C_D_C0231749 (Knee pain),P,0.0244,0.0133
C_D_C0231835 (Tachypnea),M,0.9769,0.72
C_D_C0231835 (Tachypnea),N,0.0072,0.0133
C_D_C0231835 (Tachypnea),P,0.0158,0.2667
C_D_C0231875 (Expiratory wheezing),M,0.9874,0.9467
C_D_C0231875 (Expiratory wheezing),N,0.0002,0.0133
C_D_C0231875 (Expiratory wheezing),P,0.0124,0.04
C_D_C0231898 (Diaphragmatic breathing),M,0.9995,0.9733
C_D_C0231898 (Diaphragmatic breathing),N,0,0.0133
C_D_C0231898 (Diaphragmatic breathing),P,0.0004,0.0133
C_D_C0232462 (Decrease in appetite),M,0.9955,0.9733
C_D_C0232462 (Decrease in appetite),N,0.0001,0.0133
C_D_C0232462 (Decrease in appetite),P,0.0044,0.0133
C_D_C0232466 (Feeding difficulties),M,0.9989,0.96
C_D_C0232466 (Feeding difficulties),N,0.0001,0.0133
C_D_C0232466 (Feeding difficulties),P,0.001,0.0267
C_D_C0233657 (Flight of ideas),M,0.9913,0.9733
C_D_C0233657 (Flight of ideas),N,0.0068,0.0133
C_D_C0233657 (Flight of ideas),P,0.0019,0.0133
C_D_C0233763 ('Hallucinations  Visual'),M,0.9895,0.9733
C_D_C0233763 ('Hallucinations  Visual'),N,0.0067,0.0133
C_D_C0233763 ('Hallucinations  Visual'),P,0.0038,0.0133
C_D_C0234215 (Sensory Discomfort),M,0.9127,0.96
C_D_C0234215 (Sensory Discomfort),N,0.0044,0.0133
C_D_C0234215 (Sensory Discomfort),P,0.0829,0.0267
C_D_C0234233 (Sore to touch),M,0.3759,0.5067
C_D_C0234233 (Sore to touch),N,0.2896,0.2533
C_D_C0234233 (Sore to touch),P,0.3345,0.24
C_D_C0234238 (Ache),M,0.9886,0.9333
C_D_C0234238 (Ache),N,0.0003,0.0267
C_D_C0234238 (Ache),P,0.0111,0.04
C_D_C0234254 (Radiating pain),M,0.9836,0.9733
C_D_C0234254 (Radiating pain),N,0.0011,0.0133
C_D_C0234254 (Radiating pain),P,0.0154,0.0133
C_D_C0234425 (Level of consciousness),M,0.9581,0.9467
C_D_C0234425 (Level of consciousness),N,0.024,0.0133
C_D_C0234425 (Level of consciousness),P,0.0179,0.04
C_D_C0235031 (Neurologic Symptoms),M,0.8648,0.6
C_D_C0235031 (Neurologic Symptoms),N,0.0041,0.0133
C_D_C0235031 (Neurologic Symptoms),P,0.1311,0.3867
C_D_C0238656 (Ankle pain),M,0.9851,0.9733
C_D_C0238656 (Ankle pain),N,0.0005,0.0133
C_D_C0238656 (Ankle pain),P,0.0144,0.0133
C_D_C0239008 (Chest wall tenderness),M,0.917,0.9467
C_D_C0239008 (Chest wall tenderness),N,0.074,0.04
C_D_C0239008 (Chest wall tenderness),P,0.009,0.0133
C_D_C0239110 (Consciousness clear),M,0.1778,0.48
C_D_C0239110 (Consciousness clear),N,0.005,0.0267
C_D_C0239110 (Consciousness clear),P,0.8172,0.4933
C_D_C0239134 (Productive Cough),M,0.9813,0.92
C_D_C0239134 (Productive Cough),N,0.0018,0.0133
C_D_C0239134 (Productive Cough),P,0.0169,0.0667
C_D_C0240859 (Basilar Rales),M,0.8857,0.76
C_D_C0240859 (Basilar Rales),N,0.0174,0.0133
C_D_C0240859 (Basilar Rales),P,0.0969,0.2267
C_D_C0241889 (Family history),M,0.5605,0.2667
C_D_C0241889 (Family history),N,0.0364,0.16
C_D_C0241889 (Family history),P,0.403,0.5733
C_D_C0242429 (Sore Throat),M,0.8907,0.8533
C_D_C0242429 (Sore Throat),N,0.0529,0.0533
C_D_C0242429 (Sore Throat),P,0.0564,0.0933
C_D_C0260522 (Encounter due to family history of asthma),M,0.9985,0.9733
C_D_C0260522 (Encounter due to family history of asthma),N,0.0005,0.0133
C_D_C0260522 (Encounter due to family history of asthma),P,0.001,0.0133
C_D_C0277873 (Nasal Flaring),M,0.9968,0.96
C_D_C0277873 (Nasal Flaring),N,0.001,0.0133
C_D_C0277873 (Nasal Flaring),P,0.0022,0.0267
C_D_C0278005 (Normal bowel sounds),M,0.7472,0.6133
C_D_C0278005 (Normal bowel sounds),N,0.0001,0.0133
C_D_C0278005 (Normal bowel sounds),P,0.2527,0.3733
C_D_C0278134 (Absence of sensation),M,0.9694,0.96
C_D_C0278134 (Absence of sensation),N,0.0011,0.0133
C_D_C0278134 (Absence of sensation),P,0.0296,0.0267
C_D_C0302844 (MCV - low),M,0.9958,0.96
C_D_C0302844 (MCV - low),N,0,0.0133
C_D_C0302844 (MCV - low),P,0.0042,0.0267
C_D_C0332148 (Probable diagnosis),M,0.7582,0.64
C_D_C0332148 (Probable diagnosis),N,0.0061,0.0133
C_D_C0332148 (Probable diagnosis),P,0.2357,0.3467
C_D_C0332167 (High risk of),M,0.9961,0.9467
C_D_C0332167 (High risk of),N,0.0003,0.0133
C_D_C0332167 (High risk of),P,0.0035,0.04
C_D_C0332516 (Symmetrical),M,0.717,0.8
C_D_C0332516 (Symmetrical),N,0.0001,0.0133
C_D_C0332516 (Symmetrical),P,0.2829,0.1867
C_D_C0332523 (Retraction (finding)),M,0.8705,0.64
C_D_C0332523 (Retraction (finding)),N,0.1165,0.12
C_D_C0332523 (Retraction (finding)),P,0.013,0.24
C_D_C0342593 (Reduced anion gap),M,0.9978,0.96
C_D_C0342593 (Reduced anion gap),N,0,0.0133
C_D_C0342593 (Reduced anion gap),P,0.0022,0.0267
C_D_C0344232 (Blurred vision),M,0.954,0.96
C_D_C0344232 (Blurred vision),N,0.0227,0.0267
C_D_C0344232 (Blurred vision),P,0.0233,0.0133
C_D_C0344307 (Absence of pain sensation),M,0.9828,0.9733
C_D_C0344307 (Absence of pain sensation),N,0.0008,0.0133
C_D_C0344307 (Absence of pain sensation),P,0.0164,0.0133
C_D_C0349790 (Exacerbation of asthma),M,0.9869,0.92
C_D_C0349790 (Exacerbation of asthma),N,0.0002,0.0133
C_D_C0349790 (Exacerbation of asthma),P,0.0129,0.0667
C_D_C0392171 (Influenza-like symptoms),M,0.9992,0.9733
C_D_C0392171 (Influenza-like symptoms),N,0.0001,0.0133
C_D_C0392171 (Influenza-like symptoms),P,0.0008,0.0133
C_D_C0421203 (Home oxygen supply),M,0.9956,0.9467
C_D_C0421203 (Home oxygen supply),N,0.0002,0.0133
C_D_C0421203 (Home oxygen supply),P,0.0042,0.04
C_D_C0424000 (Feeling suicidal (finding)),M,0.9735,0.9733
C_D_C0424000 (Feeling suicidal (finding)),N,0.009,0.0133
C_D_C0424000 (Feeling suicidal (finding)),P,0.0175,0.0133
C_D_C0424480 (Facial symmetry),M,0.8712,0.8533
C_D_C0424480 (Facial symmetry),N,0.0001,0.0133
C_D_C0424480 (Facial symmetry),P,0.1287,0.1333
C_D_C0424755 (Fever symptoms (finding)),M,0.6219,0.24
C_D_C0424755 (Fever symptoms (finding)),N,0.2417,0.1867
C_D_C0424755 (Fever symptoms (finding)),P,0.1364,0.5733
C_D_C0425293 (Never smoked tobacco),M,0.8827,0.9467
C_D_C0425293 (Never smoked tobacco),N,0.0081,0.0133
C_D_C0425293 (Never smoked tobacco),P,0.1092,0.04
C_D_C0425452 (No obstruction of airway),M,0.7181,0.7867
C_D_C0425452 (No obstruction of airway),N,0.0001,0.0133
C_D_C0425452 (No obstruction of airway),P,0.2818,0.2
C_D_C0425470 (Intercostal Retractions),M,0.8704,0.64
C_D_C0425470 (Intercostal Retractions),N,0.1166,0.1067
C_D_C0425470 (Intercostal Retractions),P,0.013,0.2533
C_D_C0425574 (Bounding pulse),M,0.9998,0.9733
C_D_C0425574 (Bounding pulse),N,0,0.0133
C_D_C0425574 (Bounding pulse),P,0.0002,0.0133
C_D_C0425710 (Peripheral perfusion),M,0.7105,0.5733
C_D_C0425710 (Peripheral perfusion),N,0,0.0133
C_D_C0425710 (Peripheral perfusion),P,0.2895,0.4133
C_D_C0426317 (Genitourinary symptoms),M,0.9021,0.6667
C_D_C0426317 (Genitourinary symptoms),N,0.0002,0.0133
C_D_C0426317 (Genitourinary symptoms),P,0.0977,0.32
C_D_C0426576 (Gastrointestinal symptom),M,0.8513,0.6
C_D_C0426576 (Gastrointestinal symptom),N,0.0002,0.0133
C_D_C0426576 (Gastrointestinal symptom),P,0.1484,0.3867
C_D_C0428167 (Inspired fraction of oxygen),M,0.6374,0.8
C_D_C0428167 (Inspired fraction of oxygen),N,0.0003,0.0133
C_D_C0428167 (Inspired fraction of oxygen),P,0.3623,0.1867
C_D_C0438141 (Urine screening normal),M,0.9962,0.96
C_D_C0438141 (Urine screening normal),N,0,0.0133
C_D_C0438141 (Urine screening normal),P,0.0038,0.0267
C_D_C0442797 (Decreasing),M,0.9925,0.9467
C_D_C0442797 (Decreasing),N,0.0002,0.0133
C_D_C0442797 (Decreasing),P,0.0072,0.04
C_D_C0455204 (Homicidal thoughts),M,0.9738,0.9733
C_D_C0455204 (Homicidal thoughts),N,0.0083,0.0133
C_D_C0455204 (Homicidal thoughts),P,0.0179,0.0133
C_D_C0455458 (PMH - past medical history),M,0.4706,0.6533
C_D_C0455458 (PMH - past medical history),N,0.0379,0.0133
C_D_C0455458 (PMH - past medical history),P,0.4915,0.3333
C_D_C0455544 (H/O: asthma),M,0.9738,0.9467
C_D_C0455544 (H/O: asthma),N,0.0033,0.0133
C_D_C0455544 (H/O: asthma),P,0.0228,0.04
C_D_C0455899 (Red throat),M,0.7941,0.72
C_D_C0455899 (Red throat),N,0.1071,0.0667
C_D_C0455899 (Red throat),P,0.0988,0.2133
C_D_C0456984 (Test Result),M,0.9672,0.9467
C_D_C0456984 (Test Result),N,0.0024,0.0133
C_D_C0456984 (Test Result),P,0.0304,0.04
C_D_C0457096 (Yellow sputum),M,0.9969,0.96
C_D_C0457096 (Yellow sputum),N,0,0.0133
C_D_C0457096 (Yellow sputum),P,0.0031,0.0267
C_D_C0476270 (Cardiovascular symptoms),M,0.8898,0.5867
C_D_C0476270 (Cardiovascular symptoms),N,0.0001,0.0133
C_D_C0476270 (Cardiovascular symptoms),P,0.1101,0.4
C_D_C0476273 (Respiratory distress),M,0.9265,0.6533
C_D_C0476273 (Respiratory distress),N,0.0233,0.0267
C_D_C0476273 (Respiratory distress),P,0.0502,0.32
C_D_C0489543 (History source),M,0.7599,0.4133
C_D_C0489543 (History source),N,0,0.0133
C_D_C0489543 (History source),P,0.2401,0.5733
C_D_C0489547 (Hospital course),M,0.7643,0.8533
C_D_C0489547 (Hospital course),N,0.0009,0.0133
C_D_C0489547 (Hospital course),P,0.2348,0.1333
C_D_C0489749 (Rectal temperature),M,0.9991,0.9733
C_D_C0489749 (Rectal temperature),N,0,0.0133
C_D_C0489749 (Rectal temperature),P,0.0009,0.0133
C_D_C0518610 (Social warmth),M,0.9584,0.9733
C_D_C0518610 (Social warmth),N,0.0079,0.0133
C_D_C0518610 (Social warmth),P,0.0337,0.0133
C_D_C0521654 (Neurologic Deficits),M,0.8511,0.76
C_D_C0521654 (Neurologic Deficits),N,0.0073,0.0133
C_D_C0521654 (Neurologic Deficits),P,0.1416,0.2267
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.8151,0.5333
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0.0001,0.0133
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.1848,0.4533
C_D_C0542538 (Observation of Sensation),M,0.7926,0.9333
C_D_C0542538 (Observation of Sensation),N,0.0022,0.0133
C_D_C0542538 (Observation of Sensation),P,0.2052,0.0533
C_D_C0557130 (Lives with family),M,0.9942,0.96
C_D_C0557130 (Lives with family),N,0.0001,0.0133
C_D_C0557130 (Lives with family),P,0.0057,0.0267
C_D_C0557134 (Lives with mother),M,0.9925,0.9733
C_D_C0557134 (Lives with mother),N,0.0001,0.0133
C_D_C0557134 (Lives with mother),P,0.0075,0.0133
C_D_C0558145 (Skin appearance normal (finding)),M,0.1685,0.1333
C_D_C0558145 (Skin appearance normal (finding)),N,0.0117,0.0533
C_D_C0558145 (Skin appearance normal (finding)),P,0.8198,0.8133
C_D_C0562483 (Persistent cough),M,0.9982,0.96
C_D_C0562483 (Persistent cough),N,0,0.0133
C_D_C0562483 (Persistent cough),P,0.0018,0.0267
C_D_C0566275 (Able to drink),M,0.9957,0.9733
C_D_C0566275 (Able to drink),N,0,0.0133
C_D_C0566275 (Able to drink),P,0.0042,0.0133
C_D_C0576456 (Feeding poor),M,0.9994,0.96
C_D_C0576456 (Feeding poor),N,0,0.0133
C_D_C0576456 (Feeding poor),P,0.0005,0.0267
C_D_C0577559 (Mass of body structure),M,0.8674,0.9333
C_D_C0577559 (Mass of body structure),N,0.0083,0.0133
C_D_C0577559 (Mass of body structure),P,0.1243,0.0533
C_D_C0577573 (Mass of body region),M,0.8732,0.9333
C_D_C0577573 (Mass of body region),N,0.0083,0.0133
C_D_C0577573 (Mass of body region),P,0.1184,0.0533
C_D_C0578671 (Does move),M,0.8377,0.64
C_D_C0578671 (Does move),N,0.0001,0.0133
C_D_C0578671 (Does move),P,0.1622,0.3467
C_D_C0579136 (Normal coordination),M,0.9644,0.8933
C_D_C0579136 (Normal coordination),N,0,0.0133
C_D_C0579136 (Normal coordination),P,0.0355,0.0933
C_D_C0582051 (Feels warm),M,0.241,0.1733
C_D_C0582051 (Feels warm),N,0.0079,0.0133
C_D_C0582051 (Feels warm),P,0.751,0.8133
C_D_C0586406 (Eye symptom),M,0.8904,0.6533
C_D_C0586406 (Eye symptom),N,0.0003,0.0133
C_D_C0586406 (Eye symptom),P,0.1094,0.3333
C_D_C0586407 (Skin symptom),M,0.8562,0.5467
C_D_C0586407 (Skin symptom),N,0.0003,0.0133
C_D_C0586407 (Skin symptom),P,0.1435,0.44
C_D_C0586514 (Discharge status),M,0.8649,0.96
C_D_C0586514 (Discharge status),N,0,0.0133
C_D_C0586514 (Discharge status),P,0.1351,0.0267
C_D_C0587081 (Laboratory test finding),M,0.6907,0.5467
C_D_C0587081 (Laboratory test finding),N,0.0045,0.0133
C_D_C0587081 (Laboratory test finding),P,0.3048,0.44
C_D_C0589120 (Follow-up status),M,0.9568,0.92
C_D_C0589120 (Follow-up status),N,0.0009,0.0133
C_D_C0589120 (Follow-up status),P,0.0424,0.0667
C_D_C0595998 (Household composition),M,0.8716,0.72
C_D_C0595998 (Household composition),N,0.0009,0.0133
C_D_C0595998 (Household composition),P,0.1275,0.2667
C_D_C0700292 (Hypoxemia),M,0.9976,0.96
C_D_C0700292 (Hypoxemia),N,0.0003,0.0133
C_D_C0700292 (Hypoxemia),P,0.0021,0.0267
C_D_C0728731 (Prematurity of fetus),M,0.9985,0.9467
C_D_C0728731 (Prematurity of fetus),N,0,0.0133
C_D_C0728731 (Prematurity of fetus),P,0.0015,0.04
C_D_C0728899 (Intoxication),M,0.9874,0.9733
C_D_C0728899 (Intoxication),N,0.0005,0.0133
C_D_C0728899 (Intoxication),P,0.0121,0.0133
C_D_C0741302 (atypia morphology),M,0.9851,0.8267
C_D_C0741302 (atypia morphology),N,0.0006,0.0133
C_D_C0741302 (atypia morphology),P,0.0143,0.16
C_D_C0743973 (FEVER HIGH (finding)),M,0.998,0.96
C_D_C0743973 (FEVER HIGH (finding)),N,0,0.0133
C_D_C0743973 (FEVER HIGH (finding)),P,0.002,0.0267
C_D_C0744961 (surgical history),M,0.8042,0.6
C_D_C0744961 (surgical history),N,0.0004,0.0133
C_D_C0744961 (surgical history),P,0.1954,0.3867
C_D_C0746674 (Generalized muscle weakness),M,0.9864,0.96
C_D_C0746674 (Generalized muscle weakness),N,0.0003,0.0133
C_D_C0746674 (Generalized muscle weakness),P,0.0133,0.0267
C_D_C0746961 (Oxygen saturation below reference range),M,0.9979,0.9333
C_D_C0746961 (Oxygen saturation below reference range),N,0.0002,0.0133
C_D_C0746961 (Oxygen saturation below reference range),P,0.0019,0.0533
C_D_C0750394 (White blood cell count decreased),M,0.9974,0.96
C_D_C0750394 (White blood cell count decreased),N,0,0.0133
C_D_C0750394 (White blood cell count decreased),P,0.0025,0.0267
C_D_C0805732 (Completion Status),M,0.989,0.92
C_D_C0805732 (Completion Status),N,0.0001,0.0133
C_D_C0805732 (Completion Status),P,0.0109,0.0667
C_D_C0808334 (Tube number),M,0.999,0.96
C_D_C0808334 (Tube number),N,0,0.0133
C_D_C0808334 (Tube number),P,0.001,0.0267
C_D_C0849970 (Feeling tired),M,0.9903,0.92
C_D_C0849970 (Feeling tired),N,0.0001,0.0133
C_D_C0849970 (Feeling tired),P,0.0096,0.0667
C_D_C0850149 (Dry cough),M,0.9861,0.9333
C_D_C0850149 (Dry cough),N,0.0001,0.0133
C_D_C0850149 (Dry cough),P,0.0138,0.0533
C_D_C0851511 (family issues),M,0.9664,0.9333
C_D_C0851511 (family issues),N,0.0332,0.0533
C_D_C0851511 (family issues),P,0.0004,0.0133
C_D_C0853697 (Neutrophil count decreased),M,0.9974,0.9333
C_D_C0853697 (Neutrophil count decreased),N,0.0006,0.0133
C_D_C0853697 (Neutrophil count decreased),P,0.002,0.0533
C_D_C0859927 (Increased work of breathing),M,0.9971,0.8933
C_D_C0859927 (Increased work of breathing),N,0.0007,0.0133
C_D_C0859927 (Increased work of breathing),P,0.0023,0.0933
C_D_C0863146 (Yellow color on exam),M,0.9827,0.8667
C_D_C0863146 (Yellow color on exam),N,0.0001,0.0133
C_D_C0863146 (Yellow color on exam),P,0.0172,0.12
