===== Class Prior Probabilities =====
P(RSV=False) = 0.9826990810320892
P(RSV=True) = 0.017300918967910695

===== Conditional Probabilities =====
P(AGE=Not Mentioned | RSV=False) = 8.171937566396992E-5
P(Back Pain=Not Mentioned | RSV=True) = 0.9278145695364238
P(Back Pain=Negated | RSV=True) = 0.023178807947019868
P(Back Pain=Present | RSV=True) = 0.04900662251655629
P(Birth History=Not Mentioned | RSV=False) = 0.9751567297477147
P(Birth History=Negated | RSV=False) = 5.837234551758759E-5
P(Birth History=Present | RSV=False) = 0.02478489790676769
P(Birth History=Not Mentioned | RSV=True) = 0.695364238410596
P(Birth History=Negated | RSV=True) = 6.622516556291391E-4
P(Birth History=Present | RSV=True) = 0.3039735099337748
P(Neck Pain=Not Mentioned | RSV=False) = 0.8782819851267264
P(Neck Pain=Negated | RSV=False) = 0.059131186009316224
P(Neck Pain=Present | RSV=False) = 0.06258682886395742
P(Neck Pain=Not Mentioned | RSV=True) = 0.9562913907284768
P(Neck Pain=Negated | RSV=True) = 0.033112582781456956
P(Neck Pain=Present | RSV=True) = 0.010596026490066225
P(Chest Pain=Not Mentioned | RSV=False) = 0.5595339551933876
P(Chest Pain=Negated | RSV=False) = 0.2738129983538999
P(Chest Pain=Present | RSV=False) = 0.16665304645271256
P(Chest Pain=Not Mentioned | RSV=True) = 0.8225165562913908
P(Chest Pain=Negated | RSV=True) = 0.11059602649006622
P(Chest Pain=Present | RSV=True) = 0.06688741721854305
P(Chest wall pain=Not Mentioned | RSV=False) = 0.9871580839861307
P(Chest wall pain=Negated | RSV=False) = 2.8018725848442044E-4
P(Chest wall pain=Present | RSV=False) = 0.01256172875538485
P(Chest wall pain=Not Mentioned | RSV=True) = 0.9966887417218543
P(Chest wall pain=Negated | RSV=True) = 6.622516556291391E-4
P(Chest wall pain=Present | RSV=True) = 0.0026490066225165563
P(Consciousness related finding=Not Mentioned | RSV=False) = 0.9475933081943099
P(Consciousness related finding=Negated | RSV=False) = 7.588404917286386E-4
P(Consciousness related finding=Present | RSV=False) = 0.0516478513139615
P(Consciousness related finding=Not Mentioned | RSV=True) = 0.9701986754966887
P(Consciousness related finding=Negated | RSV=True) = 6.622516556291391E-4
P(Consciousness related finding=Present | RSV=True) = 0.02913907284768212
P(Constipation=Not Mentioned | RSV=False) = 0.8767759786123726
P(Constipation=Negated | RSV=False) = 0.030797249495079213
P(Constipation=Present | RSV=False) = 0.09242677189254819
P(Constipation=Not Mentioned | RSV=True) = 0.9337748344370861
P(Constipation=Negated | RSV=True) = 0.011258278145695364
P(Constipation=Present | RSV=True) = 0.05496688741721854
P(Constitutional Symptom=Not Mentioned | RSV=False) = 0.824042401671784
P(Constitutional Symptom=Negated | RSV=False) = 0.007600079386389904
P(Constitutional Symptom=Present | RSV=False) = 0.16835751894182613
P(Constitutional Symptom=Not Mentioned | RSV=True) = 0.46556291390728477
P(Constitutional Symptom=Negated | RSV=True) = 0.00728476821192053
P(Constitutional Symptom=Present | RSV=True) = 0.5271523178807948
P(Coughing=Not Mentioned | RSV=False) = 0.6860268279299999
P(Coughing=Negated | RSV=False) = 0.15649625833265232
P(Coughing=Present | RSV=False) = 0.1574769137373478
P(Coughing=Not Mentioned | RSV=True) = 0.2543046357615894
P(Coughing=Negated | RSV=True) = 0.03245033112582781
P(Coughing=Present | RSV=True) = 0.7132450331125828
P(Cyanosis=Not Mentioned | RSV=False) = 0.9558588323196002
P(Cyanosis=Negated | RSV=False) = 0.02709644278926416
P(Cyanosis=Present | RSV=False) = 0.017044724891135576
P(Cyanosis=Not Mentioned | RSV=True) = 0.8827814569536424
P(Cyanosis=Negated | RSV=True) = 0.033112582781456956
P(Cyanosis=Present | RSV=True) = 0.08410596026490066
P(Diarrhea=Not Mentioned | RSV=False) = 0.7030482038829284
P(Diarrhea=Negated | RSV=False) = 0.10657622844601142
P(Diarrhea=Present | RSV=False) = 0.19037556767106015
P(Diarrhea=Not Mentioned | RSV=True) = 0.6437086092715232
P(Diarrhea=Negated | RSV=True) = 0.10132450331125828
P(Diarrhea=Present | RSV=True) = 0.25496688741721857
P(Diplopia=Not Mentioned | RSV=False) = 0.950033272236945
P(Diplopia=Negated | RSV=False) = 0.020150133672671235
P(Diplopia=Present | RSV=False) = 0.02981659409038374
P(Diplopia=Not Mentioned | RSV=True) = 0.9874172185430463
P(Diplopia=Negated | RSV=True) = 0.005960264900662252
P(Diplopia=Present | RSV=True) = 0.006622516556291391
P(Dizziness=Not Mentioned | RSV=False) = 0.8653583478291325
P(Dizziness=Negated | RSV=False) = 0.017605099408104417
P(Dizziness=Present | RSV=False) = 0.11703655276276312
P(Dizziness=Not Mentioned | RSV=True) = 0.9701986754966887
P(Dizziness=Negated | RSV=True) = 0.006622516556291391
P(Dizziness=Present | RSV=True) = 0.023178807947019868
P(Dyspnea=Not Mentioned | RSV=False) = 0.5213350922866783
P(Dyspnea=Negated | RSV=False) = 0.231925003210479
P(Dyspnea=Present | RSV=False) = 0.24673990450284272
P(Dyspnea=Not Mentioned | RSV=True) = 0.5986754966887418
P(Dyspnea=Negated | RSV=True) = 0.02847682119205298
P(Dyspnea=Present | RSV=True) = 0.37284768211920527
P(Dysuria=Not Mentioned | RSV=False) = 0.7500846399010005
P(Dysuria=Negated | RSV=False) = 0.1770783473621537
P(Dysuria=Present | RSV=False) = 0.07283701273684579
P(Dysuria=Not Mentioned | RSV=True) = 0.8801324503311259
P(Dysuria=Negated | RSV=True) = 0.10132450331125828
P(Dysuria=Present | RSV=True) = 0.018543046357615896
P(Exanthema=Not Mentioned | RSV=False) = 0.4273205925960517
P(Exanthema=Negated | RSV=False) = 0.48342809110755686
P(Exanthema=Present | RSV=False) = 0.08925131629639142
P(Exanthema=Not Mentioned | RSV=True) = 0.3794701986754967
P(Exanthema=Negated | RSV=True) = 0.5582781456953643
P(Exanthema=Present | RSV=True) = 0.06225165562913907
P(Fatigue=Not Mentioned | RSV=False) = 0.9435189184771823
P(Fatigue=Negated | RSV=False) = 0.014219503368084337
P(Fatigue=Present | RSV=False) = 0.042261578154733415
P(Fatigue=Not Mentioned | RSV=True) = 0.9145695364238411
P(Fatigue=Negated | RSV=True) = 0.004635761589403974
P(Fatigue=Present | RSV=True) = 0.08079470198675497
P(Fever=Not Mentioned | RSV=False) = 0.38148662689564194
P(Fever=Negated | RSV=False) = 0.3983912581575353
P(Fever=Present | RSV=False) = 0.2201221149468228
P(Fever=Not Mentioned | RSV=True) = 0.16688741721854305
P(Fever=Negated | RSV=True) = 0.24635761589403973
P(Fever=Present | RSV=True) = 0.5867549668874172
P(Flank Pain=Not Mentioned | RSV=False) = 0.9777834852960061
P(Flank Pain=Negated | RSV=False) = 0.0030820598433286247
P(Flank Pain=Present | RSV=False) = 0.01913445486066521
P(Flank Pain=Not Mentioned | RSV=True) = 0.9953642384105961
P(Flank Pain=Negated | RSV=True) = 6.622516556291391E-4
P(Flank Pain=Present | RSV=True) = 0.003973509933774834
P(Foot pain=Not Mentioned | RSV=False) = 0.9824649474065167
P(Foot pain=Negated | RSV=False) = 3.6190854220904305E-4
P(Foot pain=Present | RSV=False) = 0.017173144051274267
P(Foot pain=Not Mentioned | RSV=True) = 0.9980132450331126
P(Foot pain=Negated | RSV=True) = 6.622516556291391E-4
P(Foot pain=Present | RSV=True) = 0.0013245033112582781
P(Gait=Not Mentioned | RSV=False) = 0.9538158002264847
P(Gait=Negated | RSV=False) = 5.370255787618058E-4
P(Gait=Present | RSV=False) = 0.0456471741947535
P(Gait=Not Mentioned | RSV=True) = 0.9887417218543046
P(Gait=Negated | RSV=True) = 6.622516556291391E-4
P(Gait=Present | RSV=True) = 0.010596026490066225
P(Headache=Not Mentioned | RSV=False) = 0.7054648189873566
P(Headache=Negated | RSV=False) = 0.1543481560176051
P(Headache=Present | RSV=False) = 0.14018702499503835
P(Headache=Not Mentioned | RSV=True) = 0.919205298013245
P(Headache=Negated | RSV=True) = 0.05364238410596026
P(Headache=Present | RSV=True) = 0.027152317880794703
P(Heart murmur=Not Mentioned | RSV=False) = 0.37999229485039165
P(Heart murmur=Negated | RSV=False) = 0.5913235345622658
P(Heart murmur=Present | RSV=False) = 0.02868417058734254
P(Heart murmur=Not Mentioned | RSV=True) = 0.343046357615894
P(Heart murmur=Negated | RSV=True) = 0.6357615894039735
P(Heart murmur=Present | RSV=True) = 0.02119205298013245
P(Hematemesis=Not Mentioned | RSV=False) = 0.9814492685945106
P(Hematemesis=Negated | RSV=False) = 0.010413626440337626
P(Hematemesis=Present | RSV=False) = 0.00813710496515171
P(Hematemesis=Not Mentioned | RSV=True) = 0.9933774834437086
P(Hematemesis=Negated | RSV=True) = 0.0033112582781456954
P(Hematemesis=Present | RSV=True) = 0.0033112582781456954
P(Hemoglobin concentration result=Not Mentioned | RSV=False) = 0.7758618676815672
P(Hemoglobin concentration result=Negated | RSV=False) = 9.339575282814014E-5
P(Hemoglobin concentration result=Present | RSV=False) = 0.22404473656560467
P(Hemoglobin concentration result=Not Mentioned | RSV=True) = 0.6768211920529801
P(Hemoglobin concentration result=Negated | RSV=True) = 6.622516556291391E-4
P(Hemoglobin concentration result=Present | RSV=True) = 0.32251655629139075
P(Hemoptysis=Not Mentioned | RSV=False) = 0.9761140362142031
P(Hemoptysis=Negated | RSV=False) = 0.013052056457732584
P(Hemoptysis=Present | RSV=False) = 0.010833907328064257
P(Hemoptysis=Not Mentioned | RSV=True) = 0.9788079470198675
P(Hemoptysis=Negated | RSV=True) = 0.012582781456953643
P(Hemoptysis=Present | RSV=True) = 0.008609271523178808
P(Hepatosplenomegaly=Not Mentioned | RSV=False) = 0.9146246074459764
P(Hepatosplenomegaly=Negated | RSV=False) = 0.0827719859439392
P(Hepatosplenomegaly=Present | RSV=False) = 0.0026034066100844066
P(Hepatosplenomegaly=Not Mentioned | RSV=True) = 0.956953642384106
P(Hepatosplenomegaly=Negated | RSV=True) = 0.02913907284768212
P(Hepatosplenomegaly=Present | RSV=True) = 0.01390728476821192
P(Hypercapnia=Not Mentioned | RSV=False) = 0.9981904572889548
P(Hypercapnia=Negated | RSV=False) = 1.8679150565628028E-4
P(Hypercapnia=Present | RSV=False) = 0.001622751205388935
P(Hypercapnia=Not Mentioned | RSV=True) = 0.9735099337748344
P(Hypercapnia=Negated | RSV=True) = 0.004635761589403974
P(Hypercapnia=Present | RSV=True) = 0.02185430463576159
P(Hypesthesia=Not Mentioned | RSV=False) = 0.7849562791132073
P(Hypesthesia=Negated | RSV=False) = 0.13361429888975798
P(Hypesthesia=Present | RSV=False) = 0.08142942199703468
P(Hypesthesia=Not Mentioned | RSV=True) = 0.9403973509933775
P(Hypesthesia=Negated | RSV=True) = 0.0390728476821192
P(Hypesthesia=Present | RSV=True) = 0.02052980132450331
P(Infant, Premature=Not Mentioned | RSV=False) = 0.9982838530417829
P(Infant, Premature=Negated | RSV=False) = 3.5023407310552555E-5
P(Infant, Premature=Present | RSV=False) = 0.0016811235509065225
P(Infant, Premature=Not Mentioned | RSV=True) = 0.9649006622516556
P(Infant, Premature=Negated | RSV=True) = 0.0013245033112582781
P(Infant, Premature=Present | RSV=True) = 0.03377483443708609
P(Icterus=Not Mentioned | RSV=False) = 0.705453144518253
P(Icterus=Negated | RSV=False) = 0.05788201781523985
P(Icterus=Present | RSV=False) = 0.23666483766650712
P(Icterus=Not Mentioned | RSV=True) = 0.8079470198675497
P(Icterus=Negated | RSV=True) = 0.11721854304635762
P(Icterus=Present | RSV=True) = 0.07483443708609272
P(Lethargy=Not Mentioned | RSV=False) = 0.9829552751088644
P(Lethargy=Negated | RSV=False) = 0.0034322939164341502
P(Lethargy=Present | RSV=False) = 0.013612430974701425
P(Lethargy=Not Mentioned | RSV=True) = 0.9331125827814569
P(Lethargy=Negated | RSV=True) = 0.016556291390728478
P(Lethargy=Present | RSV=True) = 0.05033112582781457
P(Low Back Pain=Not Mentioned | RSV=False) = 0.964357845826961
P(Low Back Pain=Negated | RSV=False) = 4.669787641407007E-4
P(Low Back Pain=Present | RSV=False) = 0.03517517540889828
P(Low Back Pain=Not Mentioned | RSV=True) = 0.9966887417218543
P(Low Back Pain=Negated | RSV=True) = 6.622516556291391E-4
P(Low Back Pain=Present | RSV=True) = 0.0026490066225165563
P(Meningism=Not Mentioned | RSV=False) = 0.9751217063404042
P(Meningism=Negated | RSV=False) = 0.02276521475185916
P(Meningism=Present | RSV=False) = 0.0021130789077366706
P(Meningism=Not Mentioned | RSV=True) = 0.9801324503311258
P(Meningism=Negated | RSV=True) = 0.016556291390728478
P(Meningism=Present | RSV=True) = 0.0033112582781456954
P(Muscle Cramp=Not Mentioned | RSV=False) = 0.9770713426806916
P(Muscle Cramp=Negated | RSV=False) = 0.001961310809390943
P(Muscle Cramp=Present | RSV=False) = 0.02096734650991746
P(Muscle Cramp=Not Mentioned | RSV=True) = 0.9947019867549669
P(Muscle Cramp=Negated | RSV=True) = 6.622516556291391E-4
P(Muscle Cramp=Present | RSV=True) = 0.004635761589403974
P(Muscle hypotonia=Not Mentioned | RSV=False) = 0.9991594382245468
P(Muscle hypotonia=Negated | RSV=False) = 1.1674469103517518E-5
P(Muscle hypotonia=Present | RSV=False) = 8.288873063497438E-4
P(Muscle hypotonia=Not Mentioned | RSV=True) = 0.9887417218543046
P(Muscle hypotonia=Negated | RSV=True) = 6.622516556291391E-4
P(Muscle hypotonia=Present | RSV=True) = 0.010596026490066225
P(Musculoskeletal Pain=Not Mentioned | RSV=False) = 0.9895863735596624
P(Musculoskeletal Pain=Negated | RSV=False) = 0.0013425639469045146
P(Musculoskeletal Pain=Present | RSV=False) = 0.009071062493433112
P(Musculoskeletal Pain=Not Mentioned | RSV=True) = 0.9980132450331126
P(Musculoskeletal Pain=Negated | RSV=True) = 6.622516556291391E-4
P(Musculoskeletal Pain=Present | RSV=True) = 0.0013245033112582781
P(Nasal congestion (finding)=Not Mentioned | RSV=False) = 0.9105852411361594
P(Nasal congestion (finding)=Negated | RSV=False) = 0.05702978157068307
P(Nasal congestion (finding)=Present | RSV=False) = 0.03238497729315759
P(Nasal congestion (finding)=Not Mentioned | RSV=True) = 0.6099337748344371
P(Nasal congestion (finding)=Negated | RSV=True) = 0.02913907284768212
P(Nasal congestion (finding)=Present | RSV=True) = 0.3609271523178808
P(Nausea=Not Mentioned | RSV=False) = 0.6275260632522736
P(Nausea=Negated | RSV=False) = 0.1550252752256091
P(Nausea=Present | RSV=False) = 0.21744866152211728
P(Nausea=Not Mentioned | RSV=True) = 0.8728476821192053
P(Nausea=Negated | RSV=True) = 0.0576158940397351
P(Nausea=Present | RSV=True) = 0.0695364238410596
P(Numbness=Not Mentioned | RSV=False) = 0.7815706830731872
P(Numbness=Negated | RSV=False) = 0.13598421611777203
P(Numbness=Present | RSV=False) = 0.0824451008090407
P(Numbness=Not Mentioned | RSV=True) = 0.9403973509933775
P(Numbness=Negated | RSV=True) = 0.039735099337748346
P(Numbness=Present | RSV=True) = 0.019867549668874173
P(Decreased translucency=Not Mentioned | RSV=False) = 0.987636737219375
P(Decreased translucency=Negated | RSV=False) = 2.3348938207035035E-4
P(Decreased translucency=Present | RSV=False) = 0.012129773398554701
P(Decreased translucency=Not Mentioned | RSV=True) = 0.8562913907284768
P(Decreased translucency=Negated | RSV=True) = 0.005298013245033113
P(Decreased translucency=Present | RSV=True) = 0.13841059602649006
P(Pain=Not Mentioned | RSV=False) = 0.45542103972821835
P(Pain=Negated | RSV=False) = 0.11137443524755712
P(Pain=Present | RSV=False) = 0.4332045250242245
P(Pain=Not Mentioned | RSV=True) = 0.8900662251655629
P(Pain=Negated | RSV=True) = 0.03708609271523179
P(Pain=Present | RSV=True) = 0.0728476821192053
P(Pallor=Not Mentioned | RSV=False) = 0.9358371178070677
P(Pallor=Negated | RSV=False) = 0.050235240552435875
P(Pallor=Present | RSV=False) = 0.013927641640496398
P(Pallor=Not Mentioned | RSV=True) = 0.8556291390728477
P(Pallor=Negated | RSV=True) = 0.12185430463576159
P(Pallor=Present | RSV=True) = 0.022516556291390728
P(Palpitations=Not Mentioned | RSV=False) = 0.849737908168626
P(Palpitations=Negated | RSV=False) = 0.06941639328951515
P(Palpitations=Present | RSV=False) = 0.08084569854185882
P(Palpitations=Not Mentioned | RSV=True) = 0.9397350993377483
P(Palpitations=Negated | RSV=True) = 0.031125827814569535
P(Palpitations=Present | RSV=True) = 0.02913907284768212
P(PARENTAL CONCERNS=Not Mentioned | RSV=False) = 0.9921197333551257
P(PARENTAL CONCERNS=Negated | RSV=False) = 1.1674469103517518E-5
P(PARENTAL CONCERNS=Present | RSV=False) = 0.007868592175770807
P(PARENTAL CONCERNS=Not Mentioned | RSV=True) = 0.9880794701986755
P(PARENTAL CONCERNS=Negated | RSV=True) = 0.0013245033112582781
P(PARENTAL CONCERNS=Present | RSV=True) = 0.010596026490066225
P(Polyuria=Not Mentioned | RSV=False) = 0.9528818426982033
P(Polyuria=Negated | RSV=False) = 0.039191192780508304
P(Polyuria=Present | RSV=False) = 0.007926964521288394
P(Polyuria=Not Mentioned | RSV=True) = 0.9708609271523179
P(Polyuria=Negated | RSV=True) = 0.026490066225165563
P(Polyuria=Present | RSV=True) = 0.0026490066225165563
P(Pruritus=Not Mentioned | RSV=False) = 0.9388141074284647
P(Pruritus=Negated | RSV=False) = 0.013063730926836102
P(Pruritus=Present | RSV=False) = 0.04812216164469921
P(Pruritus=Not Mentioned | RSV=True) = 0.9788079470198675
P(Pruritus=Negated | RSV=True) = 0.009271523178807948
P(Pruritus=Present | RSV=True) = 0.011920529801324504
P(Rales=Not Mentioned | RSV=False) = 0.8908086904748007
P(Rales=Negated | RSV=False) = 0.017628448346311453
P(Rales=Present | RSV=False) = 0.09156286117888789
P(Rales=Not Mentioned | RSV=True) = 0.7516556291390728
P(Rales=Negated | RSV=True) = 0.030463576158940398
P(Rales=Present | RSV=True) = 0.21788079470198676
P(Shoulder Pain=Not Mentioned | RSV=False) = 0.9849049114491518
P(Shoulder Pain=Negated | RSV=False) = 4.2028088772663063E-4
P(Shoulder Pain=Present | RSV=False) = 0.01467480766312152
P(Shoulder Pain=Not Mentioned | RSV=True) = 0.9966887417218543
P(Shoulder Pain=Negated | RSV=True) = 6.622516556291391E-4
P(Shoulder Pain=Present | RSV=True) = 0.0026490066225165563
P(Signs and Symptoms, Respiratory=Not Mentioned | RSV=False) = 0.8496445124157979
P(Signs and Symptoms, Respiratory=Negated | RSV=False) = 0.001961310809390943
P(Signs and Symptoms, Respiratory=Present | RSV=False) = 0.14839417677481118
P(Signs and Symptoms, Respiratory=Not Mentioned | RSV=True) = 0.4695364238410596
P(Signs and Symptoms, Respiratory=Negated | RSV=True) = 6.622516556291391E-4
P(Signs and Symptoms, Respiratory=Present | RSV=True) = 0.5298013245033113
P(Spasm=Not Mentioned | RSV=False) = 0.9771180405571057
P(Spasm=Negated | RSV=False) = 0.0015877277980783824
P(Spasm=Present | RSV=False) = 0.02129423164481595
P(Spasm=Not Mentioned | RSV=True) = 0.9940397350993377
P(Spasm=Negated | RSV=True) = 6.622516556291391E-4
P(Spasm=Present | RSV=True) = 0.005298013245033113
P(Tachycardia=Not Mentioned | RSV=False) = 0.9376349860490094
P(Tachycardia=Negated | RSV=False) = 0.015410299216643122
P(Tachycardia=Present | RSV=False) = 0.04695471473434745
P(Tachycardia=Not Mentioned | RSV=True) = 0.8211920529801324
P(Tachycardia=Negated | RSV=True) = 0.00728476821192053
P(Tachycardia=Present | RSV=True) = 0.171523178807947
P(Toothache=Not Mentioned | RSV=False) = 0.9803752174369871
P(Toothache=Negated | RSV=False) = 0.0010507022193165765
P(Toothache=Present | RSV=False) = 0.01857408034369637
P(Toothache=Not Mentioned | RSV=True) = 0.9986754966887417
P(Toothache=Negated | RSV=True) = 6.622516556291391E-4
P(Toothache=Present | RSV=True) = 6.622516556291391E-4
P(Unconscious State=Not Mentioned | RSV=False) = 0.9390359223414315
P(Unconscious State=Negated | RSV=False) = 0.033050422032058095
P(Unconscious State=Present | RSV=False) = 0.027913655626510384
P(Unconscious State=Not Mentioned | RSV=True) = 0.9920529801324504
P(Unconscious State=Negated | RSV=True) = 0.0026490066225165563
P(Unconscious State=Present | RSV=True) = 0.005298013245033113
P(Vertigo=Not Mentioned | RSV=False) = 0.8965525292737313
P(Vertigo=Negated | RSV=False) = 0.015585416253195886
P(Vertigo=Present | RSV=False) = 0.08786205447307284
P(Vertigo=Not Mentioned | RSV=True) = 0.9741721854304636
P(Vertigo=Negated | RSV=True) = 0.005960264900662252
P(Vertigo=Present | RSV=True) = 0.019867549668874173
P(Vomiting=Not Mentioned | RSV=False) = 0.6371341513244685
P(Vomiting=Negated | RSV=False) = 0.2083309011522701
P(Vomiting=Present | RSV=False) = 0.15453494752326138
P(Vomiting=Not Mentioned | RSV=True) = 0.5132450331125827
P(Vomiting=Negated | RSV=True) = 0.2152317880794702
P(Vomiting=Present | RSV=True) = 0.271523178807947
P(Wheezing=Not Mentioned | RSV=False) = 0.8522245700876753
P(Wheezing=Negated | RSV=False) = 0.0990345214051391
P(Wheezing=Present | RSV=False) = 0.04874090850718563
P(Wheezing=Not Mentioned | RSV=True) = 0.5728476821192053
P(Wheezing=Negated | RSV=True) = 0.09337748344370861
P(Wheezing=Present | RSV=True) = 0.3337748344370861
P(Immunocompromised Host=Not Mentioned | RSV=False) = 0.9927968525631297
P(Immunocompromised Host=Negated | RSV=False) = 0.0028952683376723444
P(Immunocompromised Host=Present | RSV=False) = 0.004307879099197964
P(Immunocompromised Host=Not Mentioned | RSV=True) = 0.9894039735099338
P(Immunocompromised Host=Negated | RSV=True) = 0.0013245033112582781
P(Immunocompromised Host=Present | RSV=True) = 0.009271523178807948
P(Chills=Not Mentioned | RSV=False) = 0.626767222760545
P(Chills=Negated | RSV=False) = 0.1274852026104113
P(Chills=Present | RSV=False) = 0.24574757462904376
P(Chills=Not Mentioned | RSV=True) = 0.8708609271523179
P(Chills=Negated | RSV=True) = 0.039735099337748346
P(Chills=Present | RSV=True) = 0.08940397350993377
P(Falls=Not Mentioned | RSV=False) = 0.906020523716684
P(Falls=Negated | RSV=False) = 0.007133100622249203
P(Falls=Present | RSV=False) = 0.08684637566106682
P(Falls=Not Mentioned | RSV=True) = 0.9768211920529801
P(Falls=Negated | RSV=True) = 6.622516556291391E-4
P(Falls=Present | RSV=True) = 0.022516556291390728
P(Oral lesion=Not Mentioned | RSV=False) = 0.9881854372672403
P(Oral lesion=Negated | RSV=False) = 0.009794879577851197
P(Oral lesion=Present | RSV=False) = 0.0020196831549085304
P(Oral lesion=Not Mentioned | RSV=True) = 0.9947019867549669
P(Oral lesion=Negated | RSV=True) = 0.0033112582781456954
P(Oral lesion=Present | RSV=True) = 0.001986754966887417
P(Chronic pain=Not Mentioned | RSV=False) = 0.9787407917624946
P(Chronic pain=Negated | RSV=False) = 2.568383202773854E-4
P(Chronic pain=Present | RSV=False) = 0.021002369917228016
P(Chronic pain=Not Mentioned | RSV=True) = 0.9940397350993377
P(Chronic pain=Negated | RSV=True) = 0.0013245033112582781
P(Chronic pain=Present | RSV=True) = 0.004635761589403974
P(Present=Not Mentioned | RSV=False) = 0.7674329009888275
P(Present=Negated | RSV=False) = 0.005930630304586899
P(Present=Present | RSV=False) = 0.22663646870658558
P(Present=Not Mentioned | RSV=True) = 0.5443708609271524
P(Present=Negated | RSV=True) = 0.006622516556291391
P(Present=Present | RSV=True) = 0.44900662251655626
P(History and physical examination=Not Mentioned | RSV=False) = 0.7589338874814667
P(History and physical examination=Negated | RSV=False) = 2.568383202773854E-4
P(History and physical examination=Present | RSV=False) = 0.24080927419825585
P(History and physical examination=Not Mentioned | RSV=True) = 0.856953642384106
P(History and physical examination=Negated | RSV=True) = 6.622516556291391E-4
P(History and physical examination=Present | RSV=True) = 0.1423841059602649
P(chest findings=Not Mentioned | RSV=False) = 0.9996497659268945
P(chest findings=Negated | RSV=False) = 1.1674469103517518E-5
P(chest findings=Present | RSV=False) = 3.38559604002008E-4
P(chest findings=Not Mentioned | RSV=True) = 0.9933774834437086
P(chest findings=Negated | RSV=True) = 6.622516556291391E-4
P(chest findings=Present | RSV=True) = 0.005960264900662252
P(Neck stiffness=Not Mentioned | RSV=False) = 0.985313517867775
P(Neck stiffness=Negated | RSV=False) = 0.00517178981285826
P(Neck stiffness=Present | RSV=False) = 0.009514692319366776
P(Neck stiffness=Not Mentioned | RSV=True) = 0.9953642384105961
P(Neck stiffness=Negated | RSV=True) = 0.001986754966887417
P(Neck stiffness=Present | RSV=True) = 0.0026490066225165563
P(Facial swelling (finding)=Not Mentioned | RSV=False) = 0.9813208494343719
P(Facial swelling (finding)=Negated | RSV=False) = 0.007763521953839149
P(Facial swelling (finding)=Present | RSV=False) = 0.010915628611788878
P(Facial swelling (finding)=Not Mentioned | RSV=True) = 0.9986754966887417
P(Facial swelling (finding)=Negated | RSV=True) = 6.622516556291391E-4
P(Facial swelling (finding)=Present | RSV=True) = 6.622516556291391E-4
P(Eye pain=Not Mentioned | RSV=False) = 0.9524265384031662
P(Eye pain=Negated | RSV=False) = 0.008895945456880348
