Feature (description),Attribute,F,T
C_D_C0026821 (Muscle Cramp),M,0.9949,0.9776
C_D_C0026821 (Muscle Cramp),N,0.0008,0.0016
C_D_C0026821 (Muscle Cramp),P,0.0043,0.0207
C_D_C0026827 (Muscle hypotonia),M,0.9918,0.9988
C_D_C0026827 (Muscle hypotonia),N,0.0004,0
C_D_C0026827 (Muscle hypotonia),P,0.0078,0.0011
C_D_C0026858 (Musculoskeletal Pain),M,0.9984,0.9899
C_D_C0026858 (Musculoskeletal Pain),N,0.0004,0.0003
C_D_C0026858 (Musculoskeletal Pain),P,0.0012,0.0098
C_D_C0027424 (Nasal congestion (finding)),M,0.6632,0.8517
C_D_C0027424 (Nasal congestion (finding)),N,0.0412,0.1149
C_D_C0027424 (Nasal congestion (finding)),P,0.2956,0.0334
C_D_C0027497 (Nausea),M,0.739,0.59
C_D_C0027497 (Nausea),N,0.0898,0.1929
C_D_C0027497 (Nausea),P,0.1711,0.2171
C_D_C0028643 (Numbness),M,0.8876,0.7093
C_D_C0028643 (Numbness),N,0.0832,0.2231
C_D_C0028643 (Numbness),P,0.0292,0.0676
C_D_C0029053 (Decreased translucency),M,0.9028,0.9855
C_D_C0029053 (Decreased translucency),N,0.0016,0.0002
C_D_C0029053 (Decreased translucency),P,0.0957,0.0142
C_D_C0030193 (Pain),M,0.7694,0.4505
C_D_C0030193 (Pain),N,0.0731,0.1307
C_D_C0030193 (Pain),P,0.1575,0.4188
C_D_C0030232 (Pallor),M,0.8709,0.9368
C_D_C0030232 (Pallor),N,0.105,0.0484
C_D_C0030232 (Pallor),P,0.0241,0.0148
C_D_C0030252 (Palpitations),M,0.9063,0.7923
C_D_C0030252 (Palpitations),N,0.0459,0.1129
C_D_C0030252 (Palpitations),P,0.0478,0.0948
C_D_C0030544 (PARENTAL CONCERNS),M,0.9899,0.9986
C_D_C0030544 (PARENTAL CONCERNS),N,0.0008,0
C_D_C0030544 (PARENTAL CONCERNS),P,0.0093,0.0014
C_D_C0032617 (Polyuria),M,0.9611,0.9255
C_D_C0032617 (Polyuria),N,0.0331,0.0694
C_D_C0032617 (Polyuria),P,0.0058,0.0051
C_D_C0033774 (Pruritus),M,0.9669,0.9314
C_D_C0033774 (Pruritus),N,0.0124,0.0244
C_D_C0033774 (Pruritus),P,0.0206,0.0442
C_D_C0034642 (Rales),M,0.8246,0.8987
C_D_C0034642 (Rales),N,0.0261,0.0215
C_D_C0034642 (Rales),P,0.1494,0.0798
C_D_C0037011 (Shoulder Pain),M,0.9981,0.9845
C_D_C0037011 (Shoulder Pain),N,0.0004,0.0003
C_D_C0037011 (Shoulder Pain),P,0.0016,0.0151
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.5344,0.8367
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0031,0.0014
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.4625,0.1619
C_D_C0037763 (Spasm),M,0.9949,0.9778
C_D_C0037763 (Spasm),N,0.0004,0.0015
C_D_C0037763 (Spasm),P,0.0047,0.0207
C_D_C0039231 (Tachycardia),M,0.795,0.9317
C_D_C0039231 (Tachycardia),N,0.0136,0.0206
C_D_C0039231 (Tachycardia),P,0.1914,0.0477
C_D_C0040460 (Toothache),M,0.9988,0.9833
C_D_C0040460 (Toothache),N,0.0004,0.0007
C_D_C0040460 (Toothache),P,0.0008,0.0159
C_D_C0041657 (Unconscious State),M,0.9883,0.9315
C_D_C0041657 (Unconscious State),N,0.0047,0.0398
C_D_C0041657 (Unconscious State),P,0.007,0.0287
C_D_C0042571 (Vertigo),M,0.9549,0.8908
C_D_C0042571 (Vertigo),N,0.0082,0.0173
C_D_C0042571 (Vertigo),P,0.037,0.092
C_D_C0042963 (Vomiting),M,0.4652,0.5699
C_D_C0042963 (Vomiting),N,0.2482,0.2759
C_D_C0042963 (Vomiting),P,0.2867,0.1542
C_D_C0043144 (Wheezing),M,0.6772,0.8479
C_D_C0043144 (Wheezing),N,0.1334,0.101
C_D_C0043144 (Wheezing),P,0.1894,0.0511
C_D_C0085393 (Immunocompromised Host),M,0.9739,0.9888
C_D_C0085393 (Immunocompromised Host),N,0.0078,0.0057
C_D_C0085393 (Immunocompromised Host),P,0.0183,0.0055
C_D_C0085593 (Chills),M,0.7721,0.5897
C_D_C0085593 (Chills),N,0.056,0.1939
C_D_C0085593 (Chills),P,0.1719,0.2164
C_D_C0085639 (Falls),M,0.9806,0.8972
C_D_C0085639 (Falls),N,0.0016,0.0069
C_D_C0085639 (Falls),P,0.0179,0.0959
C_D_C0149744 (Oral lesion),M,0.9876,0.9855
C_D_C0149744 (Oral lesion),N,0.0089,0.0128
C_D_C0149744 (Oral lesion),P,0.0035,0.0017
C_D_C0150055 (Chronic pain),M,0.9946,0.9788
C_D_C0150055 (Chronic pain),N,0.0008,0.0002
C_D_C0150055 (Chronic pain),P,0.0047,0.021
C_D_C0150312 (Present),M,0.3909,0.752
C_D_C0150312 (Present),N,0.0093,0.0079
C_D_C0150312 (Present),P,0.5998,0.2401
C_D_C0150618 (History and physical examination),M,0.8541,0.745
C_D_C0150618 (History and physical examination),N,0.0004,0.0004
C_D_C0150618 (History and physical examination),P,0.1455,0.2546
C_D_C0150872 (chest findings),M,0.9934,0.9995
C_D_C0150872 (chest findings),N,0.0004,0
C_D_C0150872 (chest findings),P,0.0062,0.0005
C_D_C0151315 (Neck stiffness),M,0.9825,0.987
C_D_C0151315 (Neck stiffness),N,0.0062,0.0049
C_D_C0151315 (Neck stiffness),P,0.0113,0.0082
C_D_C0151602 (Facial swelling (finding)),M,0.9946,0.9795
C_D_C0151602 (Facial swelling (finding)),N,0.0019,0.0098
C_D_C0151602 (Facial swelling (finding)),P,0.0035,0.0108
C_D_C0151827 (Eye pain),M,0.9584,0.9298
C_D_C0151827 (Eye pain),N,0.0093,0.0076
C_D_C0151827 (Eye pain),P,0.0323,0.0626
C_D_C0152447 (Urethral discharge),M,0.9988,0.9876
C_D_C0152447 (Urethral discharge),N,0.0008,0.0101
C_D_C0152447 (Urethral discharge),P,0.0004,0.0022
C_D_C0162275 (Ketonuria),M,0.9794,0.9549
C_D_C0162275 (Ketonuria),N,0.0008,0.0002
C_D_C0162275 (Ketonuria),P,0.0198,0.0449
C_D_C0184511 (Improved),M,0.93,0.9563
C_D_C0184511 (Improved),N,0.0039,0.0013
C_D_C0184511 (Improved),P,0.0661,0.0424
C_D_C0205160 (Negative),M,0.0863,0.1854
C_D_C0205160 (Negative),N,0.0058,0.0067
C_D_C0205160 (Negative),P,0.9078,0.8078
C_D_C0205161 (Abnormal),M,0.7962,0.9404
C_D_C0205161 (Abnormal),N,0.0117,0.0174
C_D_C0205161 (Abnormal),P,0.1921,0.0422
C_D_C0220870 (Lightheadedness),M,0.9685,0.9255
C_D_C0220870 (Lightheadedness),N,0.0058,0.016
C_D_C0220870 (Lightheadedness),P,0.0257,0.0584
C_D_C0221198 (Lesion),M,0.8693,0.8467
C_D_C0221198 (Lesion),N,0.0677,0.0764
C_D_C0221198 (Lesion),P,0.063,0.0769
C_D_C0221423 (Illness (finding)),M,0.5854,0.8833
C_D_C0221423 (Illness (finding)),N,0.0521,0.0221
C_D_C0221423 (Illness (finding)),P,0.3625,0.0946
C_D_C0221785 (Pain in wrist),M,0.9988,0.9893
C_D_C0221785 (Pain in wrist),N,0.0004,0.0005
C_D_C0221785 (Pain in wrist),P,0.0008,0.0101
C_D_C0227791 (Vaginal Discharge),M,0.9946,0.9706
C_D_C0227791 (Vaginal Discharge),N,0.0016,0.0106
C_D_C0227791 (Vaginal Discharge),P,0.0039,0.0188
C_D_C0231217 (Multiple symptoms),M,0.9732,0.9798
C_D_C0231217 (Multiple symptoms),N,0.0004,0
C_D_C0231217 (Multiple symptoms),P,0.0264,0.0201
C_D_C0231218 (Malaise),M,0.825,0.9418
C_D_C0231218 (Malaise),N,0.0121,0.0147
C_D_C0231218 (Malaise),P,0.163,0.0434
C_D_C0231221 (Asymptomatic),M,0.9934,0.9712
C_D_C0231221 (Asymptomatic),N,0.0004,0.0001
C_D_C0231221 (Asymptomatic),P,0.0062,0.0287
C_D_C0231528 (Myalgia),M,0.8242,0.858
C_D_C0231528 (Myalgia),N,0.0338,0.096
C_D_C0231528 (Myalgia),P,0.142,0.046
C_D_C0231589 (Limitation of joint movement),M,0.9988,0.9863
C_D_C0231589 (Limitation of joint movement),N,0.0004,0.0002
C_D_C0231589 (Limitation of joint movement),P,0.0008,0.0134
C_D_C0231627 (Step-off),M,0.9988,0.9902
C_D_C0231627 (Step-off),N,0.0004,0.0069
C_D_C0231627 (Step-off),P,0.0008,0.0029
C_D_C0231683 (Gait normal),M,0.9646,0.9263
C_D_C0231683 (Gait normal),N,0.0004,0
C_D_C0231683 (Gait normal),P,0.035,0.0736
C_D_C0231749 (Knee pain),M,0.9961,0.974
C_D_C0231749 (Knee pain),N,0.0004,0.001
C_D_C0231749 (Knee pain),P,0.0035,0.025
C_D_C0231835 (Tachypnea),M,0.8277,0.9762
C_D_C0231835 (Tachypnea),N,0.0198,0.0043
C_D_C0231835 (Tachypnea),P,0.1525,0.0194
C_D_C0231875 (Expiratory wheezing),M,0.9343,0.9758
C_D_C0231875 (Expiratory wheezing),N,0.0019,0.0003
C_D_C0231875 (Expiratory wheezing),P,0.0638,0.0238
C_D_C0231898 (Diaphragmatic breathing),M,0.9914,0.9997
C_D_C0231898 (Diaphragmatic breathing),N,0.0008,0
C_D_C0231898 (Diaphragmatic breathing),P,0.0078,0.0002
C_D_C0232202 (Normal sinus rhythm),M,0.942,0.9111
C_D_C0232202 (Normal sinus rhythm),N,0.0004,0.0002
C_D_C0232202 (Normal sinus rhythm),P,0.0576,0.0886
C_D_C0232462 (Decrease in appetite),M,0.9798,0.9948
C_D_C0232462 (Decrease in appetite),N,0.0004,0.0002
C_D_C0232462 (Decrease in appetite),P,0.0198,0.005
C_D_C0232466 (Feeding difficulties),M,0.9926,0.9989
C_D_C0232466 (Feeding difficulties),N,0.0004,0.0002
C_D_C0232466 (Feeding difficulties),P,0.007,0.0009
C_D_C0232493 (Epigastric pain),M,0.9949,0.9821
C_D_C0232493 (Epigastric pain),N,0.0004,0.0006
C_D_C0232493 (Epigastric pain),P,0.0047,0.0173
C_D_C0232495 (Lower abdominal pain),M,0.9946,0.9827
C_D_C0232495 (Lower abdominal pain),N,0.0012,0.0011
C_D_C0232495 (Lower abdominal pain),P,0.0043,0.0162
C_D_C0233401 (Psychiatric symptom),M,0.9343,0.9712
C_D_C0233401 (Psychiatric symptom),N,0.0004,0
C_D_C0233401 (Psychiatric symptom),P,0.0653,0.0288
C_D_C0233657 (Flight of ideas),M,0.9992,0.9932
C_D_C0233657 (Flight of ideas),N,0.0004,0.0049
C_D_C0233657 (Flight of ideas),P,0.0004,0.0018
C_D_C0233762 ('Hallucinations  Auditory'),M,0.9988,0.9919
C_D_C0233762 ('Hallucinations  Auditory'),N,0.0004,0.0051
C_D_C0233762 ('Hallucinations  Auditory'),P,0.0008,0.003
C_D_C0234215 (Sensory Discomfort),M,0.9716,0.92
C_D_C0234215 (Sensory Discomfort),N,0.0008,0.0041
C_D_C0234215 (Sensory Discomfort),P,0.0276,0.0759
C_D_C0234233 (Sore to touch),M,0.5356,0.3664
C_D_C0234233 (Sore to touch),N,0.3353,0.295
C_D_C0234233 (Sore to touch),P,0.1291,0.3386
C_D_C0234238 (Ache),M,0.9164,0.9868
C_D_C0234238 (Ache),N,0.0008,0.0004
C_D_C0234238 (Ache),P,0.0828,0.0129
C_D_C0234254 (Radiating pain),M,0.9981,0.9838
C_D_C0234254 (Radiating pain),N,0.0004,0.0012
C_D_C0234254 (Radiating pain),P,0.0016,0.015
C_D_C0234422 (Awake),M,0.8923,0.8536
C_D_C0234422 (Awake),N,0.0004,0.0007
C_D_C0234422 (Awake),P,0.1074,0.1458
C_D_C0234425 (Level of consciousness),M,0.9903,0.9594
C_D_C0234425 (Level of consciousness),N,0.0039,0.0201
C_D_C0234425 (Level of consciousness),P,0.0058,0.0206
C_D_C0234725 (Hearing normal),M,0.9292,0.8706
C_D_C0234725 (Hearing normal),N,0.0004,0
C_D_C0234725 (Hearing normal),P,0.0704,0.1293
C_D_C0235031 (Neurologic Symptoms),M,0.6768,0.8465
C_D_C0235031 (Neurologic Symptoms),N,0.0012,0.0043
C_D_C0235031 (Neurologic Symptoms),P,0.3221,0.1492
C_D_C0235634 (Renal angle tenderness),M,0.9732,0.9434
C_D_C0235634 (Renal angle tenderness),N,0.0229,0.0441
C_D_C0235634 (Renal angle tenderness),P,0.0039,0.0125
C_D_C0235839 (Fever of the newborn),M,0.9953,0.9997
C_D_C0235839 (Fever of the newborn),N,0.0004,0.0001
C_D_C0235839 (Fever of the newborn),P,0.0043,0.0002
C_D_C0237304 (Noisy respiration),M,0.9899,0.9986
C_D_C0237304 (Noisy respiration),N,0.0004,0.0002
C_D_C0237304 (Noisy respiration),P,0.0097,0.0012
C_D_C0238656 (Ankle pain),M,0.9977,0.9872
C_D_C0238656 (Ankle pain),N,0.0004,0.0007
C_D_C0238656 (Ankle pain),P,0.0019,0.0121
C_D_C0238953 (CERVICAL MOTION TENDERNESS),M,0.9992,0.9919
C_D_C0238953 (CERVICAL MOTION TENDERNESS),N,0.0004,0.0056
C_D_C0238953 (CERVICAL MOTION TENDERNESS),P,0.0004,0.0025
C_D_C0239008 (Chest wall tenderness),M,0.9533,0.9225
C_D_C0239008 (Chest wall tenderness),N,0.0428,0.0681
C_D_C0239008 (Chest wall tenderness),P,0.0039,0.0093
C_D_C0239110 (Consciousness clear),M,0.352,0.1778
C_D_C0239110 (Consciousness clear),N,0.0043,0.004
C_D_C0239110 (Consciousness clear),P,0.6437,0.8182
C_D_C0239133 (Hacking cough),M,0.9969,0.9998
C_D_C0239133 (Hacking cough),N,0.0004,0
C_D_C0239133 (Hacking cough),P,0.0027,0.0002
C_D_C0239134 (Productive Cough),M,0.9288,0.9762
C_D_C0239134 (Productive Cough),N,0.0027,0.0014
C_D_C0239134 (Productive Cough),P,0.0685,0.0224
C_D_C0239833 (Hand pain),M,0.9992,0.9928
C_D_C0239833 (Hand pain),N,0.0004,0.0001
C_D_C0239833 (Hand pain),P,0.0004,0.0072
C_D_C0239998 (Recurrent infections),M,0.9949,0.9815
C_D_C0239998 (Recurrent infections),N,0.0023,0.0162
C_D_C0239998 (Recurrent infections),P,0.0027,0.0022
C_D_C0240417 (muscle mass),M,0.9809,0.9971
C_D_C0240417 (muscle mass),N,0.0004,0
C_D_C0240417 (muscle mass),P,0.0187,0.0029
C_D_C0240859 (Basilar Rales),M,0.8257,0.8994
C_D_C0240859 (Basilar Rales),N,0.0261,0.0211
C_D_C0240859 (Basilar Rales),P,0.1482,0.0795
C_D_C0241028 (Sexually active),M,0.9977,0.9863
C_D_C0241028 (Sexually active),N,0.0004,0.0009
C_D_C0241028 (Sexually active),P,0.0019,0.0128
C_D_C0241136 (Pain of skin),M,0.9841,0.9574
C_D_C0241136 (Pain of skin),N,0.0008,0.0001
C_D_C0241136 (Pain of skin),P,0.0152,0.0425
C_D_C0241889 (Family history),M,0.3069,0.6011
C_D_C0241889 (Family history),N,0.1412,0.0557
C_D_C0241889 (Family history),P,0.5519,0.3432
C_D_C0242429 (Sore Throat),M,0.7332,0.7199
C_D_C0242429 (Sore Throat),N,0.0891,0.1636
C_D_C0242429 (Sore Throat),P,0.1778,0.1165
C_D_C0260522 (Encounter due to family history of asthma),M,0.9883,0.998
C_D_C0260522 (Encounter due to family history of asthma),N,0.0027,0.0007
C_D_C0260522 (Encounter due to family history of asthma),P,0.0089,0.0013
C_D_C0262512 (History of present illness),M,0.0389,0.0684
C_D_C0262512 (History of present illness),N,0.0039,0.0074
C_D_C0262512 (History of present illness),P,0.9572,0.9242
C_D_C0262926 (Medical History),M,0.0397,0.0723
C_D_C0262926 (Medical History),N,0.0089,0.0236
C_D_C0262926 (Medical History),P,0.9514,0.9041
C_D_C0277799 (Intermittent fever (finding)),M,0.9914,0.9989
C_D_C0277799 (Intermittent fever (finding)),N,0.0004,0.0001
C_D_C0277799 (Intermittent fever (finding)),P,0.0082,0.001
C_D_C0277873 (Nasal Flaring),M,0.9572,0.9937
C_D_C0277873 (Nasal Flaring),N,0.0152,0.0041
C_D_C0277873 (Nasal Flaring),P,0.0276,0.0022
C_D_C0278005 (Normal bowel sounds),M,0.5959,0.7372
C_D_C0278005 (Normal bowel sounds),N,0.0004,0
C_D_C0278005 (Normal bowel sounds),P,0.4037,0.2628
C_D_C0278030 (Color of urine),M,0.9829,0.9572
C_D_C0278030 (Color of urine),N,0.0004,0
C_D_C0278030 (Color of urine),P,0.0167,0.0428
C_D_C0278134 (Absence of sensation),M,0.9918,0.9709
C_D_C0278134 (Absence of sensation),N,0.0004,0.0009
C_D_C0278134 (Absence of sensation),P,0.0078,0.0282
C_D_C0278140 (Severe pain),M,0.9961,0.9844
C_D_C0278140 (Severe pain),N,0.0004,0.0007
C_D_C0278140 (Severe pain),P,0.0035,0.0148
C_D_C0302133 (Mottling),M,0.9895,0.9992
C_D_C0302133 (Mottling),N,0.0012,0.0001
C_D_C0302133 (Mottling),P,0.0093,0.0006
C_D_C0302844 (MCV - low),M,0.9821,0.9964
C_D_C0302844 (MCV - low),N,0.0004,0
C_D_C0302844 (MCV - low),P,0.0175,0.0036
C_D_C0311392 (Physical findings),M,0.8009,0.7801
C_D_C0311392 (Physical findings),N,0.0716,0.1058
C_D_C0311392 (Physical findings),P,0.1276,0.1141
C_D_C0332119 (Past history of),M,0.3963,0.4094
C_D_C0332119 (Past history of),N,0.049,0.0819
C_D_C0332119 (Past history of),P,0.5546,0.5087
C_D_C0332167 (High risk of),M,0.9529,0.9942
C_D_C0332167 (High risk of),N,0.0156,0.0008
C_D_C0332167 (High risk of),P,0.0315,0.005
C_D_C0332516 (Symmetrical),M,0.6309,0.6285
C_D_C0332516 (Symmetrical),N,0.0008,0.0002
C_D_C0332516 (Symmetrical),P,0.3683,0.3713
C_D_C0332523 (Retraction (finding)),M,0.8082,0.8803
C_D_C0332523 (Retraction (finding)),N,0.0564,0.1018
C_D_C0332523 (Retraction (finding)),P,0.1354,0.0179
C_D_C0332563 (Papule),M,0.9918,0.9915
C_D_C0332563 (Papule),N,0.0004,0.0002
C_D_C0332563 (Papule),P,0.0078,0.0082
C_D_C0332575 (Redness),M,0.9144,0.8847
C_D_C0332575 (Redness),N,0.0175,0.0308
C_D_C0332575 (Redness),P,0.0681,0.0845
C_D_C0333274 (Purulent discharge),M,0.9957,0.9838
C_D_C0333274 (Purulent discharge),N,0.0031,0.0116
C_D_C0333274 (Purulent discharge),P,0.0012,0.0046
C_D_C0333942 (Polychromatophilic stain reaction),M,0.9876,0.9986
C_D_C0333942 (Polychromatophilic stain reaction),N,0.0004,0
C_D_C0333942 (Polychromatophilic stain reaction),P,0.0121,0.0014
C_D_C0342593 (Reduced anion gap),M,0.9864,0.9977
C_D_C0342593 (Reduced anion gap),N,0.0004,0
C_D_C0342593 (Reduced anion gap),P,0.0132,0.0022
C_D_C0344232 (Blurred vision),M,0.9763,0.9438
C_D_C0344232 (Blurred vision),N,0.0163,0.0306
C_D_C0344232 (Blurred vision),P,0.0074,0.0255
C_D_C0347530 (Base deficit (finding)),M,0.9623,0.9904
C_D_C0347530 (Base deficit (finding)),N,0.0004,0
C_D_C0347530 (Base deficit (finding)),P,0.0373,0.0096
C_D_C0349790 (Exacerbation of asthma),M,0.9522,0.9841
C_D_C0349790 (Exacerbation of asthma),N,0.0012,0.0007
C_D_C0349790 (Exacerbation of asthma),P,0.0467,0.0153
C_D_C0392171 (Influenza-like symptoms),M,0.8888,0.9988
C_D_C0392171 (Influenza-like symptoms),N,0.0004,0
C_D_C0392171 (Influenza-like symptoms),P,0.1109,0.0011
C_D_C0423640 (Right Flank Pain),M,0.9992,0.9923
C_D_C0423640 (Right Flank Pain),N,0.0004,0
C_D_C0423640 (Right Flank Pain),P,0.0004,0.0076
C_D_C0424000 (Feeling suicidal (finding)),M,0.9973,0.9743
C_D_C0424000 (Feeling suicidal (finding)),N,0.0004,0.0081
C_D_C0424000 (Feeling suicidal (finding)),P,0.0023,0.0176
C_D_C0424480 (Facial symmetry),M,0.944,0.8784
C_D_C0424480 (Facial symmetry),N,0.0004,0.0001
C_D_C0424480 (Facial symmetry),P,0.0556,0.1215
C_D_C0424489 (Chapping of lips),M,0.9907,0.9992
C_D_C0424489 (Chapping of lips),N,0.0004,0
C_D_C0424489 (Chapping of lips),P,0.0089,0.0007
C_D_C0424589 (Vitality),M,0.9848,0.9962
C_D_C0424589 (Vitality),N,0.0016,0.0005
C_D_C0424589 (Vitality),P,0.0136,0.0032
C_D_C0424755 (Fever symptoms (finding)),M,0.2081,0.4777
C_D_C0424755 (Fever symptoms (finding)),N,0.1505,0.402
