===== Class Prior Probabilities =====
P(HMPV=False) = 0.9972732508256643
P(HMPV=True) = 0.002726749174335649

===== Conditional Probabilities =====
P(AGE=Not Mentioned | HMPV=False) = 1.1784809380708267E-4
P(Bulla=Present | HMPV=False) = 0.012610043251269843
P(Bulla=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Bulla=Negated | HMPV=True) = 0.004273504273504274
P(Bulla=Present | HMPV=True) = 0.008547008547008548
P(Neck Pain=Not Mentioned | HMPV=False) = 0.8738877824001509
P(Neck Pain=Negated | HMPV=False) = 0.06530116790213664
P(Neck Pain=Present | HMPV=False) = 0.06081104969771251
P(Neck Pain=Not Mentioned | HMPV=True) = 0.9487179487179487
P(Neck Pain=Negated | HMPV=True) = 0.03418803418803419
P(Neck Pain=Present | HMPV=True) = 0.017094017094017096
P(Chest Pain=Not Mentioned | HMPV=False) = 0.5325563032538626
P(Chest Pain=Negated | HMPV=False) = 0.3043616607544813
P(Chest Pain=Present | HMPV=False) = 0.16308203599165616
P(Chest Pain=Not Mentioned | HMPV=True) = 0.5854700854700855
P(Chest Pain=Negated | HMPV=True) = 0.24786324786324787
P(Chest Pain=Present | HMPV=True) = 0.16666666666666666
P(Chest wall pain=Not Mentioned | HMPV=False) = 0.9864235796023711
P(Chest wall pain=Negated | HMPV=False) = 2.94627178767987E-4
P(Chest wall pain=Present | HMPV=False) = 0.013281793218860853
P(Chest wall pain=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Chest wall pain=Negated | HMPV=True) = 0.004273504273504274
P(Chest wall pain=Present | HMPV=True) = 0.008547008547008548
P(Comorbidity=Not Mentioned | HMPV=False) = 0.9946613555207241
P(Comorbidity=Negated | HMPV=False) = 2.94627178767987E-4
P(Comorbidity=Present | HMPV=False) = 0.005044017300507938
P(Comorbidity=Not Mentioned | HMPV=True) = 0.9700854700854701
P(Comorbidity=Negated | HMPV=True) = 0.004273504273504274
P(Comorbidity=Present | HMPV=True) = 0.02564102564102564
P(Consciousness related finding=Not Mentioned | HMPV=False) = 0.9510329628887606
P(Consciousness related finding=Negated | HMPV=False) = 8.720964491532414E-4
P(Consciousness related finding=Present | HMPV=False) = 0.048094940662086194
P(Consciousness related finding=Not Mentioned | HMPV=True) = 0.9658119658119658
P(Consciousness related finding=Negated | HMPV=True) = 0.004273504273504274
P(Consciousness related finding=Present | HMPV=True) = 0.029914529914529916
P(Constipation=Not Mentioned | HMPV=False) = 0.8773997383710652
P(Constipation=Negated | HMPV=False) = 0.033139665067823176
P(Constipation=Present | HMPV=False) = 0.08946059656111156
P(Constipation=Not Mentioned | HMPV=True) = 0.8632478632478633
P(Constipation=Negated | HMPV=True) = 0.03418803418803419
P(Constipation=Present | HMPV=True) = 0.10256410256410256
P(Constitutional Symptom=Not Mentioned | HMPV=False) = 0.8594510506405195
P(Constitutional Symptom=Negated | HMPV=False) = 0.009428069720575584
P(Constitutional Symptom=Present | HMPV=False) = 0.13112087963890492
P(Constitutional Symptom=Not Mentioned | HMPV=True) = 0.7008547008547008
P(Constitutional Symptom=Negated | HMPV=True) = 0.004273504273504274
P(Constitutional Symptom=Present | HMPV=True) = 0.2948717948717949
P(Coughing=Not Mentioned | HMPV=False) = 0.665586367011184
P(Coughing=Negated | HMPV=False) = 0.17365325916585153
P(Coughing=Present | HMPV=False) = 0.16076037382296443
P(Coughing=Not Mentioned | HMPV=True) = 0.2564102564102564
P(Coughing=Negated | HMPV=True) = 0.038461538461538464
P(Coughing=Present | HMPV=True) = 0.7051282051282052
P(Cyanosis=Not Mentioned | HMPV=False) = 0.9568430108540653
P(Cyanosis=Negated | HMPV=False) = 0.027765665327095092
P(Cyanosis=Present | HMPV=False) = 0.01539132381883964
P(Cyanosis=Not Mentioned | HMPV=True) = 0.9444444444444444
P(Cyanosis=Negated | HMPV=True) = 0.021367521367521368
P(Cyanosis=Present | HMPV=True) = 0.03418803418803419
P(Diarrhea=Not Mentioned | HMPV=False) = 0.6897693658444605
P(Diarrhea=Negated | HMPV=False) = 0.12109177047364265
P(Diarrhea=Present | HMPV=False) = 0.18913886368189692
P(Diarrhea=Not Mentioned | HMPV=True) = 0.594017094017094
P(Diarrhea=Negated | HMPV=True) = 0.13675213675213677
P(Diarrhea=Present | HMPV=True) = 0.2692307692307692
P(Diplopia=Not Mentioned | HMPV=False) = 0.9433608711536422
P(Diplopia=Negated | HMPV=False) = 0.0257739855986235
P(Diplopia=Present | HMPV=False) = 0.030865143247734317
P(Diplopia=Not Mentioned | HMPV=True) = 0.9658119658119658
P(Diplopia=Negated | HMPV=True) = 0.017094017094017096
P(Diplopia=Present | HMPV=True) = 0.017094017094017096
P(Dizziness=Not Mentioned | HMPV=False) = 0.8573886603891436
P(Dizziness=Negated | HMPV=False) = 0.019339328014330665
P(Dizziness=Present | HMPV=False) = 0.12327201159652576
P(Dizziness=Not Mentioned | HMPV=True) = 0.9017094017094017
P(Dizziness=Negated | HMPV=True) = 0.021367521367521368
P(Dizziness=Present | HMPV=True) = 0.07692307692307693
P(Drowsiness=Not Mentioned | HMPV=False) = 0.9718807820583834
P(Drowsiness=Negated | HMPV=False) = 6.246096189881324E-4
P(Drowsiness=Present | HMPV=False) = 0.027494608322628546
P(Drowsiness=Not Mentioned | HMPV=True) = 0.9487179487179487
P(Drowsiness=Negated | HMPV=True) = 0.004273504273504274
P(Drowsiness=Present | HMPV=True) = 0.04700854700854701
P(Dyspnea=Not Mentioned | HMPV=False) = 0.503635699385997
P(Dyspnea=Negated | HMPV=False) = 0.2526840535985764
P(Dyspnea=Present | HMPV=False) = 0.24368024701542668
P(Dyspnea=Not Mentioned | HMPV=True) = 0.4188034188034188
P(Dyspnea=Negated | HMPV=True) = 0.09401709401709402
P(Dyspnea=Present | HMPV=True) = 0.48717948717948717
P(Dysuria=Not Mentioned | HMPV=False) = 0.7117485533805522
P(Dysuria=Negated | HMPV=False) = 0.21558459924811144
P(Dysuria=Present | HMPV=False) = 0.07266684737133632
P(Dysuria=Not Mentioned | HMPV=True) = 0.7478632478632479
P(Dysuria=Negated | HMPV=True) = 0.2094017094017094
P(Dysuria=Present | HMPV=True) = 0.042735042735042736
P(Exanthema=Not Mentioned | HMPV=False) = 0.44132794362014305
P(Exanthema=Negated | HMPV=False) = 0.47024854748800865
P(Exanthema=Present | HMPV=False) = 0.08842350889184826
P(Exanthema=Not Mentioned | HMPV=True) = 0.41025641025641024
P(Exanthema=Negated | HMPV=True) = 0.5
P(Exanthema=Present | HMPV=True) = 0.08974358974358974
P(Facial Pain=Not Mentioned | HMPV=False) = 0.9917032986458935
P(Facial Pain=Negated | HMPV=False) = 4.596183988780597E-4
P(Facial Pain=Present | HMPV=False) = 0.007837082955228454
P(Facial Pain=Not Mentioned | HMPV=True) = 0.9914529914529915
P(Facial Pain=Negated | HMPV=True) = 0.004273504273504274
P(Facial Pain=Present | HMPV=True) = 0.004273504273504274
P(Fatigue=Not Mentioned | HMPV=False) = 0.9381047222844213
P(Fatigue=Negated | HMPV=False) = 0.018997560486959802
P(Fatigue=Present | HMPV=False) = 0.0428977172286189
P(Fatigue=Not Mentioned | HMPV=True) = 0.8247863247863247
P(Fatigue=Negated | HMPV=True) = 0.03418803418803419
P(Fatigue=Present | HMPV=True) = 0.14102564102564102
P(Fever=Not Mentioned | HMPV=False) = 0.39813559921275615
P(Fever=Negated | HMPV=False) = 0.40259036215572813
P(Fever=Present | HMPV=False) = 0.1992740386315157
P(Fever=Not Mentioned | HMPV=True) = 0.21794871794871795
P(Fever=Negated | HMPV=True) = 0.2222222222222222
P(Fever=Present | HMPV=True) = 0.5598290598290598
P(Flank Pain=Not Mentioned | HMPV=False) = 0.9782565142069226
P(Flank Pain=Negated | HMPV=False) = 0.0031348331820913815
P(Flank Pain=Present | HMPV=False) = 0.018608652610986057
P(Flank Pain=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Flank Pain=Negated | HMPV=True) = 0.004273504273504274
P(Flank Pain=Present | HMPV=True) = 0.008547008547008548
P(Foot pain=Not Mentioned | HMPV=False) = 0.9836658692091028
P(Foot pain=Negated | HMPV=False) = 4.596183988780597E-4
P(Foot pain=Present | HMPV=False) = 0.01587451239201914
P(Foot pain=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Foot pain=Negated | HMPV=True) = 0.004273504273504274
P(Foot pain=Present | HMPV=True) = 0.008547008547008548
P(Gait=Not Mentioned | HMPV=False) = 0.9556527170518426
P(Gait=Negated | HMPV=False) = 5.185438346316571E-4
P(Gait=Present | HMPV=False) = 0.04382873911352574
P(Gait=Not Mentioned | HMPV=True) = 0.9829059829059829
P(Gait=Negated | HMPV=True) = 0.004273504273504274
P(Gait=Present | HMPV=True) = 0.01282051282051282
P(Glycosuria=Not Mentioned | HMPV=False) = 0.8904929701955145
P(Glycosuria=Negated | HMPV=False) = 1.178508715071948E-4
P(Glycosuria=Present | HMPV=False) = 0.10938917893297821
P(Glycosuria=Not Mentioned | HMPV=True) = 0.8760683760683761
P(Glycosuria=Negated | HMPV=True) = 0.004273504273504274
P(Glycosuria=Present | HMPV=True) = 0.11965811965811966
P(Headache=Not Mentioned | HMPV=False) = 0.7022379880499217
P(Headache=Negated | HMPV=False) = 0.1599118475481126
P(Headache=Present | HMPV=False) = 0.13785016440196576
P(Headache=Not Mentioned | HMPV=True) = 0.7735042735042735
P(Headache=Negated | HMPV=True) = 0.12393162393162394
P(Headache=Present | HMPV=True) = 0.10256410256410256
P(Heart murmur=Not Mentioned | HMPV=False) = 0.43963089107043946
P(Heart murmur=Negated | HMPV=False) = 0.5332280532214536
P(Heart murmur=Present | HMPV=False) = 0.027141055708106963
P(Heart murmur=Not Mentioned | HMPV=True) = 0.4658119658119658
P(Heart murmur=Negated | HMPV=True) = 0.5
P(Heart murmur=Present | HMPV=True) = 0.03418803418803419
P(Hemoglobin concentration result=Not Mentioned | HMPV=False) = 0.7654414104392302
P(Hemoglobin concentration result=Negated | HMPV=False) = 8.249561005503636E-5
P(Hemoglobin concentration result=Present | HMPV=False) = 0.23447609395071475
P(Hemoglobin concentration result=Not Mentioned | HMPV=True) = 0.5256410256410257
P(Hemoglobin concentration result=Negated | HMPV=True) = 0.004273504273504274
P(Hemoglobin concentration result=Present | HMPV=True) = 0.4700854700854701
P(Hepatosplenomegaly=Not Mentioned | HMPV=False) = 0.9165615829729061
P(Hepatosplenomegaly=Negated | HMPV=False) = 0.08092819346399066
P(Hepatosplenomegaly=Present | HMPV=False) = 0.002510223563103249
P(Hepatosplenomegaly=Not Mentioned | HMPV=True) = 0.9529914529914529
P(Hepatosplenomegaly=Negated | HMPV=True) = 0.029914529914529916
P(Hepatosplenomegaly=Present | HMPV=True) = 0.017094017094017096
P(Hip joint pain=Not Mentioned | HMPV=False) = 0.9874960225330867
P(Hip joint pain=Negated | HMPV=False) = 7.188903161938883E-4
P(Hip joint pain=Present | HMPV=False) = 0.01178508715071948
P(Hip joint pain=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Hip joint pain=Negated | HMPV=True) = 0.004273504273504274
P(Hip joint pain=Present | HMPV=True) = 0.008547008547008548
P(Hypesthesia=Not Mentioned | HMPV=False) = 0.7492015603455388
P(Hypesthesia=Negated | HMPV=False) = 0.16415447892237164
P(Hypesthesia=Present | HMPV=False) = 0.08664396073208962
P(Hypesthesia=Not Mentioned | HMPV=True) = 0.8333333333333334
P(Hypesthesia=Negated | HMPV=True) = 0.1111111111111111
P(Hypesthesia=Present | HMPV=True) = 0.05555555555555555
P(Infant, Premature=Not Mentioned | HMPV=False) = 0.9985386491933108
P(Infant, Premature=Negated | HMPV=False) = 4.714034860287792E-5
P(Infant, Premature=Present | HMPV=False) = 0.0014142104580863375
P(Infant, Premature=Not Mentioned | HMPV=True) = 0.9700854700854701
P(Infant, Premature=Negated | HMPV=True) = 0.004273504273504274
P(Infant, Premature=Present | HMPV=True) = 0.02564102564102564
P(Icterus=Not Mentioned | HMPV=False) = 0.7172168338184861
P(Icterus=Negated | HMPV=False) = 0.05364571671007507
P(Icterus=Present | HMPV=False) = 0.22913744947143885
P(Icterus=Not Mentioned | HMPV=True) = 0.7777777777777778
P(Icterus=Negated | HMPV=True) = 0.04700854700854701
P(Icterus=Present | HMPV=True) = 0.1752136752136752
P(Pain in lower limb=Not Mentioned | HMPV=False) = 0.973530694259484
P(Pain in lower limb=Negated | HMPV=False) = 0.004643324337383475
P(Pain in lower limb=Present | HMPV=False) = 0.021825981403132477
P(Pain in lower limb=Not Mentioned | HMPV=True) = 0.9829059829059829
P(Pain in lower limb=Negated | HMPV=True) = 0.004273504273504274
P(Pain in lower limb=Present | HMPV=True) = 0.01282051282051282
P(Low Back Pain=Not Mentioned | HMPV=False) = 0.9661060893545308
P(Low Back Pain=Negated | HMPV=False) = 5.185438346316571E-4
P(Low Back Pain=Present | HMPV=False) = 0.03337536681083757
P(Low Back Pain=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Low Back Pain=Negated | HMPV=True) = 0.004273504273504274
P(Low Back Pain=Present | HMPV=True) = 0.008547008547008548
P(Meningism=Not Mentioned | HMPV=False) = 0.9778440361566474
P(Meningism=Negated | HMPV=False) = 0.020211424463483906
P(Meningism=Present | HMPV=False) = 0.001944539379868714
P(Meningism=Not Mentioned | HMPV=True) = 0.9700854700854701
P(Meningism=Negated | HMPV=True) = 0.02564102564102564
P(Meningism=Present | HMPV=True) = 0.004273504273504274
P(Muscle Cramp=Not Mentioned | HMPV=False) = 0.9779972422896067
P(Muscle Cramp=Negated | HMPV=False) = 0.0018384735955122389
P(Muscle Cramp=Present | HMPV=False) = 0.02016428411488103
P(Muscle Cramp=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Muscle Cramp=Negated | HMPV=True) = 0.004273504273504274
P(Muscle Cramp=Present | HMPV=True) = 0.008547008547008548
P(Nasal congestion (finding)=Not Mentioned | HMPV=False) = 0.8961851672893121
P(Nasal congestion (finding)=Negated | HMPV=False) = 0.07551883846181043
P(Nasal congestion (finding)=Present | HMPV=False) = 0.028295994248877472
P(Nasal congestion (finding)=Not Mentioned | HMPV=True) = 0.7735042735042735
P(Nasal congestion (finding)=Negated | HMPV=True) = 0.04700854700854701
P(Nasal congestion (finding)=Present | HMPV=True) = 0.1794871794871795
P(Nausea=Not Mentioned | HMPV=False) = 0.6163482728954781
P(Nausea=Negated | HMPV=False) = 0.1716969346988321
P(Nausea=Present | HMPV=False) = 0.21195479240568985
P(Nausea=Not Mentioned | HMPV=True) = 0.6837606837606838
P(Nausea=Negated | HMPV=True) = 0.12393162393162394
P(Nausea=Present | HMPV=True) = 0.19230769230769232
P(Numbness=Not Mentioned | HMPV=False) = 0.747009534135505
P(Numbness=Negated | HMPV=False) = 0.16592224199497954
P(Numbness=Present | HMPV=False) = 0.08706822386951552
P(Numbness=Not Mentioned | HMPV=True) = 0.8333333333333334
P(Numbness=Negated | HMPV=True) = 0.1111111111111111
P(Numbness=Present | HMPV=True) = 0.05555555555555555
P(Decreased translucency=Not Mentioned | HMPV=False) = 0.988155987413527
P(Decreased translucency=Negated | HMPV=False) = 2.5927191731582854E-4
P(Decreased translucency=Present | HMPV=False) = 0.011584740669157248
P(Decreased translucency=Not Mentioned | HMPV=True) = 0.8333333333333334
P(Decreased translucency=Negated | HMPV=True) = 0.004273504273504274
P(Decreased translucency=Present | HMPV=True) = 0.1623931623931624
P(Pain=Not Mentioned | HMPV=False) = 0.48862149835598034
P(Pain=Negated | HMPV=False) = 0.10646647731959978
P(Pain=Present | HMPV=False) = 0.40491202432441986
P(Pain=Not Mentioned | HMPV=True) = 0.8247863247863247
P(Pain=Negated | HMPV=True) = 0.038461538461538464
P(Pain=Present | HMPV=True) = 0.13675213675213677
P(Pallor=Not Mentioned | HMPV=False) = 0.9423355685715296
P(Pallor=Negated | HMPV=False) = 0.042862361967166744
P(Pallor=Present | HMPV=False) = 0.014802069461303666
P(Pallor=Not Mentioned | HMPV=True) = 0.8888888888888888
P(Pallor=Negated | HMPV=True) = 0.05555555555555555
P(Pallor=Present | HMPV=True) = 0.05555555555555555
P(Palpitations=Not Mentioned | HMPV=False) = 0.8111204082354189
P(Palpitations=Negated | HMPV=False) = 0.09048589914322416
P(Palpitations=Present | HMPV=False) = 0.09839369262135693
P(Palpitations=Not Mentioned | HMPV=True) = 0.8632478632478633
P(Palpitations=Negated | HMPV=True) = 0.05128205128205128
P(Palpitations=Present | HMPV=True) = 0.08547008547008547
P(PARENTAL CONCERNS=Not Mentioned | HMPV=False) = 0.995380245836918
P(PARENTAL CONCERNS=Negated | HMPV=False) = 1.178508715071948E-5
P(PARENTAL CONCERNS=Present | HMPV=False) = 0.004607969075931317
P(PARENTAL CONCERNS=Not Mentioned | HMPV=True) = 0.9914529914529915
P(PARENTAL CONCERNS=Negated | HMPV=True) = 0.004273504273504274
P(PARENTAL CONCERNS=Present | HMPV=True) = 0.004273504273504274
P(Pelvic Pain=Not Mentioned | HMPV=False) = 0.991432241641427
P(Pelvic Pain=Negated | HMPV=False) = 0.0015084911552920935
P(Pelvic Pain=Present | HMPV=False) = 0.007059267203280969
P(Pelvic Pain=Not Mentioned | HMPV=True) = 0.9914529914529915
P(Pelvic Pain=Negated | HMPV=True) = 0.004273504273504274
P(Pelvic Pain=Present | HMPV=True) = 0.004273504273504274
P(Polyuria=Not Mentioned | HMPV=False) = 0.9351820206710428
P(Polyuria=Negated | HMPV=False) = 0.0594086243267769
P(Polyuria=Present | HMPV=False) = 0.0054093550021802415
P(Polyuria=Not Mentioned | HMPV=True) = 0.9230769230769231
P(Polyuria=Negated | HMPV=True) = 0.07264957264957266
P(Polyuria=Present | HMPV=True) = 0.004273504273504274
P(Problem=Not Mentioned | HMPV=False) = 0.939672138875467
P(Problem=Negated | HMPV=False) = 0.009828762683700046
P(Problem=Present | HMPV=False) = 0.05049909844083297
P(Problem=Not Mentioned | HMPV=True) = 0.9529914529914529
P(Problem=Negated | HMPV=True) = 0.004273504273504274
P(Problem=Present | HMPV=True) = 0.042735042735042736
P(Pruritus=Not Mentioned | HMPV=False) = 0.9322475339705137
P(Pruritus=Negated | HMPV=False) = 0.01975180606460585
P(Pruritus=Present | HMPV=False) = 0.04800065996488044
P(Pruritus=Not Mentioned | HMPV=True) = 0.9529914529914529
P(Pruritus=Negated | HMPV=True) = 0.01282051282051282
P(Pruritus=Present | HMPV=True) = 0.03418803418803419
P(Sciatica=Not Mentioned | HMPV=False) = 0.9901830224034507
P(Sciatica=Negated | HMPV=False) = 1.649912201100727E-4
P(Sciatica=Present | HMPV=False) = 0.009651986376439254
P(Sciatica=Not Mentioned | HMPV=True) = 0.9914529914529915
P(Sciatica=Negated | HMPV=True) = 0.004273504273504274
P(Sciatica=Present | HMPV=True) = 0.004273504273504274
P(Seizures=Not Mentioned | HMPV=False) = 0.9303501349392479
P(Seizures=Negated | HMPV=False) = 0.01673482375402166
P(Seizures=Present | HMPV=False) = 0.05291504130673046
P(Seizures=Not Mentioned | HMPV=True) = 0.8974358974358975
P(Seizures=Negated | HMPV=True) = 0.021367521367521368
P(Seizures=Present | HMPV=True) = 0.0811965811965812
P(Shoulder Pain=Not Mentioned | HMPV=False) = 0.9855986235018208
P(Shoulder Pain=Negated | HMPV=False) = 3.1819735306942595E-4
P(Shoulder Pain=Present | HMPV=False) = 0.014083179145109778
P(Shoulder Pain=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Shoulder Pain=Negated | HMPV=True) = 0.004273504273504274
P(Shoulder Pain=Present | HMPV=True) = 0.008547008547008548
P(Signs and Symptoms=Not Mentioned | HMPV=False) = 0.9462010771569656
P(Signs and Symptoms=Negated | HMPV=False) = 0.0025455788245554076
P(Signs and Symptoms=Present | HMPV=False) = 0.051253344018479016
P(Signs and Symptoms=Not Mentioned | HMPV=True) = 0.9529914529914529
P(Signs and Symptoms=Negated | HMPV=True) = 0.004273504273504274
P(Signs and Symptoms=Present | HMPV=True) = 0.042735042735042736
P(Signs and Symptoms, Respiratory=Not Mentioned | HMPV=False) = 0.8809588346905826
P(Signs and Symptoms, Respiratory=Negated | HMPV=False) = 0.0015674165910456908
P(Signs and Symptoms, Respiratory=Present | HMPV=False) = 0.11747374871837177
P(Signs and Symptoms, Respiratory=Not Mentioned | HMPV=True) = 0.6623931623931624
P(Signs and Symptoms, Respiratory=Negated | HMPV=True) = 0.004273504273504274
P(Signs and Symptoms, Respiratory=Present | HMPV=True) = 0.3333333333333333
P(Spasm=Not Mentioned | HMPV=False) = 0.9782565142069226
P(Spasm=Negated | HMPV=False) = 0.0014613508066892154
P(Spasm=Present | HMPV=False) = 0.020282134986388225
P(Spasm=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Spasm=Negated | HMPV=True) = 0.004273504273504274
P(Spasm=Present | HMPV=True) = 0.008547008547008548
P(Stress=Not Mentioned | HMPV=False) = 0.9834537376403899
P(Stress=Negated | HMPV=False) = 6.835350547417298E-4
P(Stress=Present | HMPV=False) = 0.01586272730486842
P(Stress=Not Mentioned | HMPV=True) = 0.9743589743589743
P(Stress=Negated | HMPV=True) = 0.004273504273504274
P(Stress=Present | HMPV=True) = 0.021367521367521368
P(Sweating=Not Mentioned | HMPV=False) = 0.9509976076273084
P(Sweating=Negated | HMPV=False) = 0.036863752607450534
P(Sweating=Present | HMPV=False) = 0.012138639765241065
P(Sweating=Not Mentioned | HMPV=True) = 0.9658119658119658
P(Sweating=Negated | HMPV=True) = 0.021367521367521368
P(Sweating=Present | HMPV=True) = 0.01282051282051282
P(Swelling=Not Mentioned | HMPV=False) = 0.9654461244740905
P(Swelling=Negated | HMPV=False) = 0.004537258553027
P(Swelling=Present | HMPV=False) = 0.030016616972882514
P(Swelling=Not Mentioned | HMPV=True) = 0.9829059829059829
P(Swelling=Negated | HMPV=True) = 0.008547008547008548
P(Swelling=Present | HMPV=True) = 0.008547008547008548
P(Syncope=Not Mentioned | HMPV=False) = 0.9297726656688626
P(Syncope=Negated | HMPV=False) = 0.02719998114386056
P(Syncope=Present | HMPV=False) = 0.04302735318727682
P(Syncope=Not Mentioned | HMPV=True) = 0.9017094017094017
P(Syncope=Negated | HMPV=True) = 0.03418803418803419
P(Syncope=Present | HMPV=True) = 0.0641025641025641
P(Tachycardia=Not Mentioned | HMPV=False) = 0.9381990029816271
P(Tachycardia=Negated | HMPV=False) = 0.016334130790897197
P(Tachycardia=Present | HMPV=False) = 0.045466866227475755
P(Tachycardia=Not Mentioned | HMPV=True) = 0.7521367521367521
P(Tachycardia=Negated | HMPV=True) = 0.017094017094017096
P(Tachycardia=Present | HMPV=True) = 0.23076923076923078
P(Pain in testicle=Not Mentioned | HMPV=False) = 0.9913968863799748
P(Pain in testicle=Negated | HMPV=False) = 0.002757710393268358
P(Pain in testicle=Present | HMPV=False) = 0.0058454032267568614
P(Pain in testicle=Not Mentioned | HMPV=True) = 0.9914529914529915
P(Pain in testicle=Negated | HMPV=True) = 0.004273504273504274
P(Pain in testicle=Present | HMPV=True) = 0.004273504273504274
P(Toothache=Not Mentioned | HMPV=False) = 0.9822870140124687
P(Toothache=Negated | HMPV=False) = 9.074517106053999E-4
P(Toothache=Present | HMPV=False) = 0.01680553427692598
P(Toothache=Not Mentioned | HMPV=True) = 0.9871794871794872
P(Toothache=Negated | HMPV=True) = 0.004273504273504274
P(Toothache=Present | HMPV=True) = 0.008547008547008548
P(Unconscious State=Not Mentioned | HMPV=False) = 0.9426773360989005
P(Unconscious State=Negated | HMPV=False) = 0.030452665197459136
P(Unconscious State=Present | HMPV=False) = 0.026869998703640412
P(Unconscious State=Not Mentioned | HMPV=True) = 0.9829059829059829
P(Unconscious State=Negated | HMPV=True) = 0.008547008547008548
P(Unconscious State=Present | HMPV=True) = 0.008547008547008548
P(Increased frequency of micturition=Not Mentioned | HMPV=False) = 0.9545920592082778
P(Increased frequency of micturition=Negated | HMPV=False) = 0.016487336923856552
P(Increased frequency of micturition=Present | HMPV=False) = 0.028920603867865602
P(Increased frequency of micturition=Not Mentioned | HMPV=True) = 0.9743589743589743
