Feature (description),Attribute,M,T
C_D_C0041657 (Unconscious State),P,0.0306,0.0038
C_D_C0042963 (Vomiting),M,0.7214,0.5214
C_D_C0042963 (Vomiting),N,0.1281,0.2008
C_D_C0042963 (Vomiting),P,0.1505,0.2778
C_D_C0043144 (Wheezing),M,0.8072,0.5081
C_D_C0043144 (Wheezing),N,0.1382,0.1256
C_D_C0043144 (Wheezing),P,0.0546,0.3663
C_D_C0085393 (Immunocompromised Host),M,0.9957,0.9914
C_D_C0085393 (Immunocompromised Host),N,0.0009,0.0019
C_D_C0085393 (Immunocompromised Host),P,0.0034,0.0067
C_D_C0085593 (Chills),M,0.6502,0.9477
C_D_C0085593 (Chills),N,0.0673,0.0114
C_D_C0085593 (Chills),P,0.2825,0.0409
C_D_C0085639 (Falls),M,0.9164,0.9876
C_D_C0085639 (Falls),N,0.0069,0.001
C_D_C0085639 (Falls),P,0.0767,0.0114
C_D_C0150618 (History and physical examination),M,0.7722,0.9058
C_D_C0150618 (History and physical examination),N,0.0003,0.001
C_D_C0150618 (History and physical examination),P,0.2276,0.0932
C_D_C0151315 (Neck stiffness),M,0.979,0.9962
C_D_C0151315 (Neck stiffness),N,0.0071,0.0019
C_D_C0151315 (Neck stiffness),P,0.0139,0.0019
C_D_C0151908 (Dry skin),M,0.4157,0.3102
C_D_C0151908 (Dry skin),N,0.0012,0.001
C_D_C0151908 (Dry skin),P,0.5831,0.6889
C_D_C0205161 (Abnormal),M,0.9626,0.8506
C_D_C0205161 (Abnormal),N,0.0056,0.0067
C_D_C0205161 (Abnormal),P,0.0318,0.1427
C_D_C0220870 (Lightheadedness),M,0.9348,0.9971
C_D_C0220870 (Lightheadedness),N,0.0116,0.001
C_D_C0220870 (Lightheadedness),P,0.0536,0.0019
C_D_C0221423 (Illness (finding)),M,0.8985,0.6147
C_D_C0221423 (Illness (finding)),N,0.0193,0.0438
C_D_C0221423 (Illness (finding)),P,0.0823,0.3416
C_D_C0231217 (Multiple symptoms),M,0.985,0.9943
C_D_C0231217 (Multiple symptoms),N,0,0.001
C_D_C0231217 (Multiple symptoms),P,0.0149,0.0048
C_D_C0231218 (Malaise),M,0.9583,0.8953
C_D_C0231218 (Malaise),N,0.0107,0.0152
C_D_C0231218 (Malaise),P,0.031,0.0894
C_D_C0231528 (Myalgia),M,0.9608,0.9829
C_D_C0231528 (Myalgia),N,0.0104,0.0076
C_D_C0231528 (Myalgia),P,0.0288,0.0095
C_D_C0231683 (Gait normal),M,0.9425,0.9924
C_D_C0231683 (Gait normal),N,0,0.001
C_D_C0231683 (Gait normal),P,0.0575,0.0067
C_D_C0231835 (Tachypnea),M,0.979,0.667
C_D_C0231835 (Tachypnea),N,0.0064,0.0171
C_D_C0231835 (Tachypnea),P,0.0146,0.3159
C_D_C0231875 (Expiratory wheezing),M,0.9879,0.9277
C_D_C0231875 (Expiratory wheezing),N,0.0003,0.001
C_D_C0231875 (Expiratory wheezing),P,0.0118,0.0714
C_D_C0232462 (Decrease in appetite),M,0.9951,0.9857
C_D_C0232462 (Decrease in appetite),N,0.0001,0.001
C_D_C0232462 (Decrease in appetite),P,0.0048,0.0133
C_D_C0232466 (Feeding difficulties),M,0.999,0.9686
C_D_C0232466 (Feeding difficulties),N,0,0.0019
C_D_C0232466 (Feeding difficulties),P,0.001,0.0295
C_D_C0234215 (Sensory Discomfort),M,0.9092,0.9886
C_D_C0234215 (Sensory Discomfort),N,0.0045,0.001
C_D_C0234215 (Sensory Discomfort),P,0.0863,0.0105
C_D_C0234233 (Sore to touch),M,0.3866,0.6099
C_D_C0234233 (Sore to touch),N,0.3015,0.3559
C_D_C0234233 (Sore to touch),P,0.3119,0.0343
C_D_C0234238 (Ache),M,0.9888,0.9962
C_D_C0234238 (Ache),N,0.0004,0.001
C_D_C0234238 (Ache),P,0.0109,0.0029
C_D_C0234425 (Level of consciousness),M,0.96,0.9895
C_D_C0234425 (Level of consciousness),N,0.0241,0.001
C_D_C0234425 (Level of consciousness),P,0.0159,0.0095
C_D_C0235031 (Neurologic Symptoms),M,0.8609,0.5528
C_D_C0235031 (Neurologic Symptoms),N,0.0069,0.001
C_D_C0235031 (Neurologic Symptoms),P,0.1322,0.4462
C_D_C0239110 (Consciousness clear),M,0.1927,0.5642
C_D_C0239110 (Consciousness clear),N,0.0044,0.0048
C_D_C0239110 (Consciousness clear),P,0.8029,0.431
C_D_C0239134 (Productive Cough),M,0.9788,0.9696
C_D_C0239134 (Productive Cough),N,0.0019,0.0038
C_D_C0239134 (Productive Cough),P,0.0194,0.0266
C_D_C0239574 (Low grade fever),M,0.9944,0.9734
C_D_C0239574 (Low grade fever),N,0,0.001
C_D_C0239574 (Low grade fever),P,0.0056,0.0257
C_D_C0240741 (PHARYNGEAL EXUDATE),M,0.9996,0.9981
C_D_C0240741 (PHARYNGEAL EXUDATE),N,0.0003,0.001
C_D_C0240741 (PHARYNGEAL EXUDATE),P,0.0001,0.001
C_D_C0240859 (Basilar Rales),M,0.8197,0.7602
C_D_C0240859 (Basilar Rales),N,0.0229,0.0304
C_D_C0240859 (Basilar Rales),P,0.1574,0.2093
C_D_C0241451 (Exudate on tonsils),M,0.9949,0.9971
C_D_C0241451 (Exudate on tonsils),N,0.0041,0.0019
C_D_C0241451 (Exudate on tonsils),P,0.001,0.001
C_D_C0241889 (Family history),M,0.5309,0.2236
C_D_C0241889 (Family history),N,0.0239,0.1618
C_D_C0241889 (Family history),P,0.4452,0.6147
C_D_C0242429 (Sore Throat),M,0.8891,0.9648
C_D_C0242429 (Sore Throat),N,0.0538,0.0124
C_D_C0242429 (Sore Throat),P,0.0571,0.0228
C_D_C0260522 (Encounter due to family history of asthma),M,0.9988,0.9696
C_D_C0260522 (Encounter due to family history of asthma),N,0.0004,0.0152
C_D_C0260522 (Encounter due to family history of asthma),P,0.0008,0.0152
C_D_C0277873 (Nasal Flaring),M,0.9971,0.921
C_D_C0277873 (Nasal Flaring),N,0.0009,0.02
C_D_C0277873 (Nasal Flaring),P,0.002,0.059
C_D_C0278005 (Normal bowel sounds),M,0.752,0.4995
C_D_C0278005 (Normal bowel sounds),N,0,0.001
C_D_C0278005 (Normal bowel sounds),P,0.248,0.4995
C_D_C0332167 (High risk of),M,0.9961,0.9914
C_D_C0332167 (High risk of),N,0.0004,0.001
C_D_C0332167 (High risk of),P,0.0035,0.0076
C_D_C0332523 (Retraction (finding)),M,0.8739,0.5728
C_D_C0332523 (Retraction (finding)),N,0.1113,0.0704
C_D_C0332523 (Retraction (finding)),P,0.0148,0.3568
C_D_C0332575 (Redness),M,0.8861,0.9134
C_D_C0332575 (Redness),N,0.0282,0.0238
C_D_C0332575 (Redness),P,0.0857,0.0628
C_D_C0347530 (Base deficit (finding)),M,0.9956,0.9543
C_D_C0347530 (Base deficit (finding)),N,0,0.001
C_D_C0347530 (Base deficit (finding)),P,0.0044,0.0447
C_D_C0349790 (Exacerbation of asthma),M,0.9873,0.9572
C_D_C0349790 (Exacerbation of asthma),N,0.0002,0.001
C_D_C0349790 (Exacerbation of asthma),P,0.0125,0.0419
C_D_C0392171 (Influenza-like symptoms),M,0.998,0.9943
C_D_C0392171 (Influenza-like symptoms),N,0.0002,0.001
C_D_C0392171 (Influenza-like symptoms),P,0.0018,0.0048
C_D_C0424480 (Facial symmetry),M,0.9039,0.9848
C_D_C0424480 (Facial symmetry),N,0.0002,0.001
C_D_C0424480 (Facial symmetry),P,0.0959,0.0143
C_D_C0424755 (Fever symptoms (finding)),M,0.6162,0.2445
C_D_C0424755 (Fever symptoms (finding)),N,0.2358,0.2188
C_D_C0424755 (Fever symptoms (finding)),P,0.148,0.5366
C_D_C0425452 (No obstruction of airway),M,0.7449,0.9638
C_D_C0425452 (No obstruction of airway),N,0.0001,0.001
C_D_C0425452 (No obstruction of airway),P,0.255,0.0352
C_D_C0425470 (Intercostal Retractions),M,0.874,0.5528
C_D_C0425470 (Intercostal Retractions),N,0.1113,0.0723
C_D_C0425470 (Intercostal Retractions),P,0.0147,0.3749
C_D_C0425710 (Peripheral perfusion),M,0.7428,0.4206
C_D_C0425710 (Peripheral perfusion),N,0,0.001
C_D_C0425710 (Peripheral perfusion),P,0.2572,0.5785
C_D_C0426317 (Genitourinary symptoms),M,0.9017,0.588
C_D_C0426317 (Genitourinary symptoms),N,0.0004,0.001
C_D_C0426317 (Genitourinary symptoms),P,0.0979,0.411
C_D_C0426576 (Gastrointestinal symptom),M,0.8531,0.4529
C_D_C0426576 (Gastrointestinal symptom),N,0.0002,0.001
C_D_C0426576 (Gastrointestinal symptom),P,0.1467,0.5461
C_D_C0428167 (Inspired fraction of oxygen),M,0.7495,0.9229
C_D_C0428167 (Inspired fraction of oxygen),N,0.0001,0.001
C_D_C0428167 (Inspired fraction of oxygen),P,0.2504,0.0761
C_D_C0442757 (3/4),M,0.9966,0.9838
C_D_C0442757 (3/4),N,0,0.001
C_D_C0442757 (3/4),P,0.0034,0.0152
C_D_C0455204 (Homicidal thoughts),M,0.9756,0.9981
C_D_C0455204 (Homicidal thoughts),N,0.0073,0.001
C_D_C0455204 (Homicidal thoughts),P,0.0171,0.001
C_D_C0455458 (PMH - past medical history),M,0.4161,0.8658
C_D_C0455458 (PMH - past medical history),N,0.04,0.0171
C_D_C0455458 (PMH - past medical history),P,0.5439,0.117
C_D_C0455544 (H/O: asthma),M,0.9742,0.961
C_D_C0455544 (H/O: asthma),N,0.0033,0.0086
C_D_C0455544 (H/O: asthma),P,0.0225,0.0304
C_D_C0455899 (Red throat),M,0.807,0.5985
C_D_C0455899 (Red throat),N,0.1133,0.0685
C_D_C0455899 (Red throat),P,0.0797,0.333
C_D_C0456984 (Test Result),M,0.968,0.96
C_D_C0456984 (Test Result),N,0.0026,0.0019
C_D_C0456984 (Test Result),P,0.0293,0.0381
C_D_C0457096 (Yellow sputum),M,0.9965,0.9952
C_D_C0457096 (Yellow sputum),N,0,0.001
C_D_C0457096 (Yellow sputum),P,0.0035,0.0038
C_D_C0476270 (Cardiovascular symptoms),M,0.89,0.5528
C_D_C0476270 (Cardiovascular symptoms),N,0.0001,0.001
C_D_C0476270 (Cardiovascular symptoms),P,0.1099,0.4462
C_D_C0476273 (Respiratory distress),M,0.9224,0.627
C_D_C0476273 (Respiratory distress),N,0.0256,0.0457
C_D_C0476273 (Respiratory distress),P,0.052,0.3273
C_D_C0489543 (History source),M,0.7651,0.2303
C_D_C0489543 (History source),N,0,0.001
C_D_C0489543 (History source),P,0.2349,0.7688
C_D_C0489547 (Hospital course),M,0.7609,0.9743
C_D_C0489547 (Hospital course),N,0.0009,0.001
C_D_C0489547 (Hospital course),P,0.2382,0.0247
C_D_C0518610 (Social warmth),M,0.9576,0.9962
C_D_C0518610 (Social warmth),N,0.0079,0.001
C_D_C0518610 (Social warmth),P,0.0345,0.0029
C_D_C0521654 (Neurologic Deficits),M,0.8599,0.8049
C_D_C0521654 (Neurologic Deficits),N,0.0063,0.001
C_D_C0521654 (Neurologic Deficits),P,0.1338,0.1941
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.8617,0.7507
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0,0.001
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.1382,0.2483
C_D_C0542538 (Observation of Sensation),M,0.7789,0.9715
C_D_C0542538 (Observation of Sensation),N,0.0023,0.001
C_D_C0542538 (Observation of Sensation),P,0.2188,0.0276
C_D_C0549184 (None),M,0.233,0.0599
C_D_C0549184 (None),N,0.0008,0.0019
C_D_C0549184 (None),P,0.7663,0.9382
C_D_C0557134 (Lives with mother),M,0.9918,0.9353
C_D_C0557134 (Lives with mother),N,0.0001,0.001
C_D_C0557134 (Lives with mother),P,0.0081,0.0637
C_D_C0558145 (Skin appearance normal (finding)),M,0.2034,0.0828
C_D_C0558145 (Skin appearance normal (finding)),N,0.0115,0.0095
C_D_C0558145 (Skin appearance normal (finding)),P,0.7851,0.9077
C_D_C0562483 (Persistent cough),M,0.9981,0.981
C_D_C0562483 (Persistent cough),N,0,0.001
C_D_C0562483 (Persistent cough),P,0.0018,0.0181
C_D_C0577559 (Mass of body structure),M,0.8555,0.981
C_D_C0577559 (Mass of body structure),N,0.0109,0.0038
C_D_C0577559 (Mass of body structure),P,0.1335,0.0152
C_D_C0577573 (Mass of body region),M,0.8617,0.981
C_D_C0577573 (Mass of body region),N,0.0109,0.0038
C_D_C0577573 (Mass of body region),P,0.1274,0.0152
C_D_C0578671 (Does move),M,0.8453,0.4748
C_D_C0578671 (Does move),N,0.0001,0.001
C_D_C0578671 (Does move),P,0.1545,0.5243
C_D_C0582051 (Feels warm),M,0.2987,0.1836
C_D_C0582051 (Feels warm),N,0.0077,0.0019
C_D_C0582051 (Feels warm),P,0.6936,0.8145
C_D_C0586406 (Eye symptom),M,0.8863,0.5281
C_D_C0586406 (Eye symptom),N,0.0002,0.001
C_D_C0586406 (Eye symptom),P,0.1135,0.471
C_D_C0586407 (Skin symptom),M,0.8575,0.4558
C_D_C0586407 (Skin symptom),N,0.0003,0.001
C_D_C0586407 (Skin symptom),P,0.1422,0.5433
C_D_C0586514 (Discharge status),M,0.9181,0.9886
C_D_C0586514 (Discharge status),N,0,0.001
C_D_C0586514 (Discharge status),P,0.0819,0.0105
C_D_C0587081 (Laboratory test finding),M,0.75,0.7793
C_D_C0587081 (Laboratory test finding),N,0.0056,0.0067
C_D_C0587081 (Laboratory test finding),P,0.2444,0.2141
C_D_C0595998 (Household composition),M,0.8824,0.7422
C_D_C0595998 (Household composition),N,0.002,0.0019
C_D_C0595998 (Household composition),P,0.1156,0.2559
C_D_C0700292 (Hypoxemia),M,0.998,0.9524
C_D_C0700292 (Hypoxemia),N,0.0003,0.0086
C_D_C0700292 (Hypoxemia),P,0.0017,0.039
C_D_C0728731 (Prematurity of fetus),M,0.9986,0.961
C_D_C0728731 (Prematurity of fetus),N,0,0.001
C_D_C0728731 (Prematurity of fetus),P,0.0013,0.0381
C_D_C0741302 (atypia morphology),M,0.9858,0.8801
C_D_C0741302 (atypia morphology),N,0.0006,0.001
C_D_C0741302 (atypia morphology),P,0.0136,0.1189
C_D_C0743973 (FEVER HIGH (finding)),M,0.9979,0.9791
C_D_C0743973 (FEVER HIGH (finding)),N,0,0.001
C_D_C0743973 (FEVER HIGH (finding)),P,0.002,0.02
C_D_C0744961 (surgical history),M,0.8126,0.5005
C_D_C0744961 (surgical history),N,0.0004,0.0019
C_D_C0744961 (surgical history),P,0.187,0.4976
C_D_C0746961 (Oxygen saturation below reference range),M,0.9981,0.9591
C_D_C0746961 (Oxygen saturation below reference range),N,0.0002,0.0019
C_D_C0746961 (Oxygen saturation below reference range),P,0.0017,0.039
C_D_C0750394 (White blood cell count decreased),M,0.9978,0.9905
C_D_C0750394 (White blood cell count decreased),N,0,0.001
C_D_C0750394 (White blood cell count decreased),P,0.0021,0.0086
C_D_C0750484 (Confirmation),M,0.8029,0.9772
C_D_C0750484 (Confirmation),N,0.0001,0.001
C_D_C0750484 (Confirmation),P,0.1969,0.0219
C_D_C0805732 (Completion Status),M,0.9865,0.9163
C_D_C0805732 (Completion Status),N,0.0002,0.001
C_D_C0805732 (Completion Status),P,0.0133,0.0828
C_D_C0808334 (Tube number),M,0.9989,0.9667
C_D_C0808334 (Tube number),N,0,0.001
C_D_C0808334 (Tube number),P,0.0011,0.0324
C_D_C0850149 (Dry cough),M,0.9858,0.9515
C_D_C0850149 (Dry cough),N,0.0001,0.001
C_D_C0850149 (Dry cough),P,0.0141,0.0476
C_D_C0851511 (family issues),M,0.9996,0.942
C_D_C0851511 (family issues),N,0,0.0571
C_D_C0851511 (family issues),P,0.0004,0.001
C_D_C0853697 (Neutrophil count decreased),M,0.9976,0.9857
C_D_C0853697 (Neutrophil count decreased),N,0.0006,0.0048
C_D_C0853697 (Neutrophil count decreased),P,0.0018,0.0095
C_D_C0859927 (Increased work of breathing),M,0.9977,0.902
C_D_C0859927 (Increased work of breathing),N,0.0007,0.0086
C_D_C0859927 (Increased work of breathing),P,0.0017,0.0894
C_D_C0863146 (Yellow color on exam),M,0.9872,0.883
C_D_C0863146 (Yellow color on exam),N,0.0001,0.001
C_D_C0863146 (Yellow color on exam),P,0.0127,0.1161
C_D_C0948106 (Rupture of Membranes),M,0.854,0.5699
C_D_C0948106 (Rupture of Membranes),N,0.0016,0.0038
C_D_C0948106 (Rupture of Membranes),P,0.1444,0.4263
C_D_C1260880 (Rhinorrhea),M,0.9449,0.7241
C_D_C1260880 (Rhinorrhea),N,0.0111,0.0086
C_D_C1260880 (Rhinorrhea),P,0.044,0.2674
C_D_C1261031 (Platelet morphology - result),M,0.9979,0.9715
C_D_C1261031 (Platelet morphology - result),N,0,0.001
C_D_C1261031 (Platelet morphology - result),P,0.0021,0.0276
C_D_C1261327 (Family history of asthma),M,0.9934,0.8544
C_D_C1261327 (Family history of asthma),N,0.0004,0.0152
C_D_C1261327 (Family history of asthma),P,0.0063,0.1304
C_D_C1271104 (Blood pressure finding),M,0.8082,0.9724
C_D_C1271104 (Blood pressure finding),N,0.0015,0.001
C_D_C1271104 (Blood pressure finding),P,0.1903,0.0266
C_D_C1272641 (Systemic arterial pressure),M,0.8071,0.9686
C_D_C1272641 (Systemic arterial pressure),N,0.0015,0.0019
C_D_C1272641 (Systemic arterial pressure),P,0.1914,0.0295
C_D_C1273937 (Not significant),M,0.8558,0.5814
C_D_C1273937 (Not significant),N,0.0001,0.001
C_D_C1273937 (Not significant),P,0.1441,0.4177
C_D_C1277295 (Cough with fever),M,0.9981,0.9848
C_D_C1277295 (Cough with fever),N,0.0007,0.001
C_D_C1277295 (Cough with fever),P,0.0012,0.0143
C_D_C1299487 (Patient name),M,0.7533,0.981
C_D_C1299487 (Patient name),N,0,0.001
C_D_C1299487 (Patient name),P,0.2467,0.0181
C_D_C1314687 (Sexual intercourse - finding),M,0.2952,0.0571
C_D_C1314687 (Sexual intercourse - finding),N,0.0052,0.001
C_D_C1314687 (Sexual intercourse - finding),P,0.6996,0.942
C_D_C1321013 (Hydration status),M,0.972,0.9125
C_D_C1321013 (Hydration status),N,0.0003,0.0019
C_D_C1321013 (Hydration status),P,0.0276,0.0856
C_D_C1330956 (Base excess result),M,0.9964,0.9724
C_D_C1330956 (Base excess result),N,0,0.001
C_D_C1330956 (Base excess result),P,0.0036,0.0266
C_D_C1363945 (Therapy Object (animal model)),M,0.886,0.4843
C_D_C1363945 (Therapy Object (animal model)),N,0.001,0.0057
C_D_C1363945 (Therapy Object (animal model)),P,0.113,0.51
C_D_C1444775 (Sharp sensation quality),M,0.9506,0.9981
C_D_C1444775 (Sharp sensation quality),N,0.0007,0.001
C_D_C1444775 (Sharp sensation quality),P,0.0487,0.001
C_D_C1446409 (Positive),M,0.8216,0.7659
C_D_C1446409 (Positive),N,0.0477,0.0238
C_D_C1446409 (Positive),P,0.1307,0.2103
C_D_C1457887 (Symptoms),M,0.4653,0.2778
C_D_C1457887 (Symptoms),N,0.0652,0.019
C_D_C1457887 (Symptoms),P,0.4695,0.7031
C_D_C1509143 (Physical assessment findings),M,0.8432,0.3711
C_D_C1509143 (Physical assessment findings),N,0.0054,0.0019
C_D_C1509143 (Physical assessment findings),P,0.1514,0.627
C_D_C1513302 (Mild Adverse Event),M,0.6972,0.588
C_D_C1513302 (Mild Adverse Event),N,0.0018,0.0029
C_D_C1513302 (Mild Adverse Event),P,0.301,0.4091
C_D_C1514241 (Positive Finding),M,0.8565,0.803
C_D_C1514241 (Positive Finding),N,0.0481,0.0219
C_D_C1514241 (Positive Finding),P,0.0954,0.1751
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.943,0.4405
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0,0.001
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.0569,0.5585
C_D_C1548428 (Referral type - Psychiatric),M,0.5744,0.824
C_D_C1548428 (Referral type - Psychiatric),N,0.0051,0.001
C_D_C1548428 (Referral type - Psychiatric),P,0.4205,0.1751
C_D_C1550457 (Normal Observation Interpretation),M,0.2051,0.0828
C_D_C1550457 (Normal Observation Interpretation),N,0.0115,0.0095
C_D_C1550457 (Normal Observation Interpretation),P,0.7834,0.9077
C_D_C1551394 (normal Device Alert Level),M,0.2051,0.0828
C_D_C1551394 (normal Device Alert Level),N,0.0115,0.0095
C_D_C1551394 (normal Device Alert Level),P,0.7834,0.9077
C_D_C1551396 (DeviceAlertLevel - Critical),M,0.9903,0.8687
C_D_C1551396 (DeviceAlertLevel - Critical),N,0.0003,0.001
C_D_C1551396 (DeviceAlertLevel - Critical),P,0.0095,0.1304
C_D_C1555319 (discharge diagnosis),M,0.9428,0.9971
C_D_C1555319 (discharge diagnosis),N,0.0003,0.001
C_D_C1555319 (discharge diagnosis),P,0.0569,0.0019
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),M,0.8309,0.3996
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),N,0.0041,0.0038
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),P,0.165,0.5966
C_D_C1557397 (Adverse Event Associated with Pain),M,0.4713,0.8982
