Feature (description),Attribute,F,T
C_D_C0040460 (Toothache),M,0.9968,0.9818
C_D_C0040460 (Toothache),N,0.001,0.0011
C_D_C0040460 (Toothache),P,0.0023,0.0171
C_D_C0041657 (Unconscious State),M,0.9903,0.9386
C_D_C0041657 (Unconscious State),N,0.0048,0.0329
C_D_C0041657 (Unconscious State),P,0.0048,0.0285
C_D_C0042571 (Vertigo),M,0.9289,0.884
C_D_C0042571 (Vertigo),N,0.0084,0.0193
C_D_C0042571 (Vertigo),P,0.0627,0.0967
C_D_C0042963 (Vomiting),M,0.4496,0.59
C_D_C0042963 (Vomiting),N,0.2838,0.2553
C_D_C0042963 (Vomiting),P,0.2666,0.1547
C_D_C0043144 (Wheezing),M,0.6752,0.825
C_D_C0043144 (Wheezing),N,0.1429,0.1223
C_D_C0043144 (Wheezing),P,0.182,0.0528
C_D_C0085393 (Immunocompromised Host),M,0.9641,0.9923
C_D_C0085393 (Immunocompromised Host),N,0.0084,0.0041
C_D_C0085393 (Immunocompromised Host),P,0.0275,0.0036
C_D_C0085593 (Chills),M,0.7078,0.6051
C_D_C0085593 (Chills),N,0.0682,0.1355
C_D_C0085593 (Chills),P,0.224,0.2595
C_D_C0085602 (Polydipsia),M,0.9661,0.9284
C_D_C0085602 (Polydipsia),N,0.0068,0.0159
C_D_C0085602 (Polydipsia),P,0.0271,0.0556
C_D_C0085639 (Falls),M,0.9729,0.9083
C_D_C0085639 (Falls),N,0.0013,0.0086
C_D_C0085639 (Falls),P,0.0259,0.0831
C_D_C0086439 (Hypokinesia),M,0.9813,0.9963
C_D_C0086439 (Hypokinesia),N,0.0003,0
C_D_C0086439 (Hypokinesia),P,0.0184,0.0037
C_D_C0087136 (Unmarried),M,0.9867,0.9627
C_D_C0087136 (Unmarried),N,0.0003,0.0003
C_D_C0087136 (Unmarried),P,0.0129,0.0369
C_D_C0149744 (Oral lesion),M,0.9838,0.9859
C_D_C0149744 (Oral lesion),N,0.0107,0.0126
C_D_C0149744 (Oral lesion),P,0.0055,0.0015
C_D_C0150055 (Chronic pain),M,0.9948,0.9798
C_D_C0150055 (Chronic pain),N,0.0003,0.0003
C_D_C0150055 (Chronic pain),P,0.0048,0.0199
C_D_C0150312 (Present),M,0.6519,0.7409
C_D_C0150312 (Present),N,0.0036,0.006
C_D_C0150312 (Present),P,0.3445,0.2531
C_D_C0150618 (History and physical examination),M,0.8222,0.7451
C_D_C0150618 (History and physical examination),N,0.0003,0.0004
C_D_C0150618 (History and physical examination),P,0.1774,0.2544
C_D_C0151315 (Neck stiffness),M,0.9677,0.9873
C_D_C0151315 (Neck stiffness),N,0.0162,0.0049
C_D_C0151315 (Neck stiffness),P,0.0162,0.0078
C_D_C0151827 (Eye pain),M,0.9528,0.9163
C_D_C0151827 (Eye pain),N,0.0142,0.0219
C_D_C0151827 (Eye pain),P,0.033,0.0618
C_D_C0151908 (Dry skin),M,0.2376,0.2807
C_D_C0151908 (Dry skin),N,0.001,0.001
C_D_C0151908 (Dry skin),P,0.7615,0.7182
C_D_C0152029 (Congestion of nasal sinus),M,0.9871,0.9953
C_D_C0152029 (Congestion of nasal sinus),N,0.0013,0.0003
C_D_C0152029 (Congestion of nasal sinus),P,0.0116,0.0044
C_D_C0184511 (Improved),M,0.9344,0.9621
C_D_C0184511 (Improved),N,0.0016,0.0002
C_D_C0184511 (Improved),P,0.064,0.0377
C_D_C0205161 (Abnormal),M,0.8597,0.9453
C_D_C0205161 (Abnormal),N,0.0084,0.0091
C_D_C0205161 (Abnormal),P,0.1319,0.0456
C_D_C0220870 (Lightheadedness),M,0.9654,0.9321
C_D_C0220870 (Lightheadedness),N,0.0068,0.0122
C_D_C0220870 (Lightheadedness),P,0.0278,0.0557
C_D_C0221198 (Lesion),M,0.8824,0.8461
C_D_C0221198 (Lesion),N,0.0527,0.0687
C_D_C0221198 (Lesion),P,0.065,0.0852
C_D_C0221423 (Illness (finding)),M,0.5756,0.8775
C_D_C0221423 (Illness (finding)),N,0.0611,0.0287
C_D_C0221423 (Illness (finding)),P,0.3633,0.0938
C_D_C0221785 (Pain in wrist),M,0.999,0.9892
C_D_C0221785 (Pain in wrist),N,0.0003,0.0006
C_D_C0221785 (Pain in wrist),P,0.0006,0.0102
C_D_C0227791 (Vaginal Discharge),M,0.9929,0.97
C_D_C0227791 (Vaginal Discharge),N,0.0023,0.011
C_D_C0227791 (Vaginal Discharge),P,0.0048,0.0189
C_D_C0231217 (Multiple symptoms),M,0.9596,0.9805
C_D_C0231217 (Multiple symptoms),N,0.0003,0.0001
C_D_C0231217 (Multiple symptoms),P,0.0401,0.0194
C_D_C0231218 (Malaise),M,0.7944,0.9439
C_D_C0231218 (Malaise),N,0.0213,0.0151
C_D_C0231218 (Malaise),P,0.1842,0.0409
C_D_C0231221 (Asymptomatic),M,0.9913,0.9693
C_D_C0231221 (Asymptomatic),N,0.0006,0.0004
C_D_C0231221 (Asymptomatic),P,0.0081,0.0303
C_D_C0231528 (Myalgia),M,0.7705,0.9098
C_D_C0231528 (Myalgia),N,0.0394,0.0493
C_D_C0231528 (Myalgia),P,0.19,0.0409
C_D_C0231589 (Limitation of joint movement),M,0.9987,0.9859
C_D_C0231589 (Limitation of joint movement),N,0.0003,0.0004
C_D_C0231589 (Limitation of joint movement),P,0.001,0.0137
C_D_C0231683 (Gait normal),M,0.957,0.921
C_D_C0231683 (Gait normal),N,0.0003,0.0001
C_D_C0231683 (Gait normal),P,0.0427,0.0789
C_D_C0231749 (Knee pain),M,0.9977,0.97
C_D_C0231749 (Knee pain),N,0.0003,0.0014
C_D_C0231749 (Knee pain),P,0.0019,0.0286
C_D_C0231835 (Tachypnea),M,0.8675,0.9738
C_D_C0231835 (Tachypnea),N,0.0226,0.008
C_D_C0231835 (Tachypnea),P,0.1099,0.0182
C_D_C0231875 (Expiratory wheezing),M,0.9376,0.9865
C_D_C0231875 (Expiratory wheezing),N,0.0019,0.0001
C_D_C0231875 (Expiratory wheezing),P,0.0604,0.0135
C_D_C0231911 (Paroxysmal cough),M,0.9932,0.9994
C_D_C0231911 (Paroxysmal cough),N,0.0003,0.0001
C_D_C0231911 (Paroxysmal cough),P,0.0065,0.0005
C_D_C0232462 (Decrease in appetite),M,0.9725,0.9933
C_D_C0232462 (Decrease in appetite),N,0.0003,0.0003
C_D_C0232462 (Decrease in appetite),P,0.0271,0.0064
C_D_C0232466 (Feeding difficulties),M,0.9948,0.9986
C_D_C0232466 (Feeding difficulties),N,0.0003,0.0001
C_D_C0232466 (Feeding difficulties),P,0.0048,0.0013
C_D_C0232493 (Epigastric pain),M,0.9939,0.9805
C_D_C0232493 (Epigastric pain),N,0.0003,0.0005
C_D_C0232493 (Epigastric pain),P,0.0058,0.019
C_D_C0232495 (Lower abdominal pain),M,0.9961,0.9852
C_D_C0232495 (Lower abdominal pain),N,0.0006,0.0014
C_D_C0232495 (Lower abdominal pain),P,0.0032,0.0134
C_D_C0233401 (Psychiatric symptom),M,0.9328,0.9615
C_D_C0233401 (Psychiatric symptom),N,0.0003,0
C_D_C0233401 (Psychiatric symptom),P,0.0669,0.0384
C_D_C0233536 (Overlying behavior),M,0.9958,0.9866
C_D_C0233536 (Overlying behavior),N,0.0029,0.0048
C_D_C0233536 (Overlying behavior),P,0.0013,0.0085
C_D_C0233657 (Flight of ideas),M,0.9994,0.9927
C_D_C0233657 (Flight of ideas),N,0.0003,0.0055
C_D_C0233657 (Flight of ideas),P,0.0003,0.0018
C_D_C0233762 ('Hallucinations  Auditory'),M,0.9987,0.9918
C_D_C0233762 ('Hallucinations  Auditory'),N,0.0003,0.0054
C_D_C0233762 ('Hallucinations  Auditory'),P,0.001,0.0028
C_D_C0233763 ('Hallucinations  Visual'),M,0.9994,0.9915
C_D_C0233763 ('Hallucinations  Visual'),N,0.0003,0.0058
C_D_C0233763 ('Hallucinations  Visual'),P,0.0003,0.0028
C_D_C0234215 (Sensory Discomfort),M,0.9661,0.9193
C_D_C0234215 (Sensory Discomfort),N,0.0006,0.0044
C_D_C0234215 (Sensory Discomfort),P,0.0333,0.0763
C_D_C0234233 (Sore to touch),M,0.456,0.3481
C_D_C0234233 (Sore to touch),N,0.3568,0.2729
C_D_C0234233 (Sore to touch),P,0.1871,0.379
C_D_C0234238 (Ache),M,0.882,0.9861
C_D_C0234238 (Ache),N,0.001,0.0003
C_D_C0234238 (Ache),P,0.117,0.0136
C_D_C0234254 (Radiating pain),M,0.9987,0.9849
C_D_C0234254 (Radiating pain),N,0.0003,0.0008
C_D_C0234254 (Radiating pain),P,0.001,0.0143
C_D_C0234425 (Level of consciousness),M,0.9913,0.9557
C_D_C0234425 (Level of consciousness),N,0.0026,0.0221
C_D_C0234425 (Level of consciousness),P,0.0061,0.0221
C_D_C0235031 (Neurologic Symptoms),M,0.7337,0.8584
C_D_C0235031 (Neurologic Symptoms),N,0.0013,0.0033
C_D_C0235031 (Neurologic Symptoms),P,0.265,0.1382
C_D_C0235634 (Renal angle tenderness),M,0.9683,0.9477
C_D_C0235634 (Renal angle tenderness),N,0.0265,0.0369
C_D_C0235634 (Renal angle tenderness),P,0.0052,0.0155
C_D_C0237167 (Language Barriers),M,0.9648,0.9831
C_D_C0237167 (Language Barriers),N,0.0006,0.0006
C_D_C0237167 (Language Barriers),P,0.0346,0.0163
C_D_C0238656 (Ankle pain),M,0.9994,0.9851
C_D_C0238656 (Ankle pain),N,0.0003,0.0005
C_D_C0238656 (Ankle pain),P,0.0003,0.0144
C_D_C0238953 (CERVICAL MOTION TENDERNESS),M,0.9994,0.991
C_D_C0238953 (CERVICAL MOTION TENDERNESS),N,0.0003,0.0061
C_D_C0238953 (CERVICAL MOTION TENDERNESS),P,0.0003,0.0029
C_D_C0239110 (Consciousness clear),M,0.287,0.1586
C_D_C0239110 (Consciousness clear),N,0.0032,0.0046
C_D_C0239110 (Consciousness clear),P,0.7098,0.8368
C_D_C0239133 (Hacking cough),M,0.9919,0.9996
C_D_C0239133 (Hacking cough),N,0.0003,0
C_D_C0239133 (Hacking cough),P,0.0078,0.0003
C_D_C0239134 (Productive Cough),M,0.9114,0.9768
C_D_C0239134 (Productive Cough),N,0.0055,0.0021
C_D_C0239134 (Productive Cough),P,0.0831,0.0212
C_D_C0239266 (Pain in elbow),M,0.9987,0.9918
C_D_C0239266 (Pain in elbow),N,0.0003,0.0005
C_D_C0239266 (Pain in elbow),P,0.001,0.0077
C_D_C0239574 (Low grade fever),M,0.9767,0.9936
C_D_C0239574 (Low grade fever),N,0.0006,0
C_D_C0239574 (Low grade fever),P,0.0226,0.0064
C_D_C0239833 (Hand pain),M,0.9994,0.9923
C_D_C0239833 (Hand pain),N,0.0003,0.0003
C_D_C0239833 (Hand pain),P,0.0003,0.0074
C_D_C0240859 (Basilar Rales),M,0.8239,0.8777
C_D_C0240859 (Basilar Rales),N,0.041,0.017
C_D_C0240859 (Basilar Rales),P,0.1351,0.1053
C_D_C0241028 (Sexually active),M,0.9984,0.9852
C_D_C0241028 (Sexually active),N,0.0003,0.0012
C_D_C0241028 (Sexually active),P,0.0013,0.0136
C_D_C0241136 (Pain of skin),M,0.9803,0.9494
C_D_C0241136 (Pain of skin),N,0.0003,0.0001
C_D_C0241136 (Pain of skin),P,0.0194,0.0505
C_D_C0241889 (Family history),M,0.4047,0.5676
C_D_C0241889 (Family history),N,0.0805,0.0573
C_D_C0241889 (Family history),P,0.5149,0.3751
C_D_C0242429 (Sore Throat),M,0.669,0.7831
C_D_C0242429 (Sore Throat),N,0.096,0.1128
C_D_C0242429 (Sore Throat),P,0.235,0.1041
C_D_C0260522 (Encounter due to family history of asthma),M,0.9919,0.9981
C_D_C0260522 (Encounter due to family history of asthma),N,0.0029,0.0007
C_D_C0260522 (Encounter due to family history of asthma),P,0.0052,0.0012
C_D_C0262926 (Medical History),M,0.0482,0.0581
C_D_C0262926 (Medical History),N,0.0145,0.0309
C_D_C0262926 (Medical History),P,0.9373,0.911
C_D_C0277799 (Intermittent fever (finding)),M,0.9926,0.9991
C_D_C0277799 (Intermittent fever (finding)),N,0.0003,0
C_D_C0277799 (Intermittent fever (finding)),P,0.0071,0.0008
C_D_C0277873 (Nasal Flaring),M,0.9632,0.9964
C_D_C0277873 (Nasal Flaring),N,0.0204,0.0007
C_D_C0277873 (Nasal Flaring),P,0.0165,0.0029
C_D_C0278005 (Normal bowel sounds),M,0.5718,0.7462
C_D_C0278005 (Normal bowel sounds),N,0.0003,0
C_D_C0278005 (Normal bowel sounds),P,0.4279,0.2537
C_D_C0278138 (Mild pain),M,0.9977,0.9894
C_D_C0278138 (Mild pain),N,0.0003,0.0001
C_D_C0278138 (Mild pain),P,0.0019,0.0104
C_D_C0278140 (Severe pain),M,0.9961,0.9833
C_D_C0278140 (Severe pain),N,0.0003,0.0003
C_D_C0278140 (Severe pain),P,0.0036,0.0164
C_D_C0332119 (Past history of),M,0.4034,0.4476
C_D_C0332119 (Past history of),N,0.0582,0.0767
C_D_C0332119 (Past history of),P,0.5385,0.4756
C_D_C0332148 (Probable diagnosis),M,0.6862,0.7444
C_D_C0332148 (Probable diagnosis),N,0.0039,0.0056
C_D_C0332148 (Probable diagnosis),P,0.31,0.25
C_D_C0332167 (High risk of),M,0.9489,0.9947
C_D_C0332167 (High risk of),N,0.0262,0.0006
C_D_C0332167 (High risk of),P,0.0249,0.0047
C_D_C0332516 (Symmetrical),M,0.5905,0.6837
C_D_C0332516 (Symmetrical),N,0.0003,0.0001
C_D_C0332516 (Symmetrical),P,0.4092,0.3162
C_D_C0332523 (Retraction (finding)),M,0.8077,0.8454
C_D_C0332523 (Retraction (finding)),N,0.0863,0.1386
C_D_C0332523 (Retraction (finding)),P,0.106,0.016
C_D_C0332563 (Papule),M,0.9897,0.9893
C_D_C0332563 (Papule),N,0.0003,0.0003
C_D_C0332563 (Papule),P,0.01,0.0104
C_D_C0332575 (Redness),M,0.9363,0.8821
C_D_C0332575 (Redness),N,0.0149,0.0315
C_D_C0332575 (Redness),P,0.0488,0.0864
C_D_C0344232 (Blurred vision),M,0.9622,0.9364
C_D_C0344232 (Blurred vision),N,0.032,0.0378
C_D_C0344232 (Blurred vision),P,0.0058,0.0258
C_D_C0349790 (Exacerbation of asthma),M,0.9586,0.9866
C_D_C0349790 (Exacerbation of asthma),N,0.0016,0.0001
C_D_C0349790 (Exacerbation of asthma),P,0.0398,0.0132
C_D_C0392171 (Influenza-like symptoms),M,0.839,0.9991
C_D_C0392171 (Influenza-like symptoms),N,0.0003,0.0001
C_D_C0392171 (Influenza-like symptoms),P,0.1606,0.0008
C_D_C0423602 (Foreign body sensation),M,0.9994,0.9931
C_D_C0423602 (Foreign body sensation),N,0.0003,0.0021
C_D_C0423602 (Foreign body sensation),P,0.0003,0.0048
C_D_C0424000 (Feeling suicidal (finding)),M,0.9961,0.9722
C_D_C0424000 (Feeling suicidal (finding)),N,0.0016,0.0081
C_D_C0424000 (Feeling suicidal (finding)),P,0.0023,0.0197
C_D_C0424480 (Facial symmetry),M,0.904,0.8371
C_D_C0424480 (Facial symmetry),N,0.0003,0
C_D_C0424480 (Facial symmetry),P,0.0957,0.1629
C_D_C0424489 (Chapping of lips),M,0.9919,0.9994
C_D_C0424489 (Chapping of lips),N,0.0003,0.0001
C_D_C0424489 (Chapping of lips),P,0.0078,0.0005
C_D_C0424755 (Fever symptoms (finding)),M,0.2078,0.5179
C_D_C0424755 (Fever symptoms (finding)),N,0.16,0.3622
C_D_C0424755 (Fever symptoms (finding)),P,0.6322,0.12
C_D_C0424945 (Social and personal history),M,0.0608,0.0741
C_D_C0424945 (Social and personal history),N,0.0129,0.0374
C_D_C0424945 (Social and personal history),P,0.9263,0.8885
C_D_C0425452 (No obstruction of airway),M,0.8213,0.6679
C_D_C0425452 (No obstruction of airway),N,0.0006,0
C_D_C0425452 (No obstruction of airway),P,0.1781,0.332
C_D_C0425470 (Intercostal Retractions),M,0.7977,0.8458
C_D_C0425470 (Intercostal Retractions),N,0.086,0.1385
C_D_C0425470 (Intercostal Retractions),P,0.1164,0.0157
C_D_C0425542 (Added respiratory sounds),M,0.9822,0.9989
C_D_C0425542 (Added respiratory sounds),N,0.0068,0.0006
C_D_C0425542 (Added respiratory sounds),P,0.011,0.0005
C_D_C0425710 (Peripheral perfusion),M,0.5175,0.7065
C_D_C0425710 (Peripheral perfusion),N,0.0003,0
C_D_C0425710 (Peripheral perfusion),P,0.4822,0.2934
C_D_C0426317 (Genitourinary symptoms),M,0.775,0.8959
C_D_C0426317 (Genitourinary symptoms),N,0.0006,0.0001
C_D_C0426317 (Genitourinary symptoms),P,0.2243,0.104
C_D_C0426576 (Gastrointestinal symptom),M,0.6296,0.832
C_D_C0426576 (Gastrointestinal symptom),N,0.0003,0.0001
C_D_C0426576 (Gastrointestinal symptom),P,0.3701,0.1679
C_D_C0426663 (Abdomen soft),M,0.9644,0.9829
C_D_C0426663 (Abdomen soft),N,0.0003,0.0001
C_D_C0426663 (Abdomen soft),P,0.0352,0.0169
C_D_C0428167 (Inspired fraction of oxygen),M,0.6878,0.5548
C_D_C0428167 (Inspired fraction of oxygen),N,0.0003,0.0005
C_D_C0428167 (Inspired fraction of oxygen),P,0.3119,0.4447
C_D_C0438141 (Urine screening normal),M,0.9803,0.9949
C_D_C0438141 (Urine screening normal),N,0.0003,0
C_D_C0438141 (Urine screening normal),P,0.0194,0.0051
C_D_C0442757 (3/4),M,0.9845,0.996
C_D_C0442757 (3/4),N,0.0003,0
C_D_C0442757 (3/4),P,0.0152,0.004
C_D_C0442766 (1/24),M,0.9864,0.9969
C_D_C0442766 (1/24),N,0.0003,0
C_D_C0442766 (1/24),P,0.0133,0.003
C_D_C0442797 (Decreasing),M,0.9803,0.9933
C_D_C0442797 (Decreasing),N,0.0006,0.0002
C_D_C0442797 (Decreasing),P,0.0191,0.0065
C_D_C0449426 (Source of infection),M,0.9809,0.9963
