Feature (description),Attribute,M,T
C_D_C0010520 (Cyanosis),M,0.9559,0.9524
C_D_C0010520 (Cyanosis),N,0.0271,0.0317
C_D_C0010520 (Cyanosis),P,0.017,0.0159
C_D_C0011991 (Diarrhea),M,0.703,0.5238
C_D_C0011991 (Diarrhea),N,0.1066,0.1429
C_D_C0011991 (Diarrhea),P,0.1904,0.3333
C_D_C0012569 (Diplopia),M,0.95,0.9048
C_D_C0012569 (Diplopia),N,0.0202,0.0476
C_D_C0012569 (Diplopia),P,0.0298,0.0476
C_D_C0012833 (Dizziness),M,0.8654,0.8413
C_D_C0012833 (Dizziness),N,0.0176,0.0159
C_D_C0012833 (Dizziness),P,0.117,0.1429
C_D_C0013404 (Dyspnea),M,0.5213,0.381
C_D_C0013404 (Dyspnea),N,0.2319,0.0952
C_D_C0013404 (Dyspnea),P,0.2467,0.5238
C_D_C0013428 (Dysuria),M,0.7501,0.6508
C_D_C0013428 (Dysuria),N,0.1771,0.2698
C_D_C0013428 (Dysuria),P,0.0728,0.0794
C_D_C0015230 (Exanthema),M,0.4273,0.254
C_D_C0015230 (Exanthema),N,0.4834,0.6032
C_D_C0015230 (Exanthema),P,0.0893,0.1429
C_D_C0015672 (Fatigue),M,0.9435,0.8413
C_D_C0015672 (Fatigue),N,0.0142,0.0317
C_D_C0015672 (Fatigue),P,0.0423,0.127
C_D_C0015967 (Fever),M,0.3815,0.1587
C_D_C0015967 (Fever),N,0.3984,0.2698
C_D_C0015967 (Fever),P,0.2201,0.5714
C_D_C0016199 (Flank Pain),M,0.9778,0.9683
C_D_C0016199 (Flank Pain),N,0.0031,0.0159
C_D_C0016199 (Flank Pain),P,0.0191,0.0159
C_D_C0016512 (Foot pain),M,0.9825,0.9683
C_D_C0016512 (Foot pain),N,0.0004,0.0159
C_D_C0016512 (Foot pain),P,0.0172,0.0159
C_D_C0016928 (Gait),M,0.9538,0.9683
C_D_C0016928 (Gait),N,0.0005,0.0159
C_D_C0016928 (Gait),P,0.0456,0.0159
C_D_C0018681 (Headache),M,0.7055,0.7619
C_D_C0018681 (Headache),N,0.1543,0.1429
C_D_C0018681 (Headache),P,0.1402,0.0952
C_D_C0018808 (Heart murmur),M,0.38,0.4286
C_D_C0018808 (Heart murmur),N,0.5913,0.5397
C_D_C0018808 (Heart murmur),P,0.0287,0.0317
C_D_C0018926 (Hematemesis),M,0.9814,0.9048
C_D_C0018926 (Hematemesis),N,0.0104,0.0635
C_D_C0018926 (Hematemesis),P,0.0081,0.0317
C_D_C0019029 (Hemoglobin concentration result),M,0.7759,0.3333
C_D_C0019029 (Hemoglobin concentration result),N,0.0001,0.0159
C_D_C0019029 (Hemoglobin concentration result),P,0.224,0.6508
C_D_C0019079 (Hemoptysis),M,0.9761,0.873
C_D_C0019079 (Hemoptysis),N,0.0131,0.0794
C_D_C0019079 (Hemoptysis),P,0.0108,0.0476
C_D_C0019214 (Hepatosplenomegaly),M,0.9146,0.8889
C_D_C0019214 (Hepatosplenomegaly),N,0.0828,0.0794
C_D_C0019214 (Hepatosplenomegaly),P,0.0026,0.0317
C_D_C0020440 (Hypercapnia),M,0.9982,0.9206
C_D_C0020440 (Hypercapnia),N,0.0002,0.0159
C_D_C0020440 (Hypercapnia),P,0.0016,0.0635
C_D_C0020580 (Hypesthesia),M,0.785,0.6984
C_D_C0020580 (Hypesthesia),N,0.1336,0.2222
C_D_C0020580 (Hypesthesia),P,0.0814,0.0794
C_D_C0021294 ('Infant  Premature'),M,0.9983,0.9524
C_D_C0021294 ('Infant  Premature'),N,0,0.0159
C_D_C0021294 ('Infant  Premature'),P,0.0017,0.0317
C_D_C0022346 (Icterus),M,0.7055,0.5079
C_D_C0022346 (Icterus),N,0.0579,0.127
C_D_C0022346 (Icterus),P,0.2367,0.3651
C_D_C0023380 (Lethargy),M,0.983,0.8889
C_D_C0023380 (Lethargy),N,0.0034,0.0159
C_D_C0023380 (Lethargy),P,0.0136,0.0952
C_D_C0024031 (Low Back Pain),M,0.9644,0.9683
C_D_C0024031 (Low Back Pain),N,0.0005,0.0159
C_D_C0024031 (Low Back Pain),P,0.0352,0.0159
C_D_C0025287 (Meningism),M,0.9751,0.9365
C_D_C0025287 (Meningism),N,0.0228,0.0476
C_D_C0025287 (Meningism),P,0.0021,0.0159
C_D_C0026821 (Muscle Cramp),M,0.9771,0.9683
C_D_C0026821 (Muscle Cramp),N,0.002,0.0159
C_D_C0026821 (Muscle Cramp),P,0.021,0.0159
C_D_C0026827 (Muscle hypotonia),M,0.9992,0.9524
C_D_C0026827 (Muscle hypotonia),N,0,0.0159
C_D_C0026827 (Muscle hypotonia),P,0.0008,0.0317
C_D_C0026858 (Musculoskeletal Pain),M,0.9896,0.9683
C_D_C0026858 (Musculoskeletal Pain),N,0.0013,0.0159
C_D_C0026858 (Musculoskeletal Pain),P,0.0091,0.0159
C_D_C0027424 (Nasal congestion (finding)),M,0.9106,0.8095
C_D_C0027424 (Nasal congestion (finding)),N,0.057,0.0794
C_D_C0027424 (Nasal congestion (finding)),P,0.0324,0.1111
C_D_C0027497 (Nausea),M,0.6275,0.6508
C_D_C0027497 (Nausea),N,0.155,0.2222
C_D_C0027497 (Nausea),P,0.2174,0.127
C_D_C0028643 (Numbness),M,0.7816,0.6984
C_D_C0028643 (Numbness),N,0.136,0.2222
C_D_C0028643 (Numbness),P,0.0824,0.0794
C_D_C0029053 (Decreased translucency),M,0.9876,0.746
C_D_C0029053 (Decreased translucency),N,0.0002,0.0159
C_D_C0029053 (Decreased translucency),P,0.0121,0.2381
C_D_C0030193 (Pain),M,0.4554,0.8254
C_D_C0030193 (Pain),N,0.1114,0.0635
C_D_C0030193 (Pain),P,0.4332,0.1111
C_D_C0030232 (Pallor),M,0.9358,0.9206
C_D_C0030232 (Pallor),N,0.0502,0.0476
C_D_C0030232 (Pallor),P,0.0139,0.0317
C_D_C0030252 (Palpitations),M,0.8497,0.6984
C_D_C0030252 (Palpitations),N,0.0694,0.1746
C_D_C0030252 (Palpitations),P,0.0808,0.127
C_D_C0030544 (PARENTAL CONCERNS),M,0.9921,0.9683
C_D_C0030544 (PARENTAL CONCERNS),N,0,0.0159
C_D_C0030544 (PARENTAL CONCERNS),P,0.0079,0.0159
C_D_C0032617 (Polyuria),M,0.9529,0.9048
C_D_C0032617 (Polyuria),N,0.0392,0.0635
C_D_C0032617 (Polyuria),P,0.0079,0.0317
C_D_C0033774 (Pruritus),M,0.9388,0.8413
C_D_C0033774 (Pruritus),N,0.0131,0.0794
C_D_C0033774 (Pruritus),P,0.0481,0.0794
C_D_C0034642 (Rales),M,0.8908,0.6825
C_D_C0034642 (Rales),N,0.0176,0.0635
C_D_C0034642 (Rales),P,0.0916,0.254
C_D_C0037011 (Shoulder Pain),M,0.9849,0.9524
C_D_C0037011 (Shoulder Pain),N,0.0004,0.0159
C_D_C0037011 (Shoulder Pain),P,0.0147,0.0317
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.8496,0.7778
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.002,0.0317
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.1484,0.1905
C_D_C0037763 (Spasm),M,0.9771,0.9683
C_D_C0037763 (Spasm),N,0.0016,0.0159
C_D_C0037763 (Spasm),P,0.0213,0.0159
C_D_C0039231 (Tachycardia),M,0.9376,0.6508
C_D_C0039231 (Tachycardia),N,0.0154,0.0635
C_D_C0039231 (Tachycardia),P,0.047,0.2857
C_D_C0040460 (Toothache),M,0.9804,0.9683
C_D_C0040460 (Toothache),N,0.0011,0.0159
C_D_C0040460 (Toothache),P,0.0186,0.0159
C_D_C0041657 (Unconscious State),M,0.939,0.9683
C_D_C0041657 (Unconscious State),N,0.0331,0.0159
C_D_C0041657 (Unconscious State),P,0.0279,0.0159
C_D_C0042571 (Vertigo),M,0.8966,0.8413
C_D_C0042571 (Vertigo),N,0.0156,0.0317
C_D_C0042571 (Vertigo),P,0.0879,0.127
C_D_C0042963 (Vomiting),M,0.6371,0.5556
C_D_C0042963 (Vomiting),N,0.2083,0.3492
C_D_C0042963 (Vomiting),P,0.1545,0.0952
C_D_C0043144 (Wheezing),M,0.8522,0.6508
C_D_C0043144 (Wheezing),N,0.099,0.0794
C_D_C0043144 (Wheezing),P,0.0487,0.2698
C_D_C0085393 (Immunocompromised Host),M,0.9928,0.873
C_D_C0085393 (Immunocompromised Host),N,0.0029,0.0317
C_D_C0085393 (Immunocompromised Host),P,0.0043,0.0952
C_D_C0085593 (Chills),M,0.6268,0.5556
C_D_C0085593 (Chills),N,0.1275,0.0952
C_D_C0085593 (Chills),P,0.2457,0.3492
C_D_C0085639 (Falls),M,0.906,0.9524
C_D_C0085639 (Falls),N,0.0071,0.0159
C_D_C0085639 (Falls),P,0.0868,0.0317
C_D_C0149744 (Oral lesion),M,0.9882,0.9524
C_D_C0149744 (Oral lesion),N,0.0098,0.0317
C_D_C0149744 (Oral lesion),P,0.002,0.0159
C_D_C0150055 (Chronic pain),M,0.9787,0.9683
C_D_C0150055 (Chronic pain),N,0.0003,0.0159
C_D_C0150055 (Chronic pain),P,0.021,0.0159
C_D_C0150312 (Present),M,0.7674,0.6349
C_D_C0150312 (Present),N,0.0059,0.0317
C_D_C0150312 (Present),P,0.2266,0.3333
C_D_C0150618 (History and physical examination),M,0.7589,0.6032
C_D_C0150618 (History and physical examination),N,0.0003,0.0159
C_D_C0150618 (History and physical examination),P,0.2408,0.381
C_D_C0150872 (chest findings),M,0.9996,0.9683
C_D_C0150872 (chest findings),N,0,0.0159
C_D_C0150872 (chest findings),P,0.0003,0.0159
C_D_C0151315 (Neck stiffness),M,0.9853,0.9683
C_D_C0151315 (Neck stiffness),N,0.0052,0.0159
C_D_C0151315 (Neck stiffness),P,0.0095,0.0159
C_D_C0151602 (Facial swelling (finding)),M,0.9813,0.9683
C_D_C0151602 (Facial swelling (finding)),N,0.0078,0.0159
C_D_C0151602 (Facial swelling (finding)),P,0.0109,0.0159
C_D_C0151827 (Eye pain),M,0.9524,0.873
C_D_C0151827 (Eye pain),N,0.0089,0.0476
C_D_C0151827 (Eye pain),P,0.0387,0.0794
C_D_C0152447 (Urethral discharge),M,0.9919,0.9683
C_D_C0152447 (Urethral discharge),N,0.0065,0.0159
C_D_C0152447 (Urethral discharge),P,0.0017,0.0159
C_D_C0162275 (Ketonuria),M,0.9535,0.9365
C_D_C0162275 (Ketonuria),N,0.0002,0.0159
C_D_C0162275 (Ketonuria),P,0.0464,0.0476
C_D_C0184511 (Improved),M,0.9597,0.9048
C_D_C0184511 (Improved),N,0.0008,0.0159
C_D_C0184511 (Improved),P,0.0395,0.0794
C_D_C0205160 (Negative),M,0.1379,0.3175
C_D_C0205160 (Negative),N,0.0061,0.0159
C_D_C0205160 (Negative),P,0.856,0.6667
C_D_C0205161 (Abnormal),M,0.9507,0.8254
C_D_C0205161 (Abnormal),N,0.0097,0.0159
C_D_C0205161 (Abnormal),P,0.0396,0.1587
C_D_C0220870 (Lightheadedness),M,0.9333,0.9048
C_D_C0220870 (Lightheadedness),N,0.0125,0.0317
C_D_C0220870 (Lightheadedness),P,0.0543,0.0635
C_D_C0221198 (Lesion),M,0.8803,0.8413
C_D_C0221198 (Lesion),N,0.0474,0.127
C_D_C0221198 (Lesion),P,0.0724,0.0317
C_D_C0221423 (Illness (finding)),M,0.8863,0.7143
C_D_C0221423 (Illness (finding)),N,0.022,0.0476
C_D_C0221423 (Illness (finding)),P,0.0917,0.2381
C_D_C0221785 (Pain in wrist),M,0.9896,0.9683
C_D_C0221785 (Pain in wrist),N,0.0005,0.0159
C_D_C0221785 (Pain in wrist),P,0.0099,0.0159
C_D_C0227791 (Vaginal Discharge),M,0.9703,0.9683
C_D_C0227791 (Vaginal Discharge),N,0.0104,0.0159
C_D_C0227791 (Vaginal Discharge),P,0.0192,0.0159
C_D_C0231217 (Multiple symptoms),M,0.9811,0.9206
C_D_C0231217 (Multiple symptoms),N,0,0.0159
C_D_C0231217 (Multiple symptoms),P,0.0188,0.0635
C_D_C0231218 (Malaise),M,0.9463,0.7778
C_D_C0231218 (Malaise),N,0.0134,0.0317
C_D_C0231218 (Malaise),P,0.0403,0.1905
C_D_C0231221 (Asymptomatic),M,0.9718,0.9683
C_D_C0231221 (Asymptomatic),N,0.0003,0.0159
C_D_C0231221 (Asymptomatic),P,0.0279,0.0159
C_D_C0231528 (Myalgia),M,0.9132,0.8254
C_D_C0231528 (Myalgia),N,0.0494,0.1111
C_D_C0231528 (Myalgia),P,0.0374,0.0635
C_D_C0231589 (Limitation of joint movement),M,0.9885,0.9683
C_D_C0231589 (Limitation of joint movement),N,0.0002,0.0159
C_D_C0231589 (Limitation of joint movement),P,0.0113,0.0159
C_D_C0231627 (Step-off),M,0.9911,0.9683
C_D_C0231627 (Step-off),N,0.0064,0.0159
C_D_C0231627 (Step-off),P,0.0025,0.0159
C_D_C0231683 (Gait normal),M,0.9207,0.9524
C_D_C0231683 (Gait normal),N,0,0.0159
C_D_C0231683 (Gait normal),P,0.0793,0.0317
C_D_C0231749 (Knee pain),M,0.9731,0.9524
C_D_C0231749 (Knee pain),N,0.0014,0.0159
C_D_C0231749 (Knee pain),P,0.0255,0.0317
C_D_C0231835 (Tachypnea),M,0.9757,0.7302
C_D_C0231835 (Tachypnea),N,0.007,0.0159
C_D_C0231835 (Tachypnea),P,0.0173,0.254
C_D_C0231875 (Expiratory wheezing),M,0.9843,0.8571
C_D_C0231875 (Expiratory wheezing),N,0.0002,0.0159
C_D_C0231875 (Expiratory wheezing),P,0.0155,0.127
C_D_C0231898 (Diaphragmatic breathing),M,0.9996,0.9524
C_D_C0231898 (Diaphragmatic breathing),N,0,0.0159
C_D_C0231898 (Diaphragmatic breathing),P,0.0003,0.0317
C_D_C0232202 (Normal sinus rhythm),M,0.914,0.7778
C_D_C0232202 (Normal sinus rhythm),N,0.0002,0.0159
C_D_C0232202 (Normal sinus rhythm),P,0.0857,0.2063
C_D_C0232462 (Decrease in appetite),M,0.9947,0.9524
C_D_C0232462 (Decrease in appetite),N,0.0002,0.0159
C_D_C0232462 (Decrease in appetite),P,0.0051,0.0317
C_D_C0232466 (Feeding difficulties),M,0.9989,0.9683
C_D_C0232466 (Feeding difficulties),N,0.0001,0.0159
C_D_C0232466 (Feeding difficulties),P,0.001,0.0159
C_D_C0232493 (Epigastric pain),M,0.9825,0.9683
C_D_C0232493 (Epigastric pain),N,0.0004,0.0159
C_D_C0232493 (Epigastric pain),P,0.0171,0.0159
C_D_C0232495 (Lower abdominal pain),M,0.9835,0.9683
C_D_C0232495 (Lower abdominal pain),N,0.0013,0.0159
C_D_C0232495 (Lower abdominal pain),P,0.0152,0.0159
C_D_C0233401 (Psychiatric symptom),M,0.9645,0.9048
C_D_C0233401 (Psychiatric symptom),N,0.0001,0.0159
C_D_C0233401 (Psychiatric symptom),P,0.0354,0.0794
C_D_C0233657 (Flight of ideas),M,0.991,0.9683
C_D_C0233657 (Flight of ideas),N,0.007,0.0159
C_D_C0233657 (Flight of ideas),P,0.002,0.0159
C_D_C0233762 ('Hallucinations  Auditory'),M,0.9902,0.9683
C_D_C0233762 ('Hallucinations  Auditory'),N,0.0069,0.0159
C_D_C0233762 ('Hallucinations  Auditory'),P,0.0029,0.0159
C_D_C0234215 (Sensory Discomfort),M,0.9165,0.9683
C_D_C0234215 (Sensory Discomfort),N,0.0043,0.0159
C_D_C0234215 (Sensory Discomfort),P,0.0793,0.0159
C_D_C0234233 (Sore to touch),M,0.3618,0.381
C_D_C0234233 (Sore to touch),N,0.2839,0.2222
C_D_C0234233 (Sore to touch),P,0.3543,0.3968
C_D_C0234238 (Ache),M,0.987,0.9524
C_D_C0234238 (Ache),N,0.0003,0.0159
C_D_C0234238 (Ache),P,0.0127,0.0317
C_D_C0234254 (Radiating pain),M,0.9843,0.9683
C_D_C0234254 (Radiating pain),N,0.0009,0.0159
C_D_C0234254 (Radiating pain),P,0.0148,0.0159
C_D_C0234422 (Awake),M,0.8608,0.746
C_D_C0234422 (Awake),N,0.0004,0.0159
C_D_C0234422 (Awake),P,0.1388,0.2381
C_D_C0234425 (Level of consciousness),M,0.9579,0.9365
C_D_C0234425 (Level of consciousness),N,0.0223,0.0159
C_D_C0234425 (Level of consciousness),P,0.0198,0.0476
C_D_C0234725 (Hearing normal),M,0.907,0.873
C_D_C0234725 (Hearing normal),N,0,0.0159
C_D_C0234725 (Hearing normal),P,0.093,0.1111
C_D_C0235031 (Neurologic Symptoms),M,0.8649,0.8413
C_D_C0235031 (Neurologic Symptoms),N,0.0038,0.0159
C_D_C0235031 (Neurologic Symptoms),P,0.1313,0.1429
C_D_C0235634 (Renal angle tenderness),M,0.9446,0.9524
C_D_C0235634 (Renal angle tenderness),N,0.0416,0.0159
C_D_C0235634 (Renal angle tenderness),P,0.0138,0.0317
C_D_C0235839 (Fever of the newborn),M,0.9997,0.9683
C_D_C0235839 (Fever of the newborn),N,0,0.0159
C_D_C0235839 (Fever of the newborn),P,0.0003,0.0159
C_D_C0237304 (Noisy respiration),M,0.9983,0.9524
C_D_C0237304 (Noisy respiration),N,0.0001,0.0159
C_D_C0237304 (Noisy respiration),P,0.0016,0.0317
C_D_C0238656 (Ankle pain),M,0.9852,0.9683
C_D_C0238656 (Ankle pain),N,0.0005,0.0159
C_D_C0238656 (Ankle pain),P,0.0142,0.0159
C_D_C0238953 (CERVICAL MOTION TENDERNESS),M,0.9918,0.9683
C_D_C0238953 (CERVICAL MOTION TENDERNESS),N,0.0056,0.0159
C_D_C0238953 (CERVICAL MOTION TENDERNESS),P,0.0026,0.0159
C_D_C0239008 (Chest wall tenderness),M,0.9132,0.9206
C_D_C0239008 (Chest wall tenderness),N,0.0771,0.0635
C_D_C0239008 (Chest wall tenderness),P,0.0097,0.0159
C_D_C0239110 (Consciousness clear),M,0.1643,0.2698
C_D_C0239110 (Consciousness clear),N,0.0039,0.0794
C_D_C0239110 (Consciousness clear),P,0.8318,0.6508
C_D_C0239133 (Hacking cough),M,0.9997,0.9524
C_D_C0239133 (Hacking cough),N,0,0.0159
C_D_C0239133 (Hacking cough),P,0.0003,0.0317
C_D_C0239134 (Productive Cough),M,0.9803,0.7778
C_D_C0239134 (Productive Cough),N,0.0016,0.0159
C_D_C0239134 (Productive Cough),P,0.0181,0.2063
C_D_C0239833 (Hand pain),M,0.992,0.9683
C_D_C0239833 (Hand pain),N,0.0003,0.0159
C_D_C0239833 (Hand pain),P,0.0078,0.0159
C_D_C0239998 (Recurrent infections),M,0.9878,0.9524
C_D_C0239998 (Recurrent infections),N,0.0105,0.0159
C_D_C0239998 (Recurrent infections),P,0.0017,0.0317
C_D_C0240417 (muscle mass),M,0.9977,0.9524
C_D_C0240417 (muscle mass),N,0,0.0159
C_D_C0240417 (muscle mass),P,0.0023,0.0317
C_D_C0240859 (Basilar Rales),M,0.8915,0.6825
C_D_C0240859 (Basilar Rales),N,0.0173,0.0635
C_D_C0240859 (Basilar Rales),P,0.0911,0.254
C_D_C0241028 (Sexually active),M,0.9863,0.9683
C_D_C0241028 (Sexually active),N,0.0009,0.0159
C_D_C0241028 (Sexually active),P,0.0128,0.0159
C_D_C0241136 (Pain of skin),M,0.9768,0.9048
C_D_C0241136 (Pain of skin),N,0,0.0159
C_D_C0241136 (Pain of skin),P,0.0232,0.0794
C_D_C0241889 (Family history),M,0.5844,0.5556
C_D_C0241889 (Family history),N,0.061,0.0952
C_D_C0241889 (Family history),P,0.3546,0.3492
C_D_C0242429 (Sore Throat),M,0.8223,0.7302
C_D_C0242429 (Sore Throat),N,0.0942,0.127
C_D_C0242429 (Sore Throat),P,0.0834,0.1429
C_D_C0260522 (Encounter due to family history of asthma),M,0.9982,0.9683
C_D_C0260522 (Encounter due to family history of asthma),N,0.0005,0.0159
C_D_C0260522 (Encounter due to family history of asthma),P,0.0012,0.0159
C_D_C0262512 (History of present illness),M,0.0602,0.0794
C_D_C0262512 (History of present illness),N,0.008,0.0317
C_D_C0262512 (History of present illness),P,0.9319,0.8889
C_D_C0262926 (Medical History),M,0.065,0.0794
C_D_C0262926 (Medical History),N,0.0243,0.0159
C_D_C0262926 (Medical History),P,0.9107,0.9048
C_D_C0277799 (Intermittent fever (finding)),M,0.9989,0.9683
C_D_C0277799 (Intermittent fever (finding)),N,0.0001,0.0159
C_D_C0277799 (Intermittent fever (finding)),P,0.0011,0.0159
C_D_C0277873 (Nasal Flaring),M,0.9959,0.9683
C_D_C0277873 (Nasal Flaring),N,0.0018,0.0159
C_D_C0277873 (Nasal Flaring),P,0.0023,0.0159
C_D_C0278005 (Normal bowel sounds),M,0.7433,0.7302
C_D_C0278005 (Normal bowel sounds),N,0,0.0159
C_D_C0278005 (Normal bowel sounds),P,0.2566,0.254
C_D_C0278030 (Color of urine),M,0.9553,0.9365
C_D_C0278030 (Color of urine),N,0,0.0159
C_D_C0278030 (Color of urine),P,0.0447,0.0476
C_D_C0278134 (Absence of sensation),M,0.9648,0.9683
C_D_C0278134 (Absence of sensation),N,0.0008,0.0159
C_D_C0278134 (Absence of sensation),P,0.0344,0.0159
C_D_C0278140 (Severe pain),M,0.9835,0.9683
C_D_C0278140 (Severe pain),N,0.0008,0.0159
C_D_C0278140 (Severe pain),P,0.0157,0.0159
C_D_C0302133 (Mottling),M,0.9989,0.9683
C_D_C0302133 (Mottling),N,0.0003,0.0159
C_D_C0302133 (Mottling),P,0.0008,0.0159
C_D_C0302844 (MCV - low),M,0.9958,0.9683
C_D_C0302844 (MCV - low),N,0,0.0159
C_D_C0302844 (MCV - low),P,0.0042,0.0159
C_D_C0311392 (Physical findings),M,0.7768,0.7302
C_D_C0311392 (Physical findings),N,0.1019,0.127
C_D_C0311392 (Physical findings),P,0.1212,0.1429
C_D_C0332119 (Past history of),M,0.4539,0.2698
C_D_C0332119 (Past history of),N,0.0737,0.0794
C_D_C0332119 (Past history of),P,0.4724,0.6508
C_D_C0332167 (High risk of),M,0.9955,0.9524
C_D_C0332167 (High risk of),N,0.0005,0.0159
C_D_C0332167 (High risk of),P,0.004,0.0317
C_D_C0332516 (Symmetrical),M,0.6762,0.746
C_D_C0332516 (Symmetrical),N,0.0002,0.0159
C_D_C0332516 (Symmetrical),P,0.3237,0.2381
C_D_C0332523 (Retraction (finding)),M,0.8676,0.8095
C_D_C0332523 (Retraction (finding)),N,0.1179,0.0635
C_D_C0332523 (Retraction (finding)),P,0.0145,0.127
C_D_C0332563 (Papule),M,0.9897,0.9683
C_D_C0332563 (Papule),N,0.0002,0.0159
C_D_C0332563 (Papule),P,0.0101,0.0159
C_D_C0332575 (Redness),M,0.8872,0.9206
C_D_C0332575 (Redness),N,0.0308,0.0159
C_D_C0332575 (Redness),P,0.082,0.0635
C_D_C0333274 (Purulent discharge),M,0.9906,0.9524
C_D_C0333274 (Purulent discharge),N,0.0044,0.0317
C_D_C0333274 (Purulent discharge),P,0.005,0.0159
C_D_C0333942 (Polychromatophilic stain reaction),M,0.9991,0.9206
C_D_C0333942 (Polychromatophilic stain reaction),N,0,0.0159
C_D_C0333942 (Polychromatophilic stain reaction),P,0.0009,0.0635
C_D_C0342593 (Reduced anion gap),M,0.9975,0.9683
C_D_C0342593 (Reduced anion gap),N,0,0.0159
C_D_C0342593 (Reduced anion gap),P,0.0025,0.0159
C_D_C0344232 (Blurred vision),M,0.9457,0.9048
C_D_C0344232 (Blurred vision),N,0.0295,0.0635
C_D_C0344232 (Blurred vision),P,0.0248,0.0317
C_D_C0347530 (Base deficit (finding)),M,0.9927,0.9206
C_D_C0347530 (Base deficit (finding)),N,0,0.0159
C_D_C0347530 (Base deficit (finding)),P,0.0073,0.0635
C_D_C0349790 (Exacerbation of asthma),M,0.9859,0.9524
C_D_C0349790 (Exacerbation of asthma),N,0.0003,0.0159
C_D_C0349790 (Exacerbation of asthma),P,0.0138,0.0317
C_D_C0392171 (Influenza-like symptoms),M,0.9991,0.9524
C_D_C0392171 (Influenza-like symptoms),N,0,0.0159
C_D_C0392171 (Influenza-like symptoms),P,0.0009,0.0317
C_D_C0423640 (Right Flank Pain),M,0.9925,0.9683
C_D_C0423640 (Right Flank Pain),N,0,0.0159
C_D_C0423640 (Right Flank Pain),P,0.0075,0.0159
C_D_C0424000 (Feeling suicidal (finding)),M,0.9722,0.9683
C_D_C0424000 (Feeling suicidal (finding)),N,0.0091,0.0159
C_D_C0424000 (Feeling suicidal (finding)),P,0.0186,0.0159
C_D_C0424480 (Facial symmetry),M,0.8569,0.7937
C_D_C0424480 (Facial symmetry),N,0,0.0159
C_D_C0424480 (Facial symmetry),P,0.1431,0.1905
C_D_C0424489 (Chapping of lips),M,0.9994,0.9683
C_D_C0424489 (Chapping of lips),N,0,0.0159
C_D_C0424489 (Chapping of lips),P,0.0005,0.0159
C_D_C0424589 (Vitality),M,0.9966,0.9683
C_D_C0424589 (Vitality),N,0.0003,0.0159
C_D_C0424589 (Vitality),P,0.0031,0.0159
C_D_C0424755 (Fever symptoms (finding)),M,0.5591,0.381
C_D_C0424755 (Fever symptoms (finding)),N,0.3125,0.2857
