Feature (description),Attribute,F,T
C_D_C0021294 ('Infant  Premature'),N,0.0003,0.0001
C_D_C0021294 ('Infant  Premature'),P,0.0011,0.0001
C_D_C0022346 (Icterus),M,0.8765,0.7463
C_D_C0022346 (Icterus),N,0.0221,0.0425
C_D_C0022346 (Icterus),P,0.1013,0.2112
C_D_C0023222 (Pain in lower limb),M,0.9911,0.9723
C_D_C0023222 (Pain in lower limb),N,0.0026,0.0079
C_D_C0023222 (Pain in lower limb),P,0.0063,0.0198
C_D_C0024031 (Low Back Pain),M,0.9961,0.9705
C_D_C0024031 (Low Back Pain),N,0.0003,0.0005
C_D_C0024031 (Low Back Pain),P,0.0037,0.029
C_D_C0025287 (Meningism),M,0.9816,0.9831
C_D_C0025287 (Meningism),N,0.0168,0.016
C_D_C0025287 (Meningism),P,0.0016,0.0009
C_D_C0026821 (Muscle Cramp),M,0.9961,0.9796
C_D_C0026821 (Muscle Cramp),N,0.0003,0.0018
C_D_C0026821 (Muscle Cramp),P,0.0037,0.0187
C_D_C0027424 (Nasal congestion (finding)),M,0.8921,0.8923
C_D_C0027424 (Nasal congestion (finding)),N,0.035,0.094
C_D_C0027424 (Nasal congestion (finding)),P,0.0729,0.0136
C_D_C0027497 (Nausea),M,0.7997,0.6246
C_D_C0027497 (Nausea),N,0.0866,0.1797
C_D_C0027497 (Nausea),P,0.1137,0.1957
C_D_C0028643 (Numbness),M,0.9029,0.7157
C_D_C0028643 (Numbness),N,0.0763,0.1908
C_D_C0028643 (Numbness),P,0.0208,0.0936
C_D_C0029053 (Decreased translucency),M,0.9653,0.9895
C_D_C0029053 (Decreased translucency),N,0.0008,0.0002
C_D_C0029053 (Decreased translucency),P,0.034,0.0103
C_D_C0030193 (Pain),M,0.9076,0.5931
C_D_C0030193 (Pain),N,0.0182,0.0785
C_D_C0030193 (Pain),P,0.0742,0.3284
C_D_C0030232 (Pallor),M,0.9839,0.968
C_D_C0030232 (Pallor),N,0.0113,0.0165
C_D_C0030232 (Pallor),P,0.0047,0.0155
C_D_C0030252 (Palpitations),M,0.8968,0.7578
C_D_C0030252 (Palpitations),N,0.0561,0.1285
C_D_C0030252 (Palpitations),P,0.0471,0.1137
C_D_C0030544 (PARENTAL CONCERNS),M,0.9992,0.9999
C_D_C0030544 (PARENTAL CONCERNS),N,0.0003,0
C_D_C0030544 (PARENTAL CONCERNS),P,0.0005,0
C_D_C0030794 (Pelvic Pain),M,0.9984,0.9905
C_D_C0030794 (Pelvic Pain),N,0.0003,0.002
C_D_C0030794 (Pelvic Pain),P,0.0013,0.0075
C_D_C0032617 (Polyuria),M,0.9589,0.9117
C_D_C0032617 (Polyuria),N,0.0371,0.0844
C_D_C0032617 (Polyuria),P,0.0039,0.0039
C_D_C0033213 (Problem),M,0.9834,0.9383
C_D_C0033213 (Problem),N,0.0037,0.0092
C_D_C0033213 (Problem),P,0.0129,0.0524
C_D_C0033774 (Pruritus),M,0.9774,0.9302
C_D_C0033774 (Pruritus),N,0.0079,0.0305
C_D_C0033774 (Pruritus),P,0.0147,0.0393
C_D_C0036396 (Sciatica),M,0.9987,0.99
C_D_C0036396 (Sciatica),N,0.0003,0.0001
C_D_C0036396 (Sciatica),P,0.0011,0.0099
C_D_C0036572 (Seizures),M,0.9829,0.9476
C_D_C0036572 (Seizures),N,0.0026,0.0103
C_D_C0036572 (Seizures),P,0.0145,0.0421
C_D_C0037011 (Shoulder Pain),M,0.9979,0.988
C_D_C0037011 (Shoulder Pain),N,0.0003,0.0002
C_D_C0037011 (Shoulder Pain),P,0.0018,0.0119
C_D_C0037088 (Signs and Symptoms),M,0.9842,0.9669
C_D_C0037088 (Signs and Symptoms),N,0.0005,0.002
C_D_C0037088 (Signs and Symptoms),P,0.0153,0.0311
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.9755,0.9946
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0011,0.0009
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.0234,0.0045
C_D_C0037763 (Spasm),M,0.9974,0.9814
C_D_C0037763 (Spasm),N,0.0005,0.0011
C_D_C0037763 (Spasm),P,0.0021,0.0174
C_D_C0038435 (Stress),M,0.9966,0.9878
C_D_C0038435 (Stress),N,0.0003,0.0003
C_D_C0038435 (Stress),P,0.0032,0.0119
C_D_C0038990 (Sweating),M,0.9729,0.9395
C_D_C0038990 (Sweating),N,0.0197,0.051
C_D_C0038990 (Sweating),P,0.0074,0.0095
C_D_C0038999 (Swelling),M,0.9921,0.9723
C_D_C0038999 (Swelling),N,0.0024,0.004
C_D_C0038999 (Swelling),P,0.0055,0.0237
C_D_C0039070 (Syncope),M,0.9642,0.9321
C_D_C0039070 (Syncope),N,0.0118,0.0308
C_D_C0039070 (Syncope),P,0.024,0.0371
C_D_C0039231 (Tachycardia),M,0.926,0.9467
C_D_C0039231 (Tachycardia),N,0.0074,0.0152
C_D_C0039231 (Tachycardia),P,0.0666,0.038
C_D_C0039591 (Pain in testicle),M,0.9989,0.9931
C_D_C0039591 (Pain in testicle),N,0.0005,0.0022
C_D_C0039591 (Pain in testicle),P,0.0005,0.0047
C_D_C0040460 (Toothache),M,0.9987,0.9843
C_D_C0040460 (Toothache),N,0.0003,0.0006
C_D_C0040460 (Toothache),P,0.0011,0.015
C_D_C0041657 (Unconscious State),M,0.9976,0.9558
C_D_C0041657 (Unconscious State),N,0.0018,0.0206
C_D_C0041657 (Unconscious State),P,0.0005,0.0236
C_D_C0042023 (Increased frequency of micturition),M,0.9703,0.931
C_D_C0042023 (Increased frequency of micturition),N,0.0132,0.041
C_D_C0042023 (Increased frequency of micturition),P,0.0166,0.028
C_D_C0042571 (Vertigo),M,0.9653,0.8955
C_D_C0042571 (Vertigo),N,0.0058,0.0192
C_D_C0042571 (Vertigo),P,0.029,0.0853
C_D_C0042963 (Vomiting),M,0.8039,0.6625
C_D_C0042963 (Vomiting),N,0.1221,0.2334
C_D_C0042963 (Vomiting),P,0.074,0.1041
C_D_C0043144 (Wheezing),M,0.8689,0.8908
C_D_C0043144 (Wheezing),N,0.0629,0.0734
C_D_C0043144 (Wheezing),P,0.0682,0.0358
C_D_C0080274 (Urinary Retention),M,0.9982,0.9864
C_D_C0080274 (Urinary Retention),N,0.0003,0.002
C_D_C0080274 (Urinary Retention),P,0.0016,0.0116
C_D_C0085393 (Immunocompromised Host),M,0.99,0.9905
C_D_C0085393 (Immunocompromised Host),N,0.0034,0.0067
C_D_C0085393 (Immunocompromised Host),P,0.0066,0.0028
C_D_C0085593 (Chills),M,0.7989,0.6066
C_D_C0085593 (Chills),N,0.0526,0.1616
C_D_C0085593 (Chills),P,0.1485,0.2318
C_D_C0085602 (Polydipsia),M,0.9684,0.9209
C_D_C0085602 (Polydipsia),N,0.0058,0.03
C_D_C0085602 (Polydipsia),P,0.0258,0.0491
C_D_C0085631 (Agitation),M,0.9921,0.9733
C_D_C0085631 (Agitation),N,0.0003,0.0005
C_D_C0085631 (Agitation),P,0.0076,0.0262
C_D_C0085639 (Falls),M,0.9858,0.9236
C_D_C0085639 (Falls),N,0.0026,0.0072
C_D_C0085639 (Falls),P,0.0116,0.0692
C_D_C0087130 (Uncertainty),M,0.9855,0.9521
C_D_C0087130 (Uncertainty),N,0.0003,0.0002
C_D_C0087130 (Uncertainty),P,0.0142,0.0476
C_D_C0087136 (Unmarried),M,0.9924,0.9807
C_D_C0087136 (Unmarried),N,0.0003,0.0003
C_D_C0087136 (Unmarried),P,0.0074,0.019
C_D_C0149744 (Oral lesion),M,0.9971,0.997
C_D_C0149744 (Oral lesion),N,0.0013,0.0021
C_D_C0149744 (Oral lesion),P,0.0016,0.0008
C_D_C0150055 (Chronic pain),M,0.9942,0.9832
C_D_C0150055 (Chronic pain),N,0.0003,0.0005
C_D_C0150055 (Chronic pain),P,0.0055,0.0163
C_D_C0150312 (Present),M,0.9334,0.8726
C_D_C0150312 (Present),N,0.0011,0.0025
C_D_C0150312 (Present),P,0.0655,0.1248
C_D_C0150618 (History and physical examination),M,0.8947,0.7835
C_D_C0150618 (History and physical examination),N,0.0005,0.0001
C_D_C0150618 (History and physical examination),P,0.1048,0.2164
C_D_C0151315 (Neck stiffness),M,0.9842,0.9904
C_D_C0151315 (Neck stiffness),N,0.0076,0.0034
C_D_C0151315 (Neck stiffness),P,0.0082,0.0061
C_D_C0151602 (Facial swelling (finding)),M,0.9961,0.984
C_D_C0151602 (Facial swelling (finding)),N,0.0024,0.0065
C_D_C0151602 (Facial swelling (finding)),P,0.0016,0.0095
C_D_C0151827 (Eye pain),M,0.9431,0.8686
C_D_C0151827 (Eye pain),N,0.0137,0.0416
C_D_C0151827 (Eye pain),P,0.0432,0.0898
C_D_C0151908 (Dry skin),M,0.7233,0.4804
C_D_C0151908 (Dry skin),N,0.0003,0.0007
C_D_C0151908 (Dry skin),P,0.2764,0.519
C_D_C0152029 (Congestion of nasal sinus),M,0.9905,0.9889
C_D_C0152029 (Congestion of nasal sinus),N,0.0011,0.0077
C_D_C0152029 (Congestion of nasal sinus),P,0.0084,0.0034
C_D_C0152169 (Renal Colic),M,0.9995,0.9944
C_D_C0152169 (Renal Colic),N,0.0003,0.0003
C_D_C0152169 (Renal Colic),P,0.0003,0.0053
C_D_C0152447 (Urethral discharge),M,0.9984,0.984
C_D_C0152447 (Urethral discharge),N,0.0008,0.0143
C_D_C0152447 (Urethral discharge),P,0.0008,0.0017
C_D_C0162275 (Ketonuria),M,0.9871,0.9661
C_D_C0162275 (Ketonuria),N,0.0003,0.0002
C_D_C0162275 (Ketonuria),P,0.0126,0.0337
C_D_C0205082 (Severe (severity modifier)),M,0.9579,0.9073
C_D_C0205082 (Severe (severity modifier)),N,0.0076,0.0061
C_D_C0205082 (Severe (severity modifier)),P,0.0345,0.0866
C_D_C0205160 (Negative),M,0.7126,0.4367
C_D_C0205160 (Negative),N,0.0016,0.0036
C_D_C0205160 (Negative),P,0.2859,0.5597
C_D_C0205161 (Abnormal),M,0.9808,0.9704
C_D_C0205161 (Abnormal),N,0.0074,0.0128
C_D_C0205161 (Abnormal),P,0.0118,0.0168
C_D_C0220870 (Lightheadedness),M,0.9716,0.9196
C_D_C0220870 (Lightheadedness),N,0.0076,0.0137
C_D_C0220870 (Lightheadedness),P,0.0208,0.0667
C_D_C0221198 (Lesion),M,0.9352,0.8609
C_D_C0221198 (Lesion),N,0.0421,0.0814
C_D_C0221198 (Lesion),P,0.0226,0.0577
C_D_C0221423 (Illness (finding)),M,0.8673,0.9403
C_D_C0221423 (Illness (finding)),N,0.0168,0.0064
C_D_C0221423 (Illness (finding)),P,0.1158,0.0533
C_D_C0221628 (History of alcohol abuse),M,0.9987,0.9909
C_D_C0221628 (History of alcohol abuse),N,0.0005,0
C_D_C0221628 (History of alcohol abuse),P,0.0008,0.009
C_D_C0221785 (Pain in wrist),M,0.9995,0.9924
C_D_C0221785 (Pain in wrist),N,0.0003,0.0003
C_D_C0221785 (Pain in wrist),P,0.0003,0.0073
C_D_C0227791 (Vaginal Discharge),M,0.9942,0.9797
C_D_C0227791 (Vaginal Discharge),N,0.0021,0.0067
C_D_C0227791 (Vaginal Discharge),P,0.0037,0.0136
C_D_C0231218 (Malaise),M,0.9171,0.9585
C_D_C0231218 (Malaise),N,0.0055,0.0116
C_D_C0231218 (Malaise),P,0.0774,0.0299
C_D_C0231221 (Asymptomatic),M,0.9932,0.9739
C_D_C0231221 (Asymptomatic),N,0.0003,0.0002
C_D_C0231221 (Asymptomatic),P,0.0066,0.0259
C_D_C0231528 (Myalgia),M,0.861,0.8743
C_D_C0231528 (Myalgia),N,0.0263,0.0907
C_D_C0231528 (Myalgia),P,0.1127,0.035
C_D_C0231589 (Limitation of joint movement),M,0.9987,0.9886
C_D_C0231589 (Limitation of joint movement),N,0.0003,0.0002
C_D_C0231589 (Limitation of joint movement),P,0.0011,0.0111
C_D_C0231627 (Step-off),M,0.9992,0.9935
C_D_C0231627 (Step-off),N,0.0005,0.0045
C_D_C0231627 (Step-off),P,0.0003,0.002
C_D_C0231683 (Gait normal),M,0.976,0.9293
C_D_C0231683 (Gait normal),N,0.0003,0
C_D_C0231683 (Gait normal),P,0.0237,0.0707
C_D_C0231749 (Knee pain),M,0.9958,0.9766
C_D_C0231749 (Knee pain),N,0.0003,0.0011
C_D_C0231749 (Knee pain),P,0.0039,0.0222
C_D_C0231835 (Tachypnea),M,0.9555,0.9846
C_D_C0231835 (Tachypnea),N,0.0066,0.0046
C_D_C0231835 (Tachypnea),P,0.0379,0.0108
C_D_C0231875 (Expiratory wheezing),M,0.9687,0.9862
C_D_C0231875 (Expiratory wheezing),N,0.0013,0.0001
C_D_C0231875 (Expiratory wheezing),P,0.03,0.0137
C_D_C0231898 (Diaphragmatic breathing),M,0.9992,0.9998
C_D_C0231898 (Diaphragmatic breathing),N,0.0003,0
C_D_C0231898 (Diaphragmatic breathing),P,0.0005,0.0001
C_D_C0232201 (Sinus rhythm),M,0.9776,0.959
C_D_C0232201 (Sinus rhythm),N,0.0003,0.0002
C_D_C0232201 (Sinus rhythm),P,0.0221,0.0408
C_D_C0232202 (Normal sinus rhythm),M,0.9487,0.906
C_D_C0232202 (Normal sinus rhythm),N,0.0003,0.0001
C_D_C0232202 (Normal sinus rhythm),P,0.0511,0.0939
C_D_C0232462 (Decrease in appetite),M,0.9916,0.9974
C_D_C0232462 (Decrease in appetite),N,0.0003,0.0001
C_D_C0232462 (Decrease in appetite),P,0.0082,0.0025
C_D_C0232466 (Feeding difficulties),M,0.9995,0.9999
C_D_C0232466 (Feeding difficulties),N,0.0003,0
C_D_C0232466 (Feeding difficulties),P,0.0003,0
C_D_C0232493 (Epigastric pain),M,0.9968,0.9868
C_D_C0232493 (Epigastric pain),N,0.0003,0.0003
C_D_C0232493 (Epigastric pain),P,0.0029,0.0129
C_D_C0232495 (Lower abdominal pain),M,0.9987,0.9865
C_D_C0232495 (Lower abdominal pain),N,0.0003,0.0008
C_D_C0232495 (Lower abdominal pain),P,0.0011,0.0128
C_D_C0232498 (Abdominal tenderness),M,0.9937,0.9817
C_D_C0232498 (Abdominal tenderness),N,0.0018,0.0037
C_D_C0232498 (Abdominal tenderness),P,0.0045,0.0146
C_D_C0232693 (Bowel sounds),M,0.9784,0.9518
C_D_C0232693 (Bowel sounds),N,0.0003,0
C_D_C0232693 (Bowel sounds),P,0.0213,0.0481
C_D_C0233536 (Overlying behavior),M,0.9979,0.9882
C_D_C0233536 (Overlying behavior),N,0.0008,0.0048
C_D_C0233536 (Overlying behavior),P,0.0013,0.007
C_D_C0233657 (Flight of ideas),M,0.9995,0.9932
C_D_C0233657 (Flight of ideas),N,0.0003,0.0051
C_D_C0233657 (Flight of ideas),P,0.0003,0.0016
C_D_C0233762 ('Hallucinations  Auditory'),M,0.9995,0.9923
C_D_C0233762 ('Hallucinations  Auditory'),N,0.0003,0.0051
C_D_C0233762 ('Hallucinations  Auditory'),P,0.0003,0.0026
C_D_C0233763 ('Hallucinations  Visual'),M,0.9992,0.9922
C_D_C0233763 ('Hallucinations  Visual'),N,0.0003,0.0052
C_D_C0233763 ('Hallucinations  Visual'),P,0.0005,0.0026
C_D_C0234162 (Cerebellar Dysmetria),M,0.9979,0.9884
C_D_C0234162 (Cerebellar Dysmetria),N,0.0018,0.0109
C_D_C0234162 (Cerebellar Dysmetria),P,0.0003,0.0007
C_D_C0234215 (Sensory Discomfort),M,0.9813,0.9326
C_D_C0234215 (Sensory Discomfort),N,0.0018,0.0023
C_D_C0234215 (Sensory Discomfort),P,0.0168,0.0651
C_D_C0234233 (Sore to touch),M,0.7942,0.5312
C_D_C0234233 (Sore to touch),N,0.0832,0.1473
C_D_C0234233 (Sore to touch),P,0.1227,0.3215
C_D_C0234238 (Ache),M,0.9245,0.986
C_D_C0234238 (Ache),N,0.0005,0.0003
C_D_C0234238 (Ache),P,0.075,0.0137
C_D_C0234254 (Radiating pain),M,0.9979,0.9854
C_D_C0234254 (Radiating pain),N,0.0003,0.001
C_D_C0234254 (Radiating pain),P,0.0018,0.0136
C_D_C0234422 (Awake),M,0.9166,0.8466
C_D_C0234422 (Awake),N,0.0003,0.0005
C_D_C0234422 (Awake),P,0.0832,0.153
C_D_C0234425 (Level of consciousness),M,0.9979,0.9823
C_D_C0234425 (Level of consciousness),N,0.0005,0.0063
C_D_C0234425 (Level of consciousness),P,0.0016,0.0114
C_D_C0234725 (Hearing normal),M,0.9474,0.8894
C_D_C0234725 (Hearing normal),N,0.0003,0
C_D_C0234725 (Hearing normal),P,0.0524,0.1105
C_D_C0235031 (Neurologic Symptoms),M,0.9934,0.9854
C_D_C0235031 (Neurologic Symptoms),N,0.0003,0.0022
C_D_C0235031 (Neurologic Symptoms),P,0.0063,0.0124
C_D_C0235634 (Renal angle tenderness),M,0.9792,0.9535
C_D_C0235634 (Renal angle tenderness),N,0.0179,0.0371
C_D_C0235634 (Renal angle tenderness),P,0.0029,0.0094
C_D_C0238656 (Ankle pain),M,0.9987,0.9882
C_D_C0238656 (Ankle pain),N,0.0003,0.0006
C_D_C0238656 (Ankle pain),P,0.0011,0.0112
C_D_C0239008 (Chest wall tenderness),M,0.9639,0.9276
C_D_C0239008 (Chest wall tenderness),N,0.0329,0.0617
C_D_C0239008 (Chest wall tenderness),P,0.0032,0.0107
C_D_C0239110 (Consciousness clear),M,0.6786,0.3322
C_D_C0239110 (Consciousness clear),N,0.0029,0.0044
C_D_C0239110 (Consciousness clear),P,0.3185,0.6634
C_D_C0239133 (Hacking cough),M,0.9942,0.9998
C_D_C0239133 (Hacking cough),N,0.0003,0
C_D_C0239133 (Hacking cough),P,0.0055,0.0002
C_D_C0239134 (Productive Cough),M,0.9334,0.9776
C_D_C0239134 (Productive Cough),N,0.0026,0.0013
C_D_C0239134 (Productive Cough),P,0.064,0.0211
C_D_C0239266 (Pain in elbow),M,0.9995,0.9948
C_D_C0239266 (Pain in elbow),N,0.0003,0.0003
C_D_C0239266 (Pain in elbow),P,0.0003,0.0049
C_D_C0239377 (Arm Pain),M,0.9982,0.9859
C_D_C0239377 (Arm Pain),N,0.0003,0.0044
C_D_C0239377 (Arm Pain),P,0.0016,0.0097
C_D_C0239574 (Low grade fever),M,0.9876,0.9975
C_D_C0239574 (Low grade fever),N,0.0003,0.0001
C_D_C0239574 (Low grade fever),P,0.0121,0.0024
C_D_C0239833 (Hand pain),M,0.9989,0.9922
C_D_C0239833 (Hand pain),N,0.0003,0.0003
C_D_C0239833 (Hand pain),P,0.0008,0.0075
C_D_C0239998 (Recurrent infections),M,0.995,0.9786
C_D_C0239998 (Recurrent infections),N,0.0039,0.0207
C_D_C0239998 (Recurrent infections),P,0.0011,0.0007
C_D_C0241028 (Sexually active),M,0.9982,0.9896
C_D_C0241028 (Sexually active),N,0.0003,0.0006
C_D_C0241028 (Sexually active),P,0.0016,0.0098
C_D_C0241164 (Skin tenderness),M,0.9976,0.9897
C_D_C0241164 (Skin tenderness),N,0.0011,0.0001
C_D_C0241164 (Skin tenderness),P,0.0013,0.0102
C_D_C0241889 (Family history),M,0.9129,0.8641
C_D_C0241889 (Family history),N,0.0063,0.0042
C_D_C0241889 (Family history),P,0.0808,0.1317
C_D_C0242429 (Sore Throat),M,0.8215,0.7639
C_D_C0242429 (Sore Throat),N,0.0684,0.1293
C_D_C0242429 (Sore Throat),P,0.11,0.1068
C_D_C0262512 (History of present illness),M,0.6639,0.3099
C_D_C0262512 (History of present illness),N,0.0018,0.0097
C_D_C0262512 (History of present illness),P,0.3343,0.6804
C_D_C0262926 (Medical History),M,0.6662,0.3141
C_D_C0262926 (Medical History),N,0.0108,0.0245
C_D_C0262926 (Medical History),P,0.323,0.6614
C_D_C0277786 (Chief complaint (finding)),M,0.672,0.3278
C_D_C0277786 (Chief complaint (finding)),N,0.0021,0.0048
C_D_C0277786 (Chief complaint (finding)),P,0.3259,0.6674
C_D_C0277797 (Apyrexial),M,0.9402,0.89
C_D_C0277797 (Apyrexial),N,0.0003,0.0004
C_D_C0277797 (Apyrexial),P,0.0595,0.1096
C_D_C0277873 (Nasal Flaring),M,0.9968,0.9993
C_D_C0277873 (Nasal Flaring),N,0.0018,0.0005
C_D_C0277873 (Nasal Flaring),P,0.0013,0.0002
C_D_C0277898 (Normal pulse),M,0.9995,0.9944
C_D_C0277898 (Normal pulse),N,0.0003,0.0001
C_D_C0277898 (Normal pulse),P,0.0003,0.0055
C_D_C0278005 (Normal bowel sounds),M,0.9276,0.8672
C_D_C0278005 (Normal bowel sounds),N,0.0003,0.0001
C_D_C0278005 (Normal bowel sounds),P,0.0721,0.1327
C_D_C0278030 (Color of urine),M,0.9871,0.9667
C_D_C0278030 (Color of urine),N,0.0003,0.0001
C_D_C0278030 (Color of urine),P,0.0126,0.0332
C_D_C0278060 (Mental state),M,0.9837,0.9589
C_D_C0278060 (Mental state),N,0.0003,0.0006
C_D_C0278060 (Mental state),P,0.0161,0.0405
C_D_C0278134 (Absence of sensation),M,0.9982,0.9804
