Feature (description),Attribute,M,T
C_D_C0022346 (Icterus),M,0.7463,0.6959
C_D_C0022346 (Icterus),N,0.0425,0.0526
C_D_C0022346 (Icterus),P,0.2112,0.2515
C_D_C0023222 (Pain in lower limb),M,0.9723,0.9532
C_D_C0023222 (Pain in lower limb),N,0.0079,0.0175
C_D_C0023222 (Pain in lower limb),P,0.0198,0.0292
C_D_C0024031 (Low Back Pain),M,0.9705,0.9766
C_D_C0024031 (Low Back Pain),N,0.0005,0.0058
C_D_C0024031 (Low Back Pain),P,0.029,0.0175
C_D_C0025287 (Meningism),M,0.9831,0.9649
C_D_C0025287 (Meningism),N,0.016,0.0292
C_D_C0025287 (Meningism),P,0.0009,0.0058
C_D_C0026821 (Muscle Cramp),M,0.9796,0.9825
C_D_C0026821 (Muscle Cramp),N,0.0018,0.0058
C_D_C0026821 (Muscle Cramp),P,0.0187,0.0117
C_D_C0027424 (Nasal congestion (finding)),M,0.8923,0.8655
C_D_C0027424 (Nasal congestion (finding)),N,0.094,0.076
C_D_C0027424 (Nasal congestion (finding)),P,0.0136,0.0585
C_D_C0027497 (Nausea),M,0.6246,0.6257
C_D_C0027497 (Nausea),N,0.1797,0.1637
C_D_C0027497 (Nausea),P,0.1957,0.2105
C_D_C0028643 (Numbness),M,0.7157,0.8129
C_D_C0028643 (Numbness),N,0.1908,0.152
C_D_C0028643 (Numbness),P,0.0936,0.0351
C_D_C0029053 (Decreased translucency),M,0.9895,0.7895
C_D_C0029053 (Decreased translucency),N,0.0002,0.0058
C_D_C0029053 (Decreased translucency),P,0.0103,0.2047
C_D_C0030193 (Pain),M,0.5931,0.7895
C_D_C0030193 (Pain),N,0.0785,0.0468
C_D_C0030193 (Pain),P,0.3284,0.1637
C_D_C0030232 (Pallor),M,0.968,0.9532
C_D_C0030232 (Pallor),N,0.0165,0.0409
C_D_C0030232 (Pallor),P,0.0155,0.0058
C_D_C0030252 (Palpitations),M,0.7578,0.8012
C_D_C0030252 (Palpitations),N,0.1285,0.1228
C_D_C0030252 (Palpitations),P,0.1137,0.076
C_D_C0030544 (PARENTAL CONCERNS),M,0.9999,0.9883
C_D_C0030544 (PARENTAL CONCERNS),N,0,0.0058
C_D_C0030544 (PARENTAL CONCERNS),P,0,0.0058
C_D_C0030794 (Pelvic Pain),M,0.9905,0.9825
C_D_C0030794 (Pelvic Pain),N,0.002,0.0058
C_D_C0030794 (Pelvic Pain),P,0.0075,0.0117
C_D_C0032617 (Polyuria),M,0.9117,0.924
C_D_C0032617 (Polyuria),N,0.0844,0.0585
C_D_C0032617 (Polyuria),P,0.0039,0.0175
C_D_C0033213 (Problem),M,0.9383,0.9591
C_D_C0033213 (Problem),N,0.0092,0.0117
C_D_C0033213 (Problem),P,0.0524,0.0292
C_D_C0033774 (Pruritus),M,0.9302,0.9474
C_D_C0033774 (Pruritus),N,0.0305,0.0175
C_D_C0033774 (Pruritus),P,0.0393,0.0351
C_D_C0036396 (Sciatica),M,0.99,0.9883
C_D_C0036396 (Sciatica),N,0.0001,0.0058
C_D_C0036396 (Sciatica),P,0.0099,0.0058
C_D_C0036572 (Seizures),M,0.9476,0.9357
C_D_C0036572 (Seizures),N,0.0103,0.0058
C_D_C0036572 (Seizures),P,0.0421,0.0585
C_D_C0037011 (Shoulder Pain),M,0.988,0.9883
C_D_C0037011 (Shoulder Pain),N,0.0002,0.0058
C_D_C0037011 (Shoulder Pain),P,0.0119,0.0058
C_D_C0037088 (Signs and Symptoms),M,0.9669,0.9591
C_D_C0037088 (Signs and Symptoms),N,0.002,0.0058
C_D_C0037088 (Signs and Symptoms),P,0.0311,0.0351
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.9946,0.9591
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0009,0.0058
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.0045,0.0351
C_D_C0037763 (Spasm),M,0.9814,0.9825
C_D_C0037763 (Spasm),N,0.0011,0.0117
C_D_C0037763 (Spasm),P,0.0174,0.0058
C_D_C0038435 (Stress),M,0.9878,0.9883
C_D_C0038435 (Stress),N,0.0003,0.0058
C_D_C0038435 (Stress),P,0.0119,0.0058
C_D_C0038990 (Sweating),M,0.9395,0.9532
C_D_C0038990 (Sweating),N,0.051,0.0351
C_D_C0038990 (Sweating),P,0.0095,0.0117
C_D_C0038999 (Swelling),M,0.9723,0.9708
C_D_C0038999 (Swelling),N,0.004,0.0058
C_D_C0038999 (Swelling),P,0.0237,0.0234
C_D_C0039070 (Syncope),M,0.9321,0.883
C_D_C0039070 (Syncope),N,0.0308,0.0409
C_D_C0039070 (Syncope),P,0.0371,0.076
C_D_C0039231 (Tachycardia),M,0.9467,0.8655
C_D_C0039231 (Tachycardia),N,0.0152,0.0351
C_D_C0039231 (Tachycardia),P,0.038,0.0994
C_D_C0039591 (Pain in testicle),M,0.9931,0.9883
C_D_C0039591 (Pain in testicle),N,0.0022,0.0058
C_D_C0039591 (Pain in testicle),P,0.0047,0.0058
C_D_C0040460 (Toothache),M,0.9843,0.9883
C_D_C0040460 (Toothache),N,0.0006,0.0058
C_D_C0040460 (Toothache),P,0.015,0.0058
C_D_C0041657 (Unconscious State),M,0.9558,0.9766
C_D_C0041657 (Unconscious State),N,0.0206,0.0175
C_D_C0041657 (Unconscious State),P,0.0236,0.0058
C_D_C0042023 (Increased frequency of micturition),M,0.931,0.9357
C_D_C0042023 (Increased frequency of micturition),N,0.041,0.0117
C_D_C0042023 (Increased frequency of micturition),P,0.028,0.0526
C_D_C0042571 (Vertigo),M,0.8955,0.8889
C_D_C0042571 (Vertigo),N,0.0192,0.0175
C_D_C0042571 (Vertigo),P,0.0853,0.0936
C_D_C0042963 (Vomiting),M,0.6625,0.6725
C_D_C0042963 (Vomiting),N,0.2334,0.2047
C_D_C0042963 (Vomiting),P,0.1041,0.1228
C_D_C0043144 (Wheezing),M,0.8908,0.7953
C_D_C0043144 (Wheezing),N,0.0734,0.1287
C_D_C0043144 (Wheezing),P,0.0358,0.076
C_D_C0080274 (Urinary Retention),M,0.9864,0.9766
C_D_C0080274 (Urinary Retention),N,0.002,0.0058
C_D_C0080274 (Urinary Retention),P,0.0116,0.0175
C_D_C0085393 (Immunocompromised Host),M,0.9905,0.9883
C_D_C0085393 (Immunocompromised Host),N,0.0067,0.0058
C_D_C0085393 (Immunocompromised Host),P,0.0028,0.0058
C_D_C0085593 (Chills),M,0.6066,0.6257
C_D_C0085593 (Chills),N,0.1616,0.1287
C_D_C0085593 (Chills),P,0.2318,0.2456
C_D_C0085602 (Polydipsia),M,0.9209,0.9532
C_D_C0085602 (Polydipsia),N,0.03,0.0117
C_D_C0085602 (Polydipsia),P,0.0491,0.0351
C_D_C0085631 (Agitation),M,0.9733,0.9708
C_D_C0085631 (Agitation),N,0.0005,0.0058
C_D_C0085631 (Agitation),P,0.0262,0.0234
C_D_C0085639 (Falls),M,0.9236,0.9298
C_D_C0085639 (Falls),N,0.0072,0.0117
C_D_C0085639 (Falls),P,0.0692,0.0585
C_D_C0087130 (Uncertainty),M,0.9521,0.9532
C_D_C0087130 (Uncertainty),N,0.0002,0.0058
C_D_C0087130 (Uncertainty),P,0.0476,0.0409
C_D_C0087136 (Unmarried),M,0.9807,0.9766
C_D_C0087136 (Unmarried),N,0.0003,0.0058
C_D_C0087136 (Unmarried),P,0.019,0.0175
C_D_C0149744 (Oral lesion),M,0.997,0.9883
C_D_C0149744 (Oral lesion),N,0.0021,0.0058
C_D_C0149744 (Oral lesion),P,0.0008,0.0058
C_D_C0150055 (Chronic pain),M,0.9832,0.9766
C_D_C0150055 (Chronic pain),N,0.0005,0.0058
C_D_C0150055 (Chronic pain),P,0.0163,0.0175
C_D_C0150312 (Present),M,0.8726,0.8655
C_D_C0150312 (Present),N,0.0025,0.0058
C_D_C0150312 (Present),P,0.1248,0.1287
C_D_C0150618 (History and physical examination),M,0.7835,0.8889
C_D_C0150618 (History and physical examination),N,0.0001,0.0058
C_D_C0150618 (History and physical examination),P,0.2164,0.1053
C_D_C0151315 (Neck stiffness),M,0.9904,0.9825
C_D_C0151315 (Neck stiffness),N,0.0034,0.0117
C_D_C0151315 (Neck stiffness),P,0.0061,0.0058
C_D_C0151602 (Facial swelling (finding)),M,0.984,0.9825
C_D_C0151602 (Facial swelling (finding)),N,0.0065,0.0058
C_D_C0151602 (Facial swelling (finding)),P,0.0095,0.0117
C_D_C0151827 (Eye pain),M,0.8686,0.9474
C_D_C0151827 (Eye pain),N,0.0416,0.0058
C_D_C0151827 (Eye pain),P,0.0898,0.0468
C_D_C0151908 (Dry skin),M,0.4804,0.3333
C_D_C0151908 (Dry skin),N,0.0007,0.0058
C_D_C0151908 (Dry skin),P,0.519,0.6608
C_D_C0152029 (Congestion of nasal sinus),M,0.9889,0.9825
C_D_C0152029 (Congestion of nasal sinus),N,0.0077,0.0058
C_D_C0152029 (Congestion of nasal sinus),P,0.0034,0.0117
C_D_C0152169 (Renal Colic),M,0.9944,0.9883
C_D_C0152169 (Renal Colic),N,0.0003,0.0058
C_D_C0152169 (Renal Colic),P,0.0053,0.0058
C_D_C0152447 (Urethral discharge),M,0.984,0.9883
C_D_C0152447 (Urethral discharge),N,0.0143,0.0058
C_D_C0152447 (Urethral discharge),P,0.0017,0.0058
C_D_C0162275 (Ketonuria),M,0.9661,0.9825
C_D_C0162275 (Ketonuria),N,0.0002,0.0058
C_D_C0162275 (Ketonuria),P,0.0337,0.0117
C_D_C0205082 (Severe (severity modifier)),M,0.9073,0.9181
C_D_C0205082 (Severe (severity modifier)),N,0.0061,0.0175
C_D_C0205082 (Severe (severity modifier)),P,0.0866,0.0643
C_D_C0205160 (Negative),M,0.4367,0.2573
C_D_C0205160 (Negative),N,0.0036,0.0175
C_D_C0205160 (Negative),P,0.5597,0.7251
C_D_C0205161 (Abnormal),M,0.9704,0.9415
C_D_C0205161 (Abnormal),N,0.0128,0.0234
C_D_C0205161 (Abnormal),P,0.0168,0.0351
C_D_C0220870 (Lightheadedness),M,0.9196,0.9532
C_D_C0220870 (Lightheadedness),N,0.0137,0.0117
C_D_C0220870 (Lightheadedness),P,0.0667,0.0351
C_D_C0221198 (Lesion),M,0.8609,0.924
C_D_C0221198 (Lesion),N,0.0814,0.0468
C_D_C0221198 (Lesion),P,0.0577,0.0292
C_D_C0221423 (Illness (finding)),M,0.9403,0.7836
C_D_C0221423 (Illness (finding)),N,0.0064,0.0234
C_D_C0221423 (Illness (finding)),P,0.0533,0.193
C_D_C0221628 (History of alcohol abuse),M,0.9909,0.9825
C_D_C0221628 (History of alcohol abuse),N,0,0.0117
C_D_C0221628 (History of alcohol abuse),P,0.009,0.0058
C_D_C0221785 (Pain in wrist),M,0.9924,0.9883
C_D_C0221785 (Pain in wrist),N,0.0003,0.0058
C_D_C0221785 (Pain in wrist),P,0.0073,0.0058
C_D_C0227791 (Vaginal Discharge),M,0.9797,0.9883
C_D_C0227791 (Vaginal Discharge),N,0.0067,0.0058
C_D_C0227791 (Vaginal Discharge),P,0.0136,0.0058
C_D_C0231218 (Malaise),M,0.9585,0.807
C_D_C0231218 (Malaise),N,0.0116,0.0234
C_D_C0231218 (Malaise),P,0.0299,0.1696
C_D_C0231221 (Asymptomatic),M,0.9739,0.9298
C_D_C0231221 (Asymptomatic),N,0.0002,0.0058
C_D_C0231221 (Asymptomatic),P,0.0259,0.0643
C_D_C0231528 (Myalgia),M,0.8743,0.7953
C_D_C0231528 (Myalgia),N,0.0907,0.0702
C_D_C0231528 (Myalgia),P,0.035,0.1345
C_D_C0231589 (Limitation of joint movement),M,0.9886,0.9883
C_D_C0231589 (Limitation of joint movement),N,0.0002,0.0058
C_D_C0231589 (Limitation of joint movement),P,0.0111,0.0058
C_D_C0231627 (Step-off),M,0.9935,0.9883
C_D_C0231627 (Step-off),N,0.0045,0.0058
C_D_C0231627 (Step-off),P,0.002,0.0058
C_D_C0231683 (Gait normal),M,0.9293,0.9357
C_D_C0231683 (Gait normal),N,0,0.0058
C_D_C0231683 (Gait normal),P,0.0707,0.0585
C_D_C0231749 (Knee pain),M,0.9766,0.9708
C_D_C0231749 (Knee pain),N,0.0011,0.0058
C_D_C0231749 (Knee pain),P,0.0222,0.0234
C_D_C0231835 (Tachypnea),M,0.9846,0.8713
C_D_C0231835 (Tachypnea),N,0.0046,0.0409
C_D_C0231835 (Tachypnea),P,0.0108,0.0877
C_D_C0231875 (Expiratory wheezing),M,0.9862,0.9766
C_D_C0231875 (Expiratory wheezing),N,0.0001,0.0058
C_D_C0231875 (Expiratory wheezing),P,0.0137,0.0175
C_D_C0231898 (Diaphragmatic breathing),M,0.9998,0.9883
C_D_C0231898 (Diaphragmatic breathing),N,0,0.0058
C_D_C0231898 (Diaphragmatic breathing),P,0.0001,0.0058
C_D_C0232201 (Sinus rhythm),M,0.959,0.9064
C_D_C0232201 (Sinus rhythm),N,0.0002,0.0058
C_D_C0232201 (Sinus rhythm),P,0.0408,0.0877
C_D_C0232202 (Normal sinus rhythm),M,0.906,0.7719
C_D_C0232202 (Normal sinus rhythm),N,0.0001,0.0058
C_D_C0232202 (Normal sinus rhythm),P,0.0939,0.2222
C_D_C0232462 (Decrease in appetite),M,0.9974,0.9708
C_D_C0232462 (Decrease in appetite),N,0.0001,0.0058
C_D_C0232462 (Decrease in appetite),P,0.0025,0.0234
C_D_C0232466 (Feeding difficulties),M,0.9999,0.9883
C_D_C0232466 (Feeding difficulties),N,0,0.0058
C_D_C0232466 (Feeding difficulties),P,0,0.0058
C_D_C0232493 (Epigastric pain),M,0.9868,0.9825
C_D_C0232493 (Epigastric pain),N,0.0003,0.0058
C_D_C0232493 (Epigastric pain),P,0.0129,0.0117
C_D_C0232495 (Lower abdominal pain),M,0.9865,0.9883
C_D_C0232495 (Lower abdominal pain),N,0.0008,0.0058
C_D_C0232495 (Lower abdominal pain),P,0.0128,0.0058
C_D_C0232498 (Abdominal tenderness),M,0.9817,0.9825
C_D_C0232498 (Abdominal tenderness),N,0.0037,0.0117
C_D_C0232498 (Abdominal tenderness),P,0.0146,0.0058
C_D_C0232693 (Bowel sounds),M,0.9518,0.9708
C_D_C0232693 (Bowel sounds),N,0,0.0058
C_D_C0232693 (Bowel sounds),P,0.0481,0.0234
C_D_C0233536 (Overlying behavior),M,0.9882,0.9825
C_D_C0233536 (Overlying behavior),N,0.0048,0.0058
C_D_C0233536 (Overlying behavior),P,0.007,0.0117
C_D_C0233657 (Flight of ideas),M,0.9932,0.9883
C_D_C0233657 (Flight of ideas),N,0.0051,0.0058
C_D_C0233657 (Flight of ideas),P,0.0016,0.0058
C_D_C0233762 ('Hallucinations  Auditory'),M,0.9923,0.9883
C_D_C0233762 ('Hallucinations  Auditory'),N,0.0051,0.0058
C_D_C0233762 ('Hallucinations  Auditory'),P,0.0026,0.0058
C_D_C0233763 ('Hallucinations  Visual'),M,0.9922,0.9883
C_D_C0233763 ('Hallucinations  Visual'),N,0.0052,0.0058
C_D_C0233763 ('Hallucinations  Visual'),P,0.0026,0.0058
C_D_C0234162 (Cerebellar Dysmetria),M,0.9884,0.9708
C_D_C0234162 (Cerebellar Dysmetria),N,0.0109,0.0234
C_D_C0234162 (Cerebellar Dysmetria),P,0.0007,0.0058
C_D_C0234215 (Sensory Discomfort),M,0.9326,0.9532
C_D_C0234215 (Sensory Discomfort),N,0.0023,0.0058
C_D_C0234215 (Sensory Discomfort),P,0.0651,0.0409
C_D_C0234233 (Sore to touch),M,0.5312,0.538
C_D_C0234233 (Sore to touch),N,0.1473,0.1813
C_D_C0234233 (Sore to touch),P,0.3215,0.2807
C_D_C0234238 (Ache),M,0.986,0.8889
C_D_C0234238 (Ache),N,0.0003,0.0058
C_D_C0234238 (Ache),P,0.0137,0.1053
C_D_C0234254 (Radiating pain),M,0.9854,0.9825
C_D_C0234254 (Radiating pain),N,0.001,0.0058
C_D_C0234254 (Radiating pain),P,0.0136,0.0117
C_D_C0234422 (Awake),M,0.8466,0.807
C_D_C0234422 (Awake),N,0.0005,0.0058
C_D_C0234422 (Awake),P,0.153,0.1871
C_D_C0234425 (Level of consciousness),M,0.9823,0.9766
C_D_C0234425 (Level of consciousness),N,0.0063,0.0058
C_D_C0234425 (Level of consciousness),P,0.0114,0.0175
C_D_C0234725 (Hearing normal),M,0.8894,0.924
C_D_C0234725 (Hearing normal),N,0,0.0058
C_D_C0234725 (Hearing normal),P,0.1105,0.0702
C_D_C0235031 (Neurologic Symptoms),M,0.9854,0.9883
C_D_C0235031 (Neurologic Symptoms),N,0.0022,0.0058
C_D_C0235031 (Neurologic Symptoms),P,0.0124,0.0058
C_D_C0235634 (Renal angle tenderness),M,0.9535,0.9825
C_D_C0235634 (Renal angle tenderness),N,0.0371,0.0117
C_D_C0235634 (Renal angle tenderness),P,0.0094,0.0058
C_D_C0238656 (Ankle pain),M,0.9882,0.9883
C_D_C0238656 (Ankle pain),N,0.0006,0.0058
C_D_C0238656 (Ankle pain),P,0.0112,0.0058
C_D_C0239008 (Chest wall tenderness),M,0.9276,0.8889
C_D_C0239008 (Chest wall tenderness),N,0.0617,0.0936
C_D_C0239008 (Chest wall tenderness),P,0.0107,0.0175
C_D_C0239110 (Consciousness clear),M,0.3322,0.2105
C_D_C0239110 (Consciousness clear),N,0.0044,0.0234
C_D_C0239110 (Consciousness clear),P,0.6634,0.7661
C_D_C0239133 (Hacking cough),M,0.9998,0.9883
C_D_C0239133 (Hacking cough),N,0,0.0058
C_D_C0239133 (Hacking cough),P,0.0002,0.0058
C_D_C0239134 (Productive Cough),M,0.9776,0.9298
C_D_C0239134 (Productive Cough),N,0.0013,0.0117
C_D_C0239134 (Productive Cough),P,0.0211,0.0585
C_D_C0239266 (Pain in elbow),M,0.9948,0.9883
C_D_C0239266 (Pain in elbow),N,0.0003,0.0058
C_D_C0239266 (Pain in elbow),P,0.0049,0.0058
C_D_C0239377 (Arm Pain),M,0.9859,0.9766
C_D_C0239377 (Arm Pain),N,0.0044,0.0058
C_D_C0239377 (Arm Pain),P,0.0097,0.0175
C_D_C0239574 (Low grade fever),M,0.9975,0.9298
C_D_C0239574 (Low grade fever),N,0.0001,0.0058
C_D_C0239574 (Low grade fever),P,0.0024,0.0643
C_D_C0239833 (Hand pain),M,0.9922,0.9883
C_D_C0239833 (Hand pain),N,0.0003,0.0058
C_D_C0239833 (Hand pain),P,0.0075,0.0058
C_D_C0239998 (Recurrent infections),M,0.9786,0.9825
C_D_C0239998 (Recurrent infections),N,0.0207,0.0117
C_D_C0239998 (Recurrent infections),P,0.0007,0.0058
C_D_C0241028 (Sexually active),M,0.9896,0.9883
C_D_C0241028 (Sexually active),N,0.0006,0.0058
C_D_C0241028 (Sexually active),P,0.0098,0.0058
C_D_C0241164 (Skin tenderness),M,0.9897,0.9883
C_D_C0241164 (Skin tenderness),N,0.0001,0.0058
C_D_C0241164 (Skin tenderness),P,0.0102,0.0058
C_D_C0241889 (Family history),M,0.8641,0.7895
C_D_C0241889 (Family history),N,0.0042,0.0117
C_D_C0241889 (Family history),P,0.1317,0.1988
C_D_C0242429 (Sore Throat),M,0.7639,0.7427
C_D_C0242429 (Sore Throat),N,0.1293,0.1462
C_D_C0242429 (Sore Throat),P,0.1068,0.1111
C_D_C0262512 (History of present illness),M,0.3099,0.152
C_D_C0262512 (History of present illness),N,0.0097,0.0058
C_D_C0262512 (History of present illness),P,0.6804,0.8421
C_D_C0262926 (Medical History),M,0.3141,0.1696
C_D_C0262926 (Medical History),N,0.0245,0.0292
C_D_C0262926 (Medical History),P,0.6614,0.8012
C_D_C0277786 (Chief complaint (finding)),M,0.3278,0.1696
C_D_C0277786 (Chief complaint (finding)),N,0.0048,0.0058
C_D_C0277786 (Chief complaint (finding)),P,0.6674,0.8246
C_D_C0277797 (Apyrexial),M,0.89,0.848
C_D_C0277797 (Apyrexial),N,0.0004,0.0058
C_D_C0277797 (Apyrexial),P,0.1096,0.1462
C_D_C0277873 (Nasal Flaring),M,0.9993,0.9883
C_D_C0277873 (Nasal Flaring),N,0.0005,0.0058
C_D_C0277873 (Nasal Flaring),P,0.0002,0.0058
C_D_C0277898 (Normal pulse),M,0.9944,0.9883
C_D_C0277898 (Normal pulse),N,0.0001,0.0058
C_D_C0277898 (Normal pulse),P,0.0055,0.0058
C_D_C0278005 (Normal bowel sounds),M,0.8672,0.848
C_D_C0278005 (Normal bowel sounds),N,0.0001,0.0058
C_D_C0278005 (Normal bowel sounds),P,0.1327,0.1462
C_D_C0278030 (Color of urine),M,0.9667,0.9825
C_D_C0278030 (Color of urine),N,0.0001,0.0058
C_D_C0278030 (Color of urine),P,0.0332,0.0117
C_D_C0278060 (Mental state),M,0.9589,0.9064
C_D_C0278060 (Mental state),N,0.0006,0.0058
C_D_C0278060 (Mental state),P,0.0405,0.0877
C_D_C0278134 (Absence of sensation),M,0.9804,0.9883
